config,sigma,pi_reward,exit_opportunity_base,n_seeds,regime_overt_majority,regime_aware_majority,enforcer_share_mean,enforcer_share_std,self_policing_mean,belief_mean,exit_mean,n_mislabeled
P0S0A0,0.25,0.0510324036529687,0.15,5,QUIET,QUIET,0.0,0.0,0.0,0.0,0.8702857142857143,0
P0S0A0,0.25,0.0510324036529687,0.35,5,QUIET,QUIET,0.0,0.0,0.0,0.0,0.8691428571428572,0
P0S0A0,0.25,0.0510324036529687,0.6,5,QUIET,QUIET,0.0,0.0,0.0,0.0,0.8822857142857142,0
P0S0A0,0.25,0.2510324036529688,0.15,5,QUIET,QUIET,0.0,0.0,0.0,0.14319484383749337,0.8480000000000001,0
P0S0A0,0.25,0.2510324036529688,0.35,5,QUIET,QUIET,0.0,0.0,0.0,0.1258992231081225,0.8497142857142859,0
P0S0A0,0.25,0.2510324036529688,0.6,5,QUIET,QUIET,0.0,0.0,0.0,0.13235356006207416,0.8542857142857143,0
P0S0A0,0.25,0.5010324036529687,0.15,5,QUIET,QUIET,0.0,0.0,0.0,0.2819119104769116,0.8268571428571428,0
P0S0A0,0.25,0.5010324036529687,0.35,5,QUIET,QUIET,0.0,0.0,0.0,0.25541982719841155,0.8245714285714285,0
P0S0A0,0.25,0.5010324036529687,0.6,5,QUIET,QUIET,0.0,0.0,0.0,0.2636157326233305,0.8257142857142856,0
P0S0A0,0.55,0.0510324036529687,0.15,5,QUIET,QUIET,0.0,0.0,0.0,0.08505702888123615,0.6451428571428572,0
P0S0A0,0.55,0.0510324036529687,0.35,5,QUIET,QUIET,0.0,0.0,0.0,0.09285593867994471,0.6588571428571428,0
P0S0A0,0.55,0.0510324036529687,0.6,5,QUIET,QUIET,0.0,0.0,0.0,0.11032533650818359,0.6988571428571428,0
P0S0A0,0.55,0.2510324036529688,0.15,5,QUIET,QUIET,0.0,0.0,0.0,0.1493790081365413,0.6217142857142857,0
P0S0A0,0.55,0.2510324036529688,0.35,5,QUIET,QUIET,0.0,0.0,0.0,0.15687689729824347,0.6611428571428571,0
P0S0A0,0.55,0.2510324036529688,0.6,5,QUIET,QUIET,0.0,0.0,0.0,0.16233858055762793,0.6782857142857143,0
P0S0A0,0.55,0.5010324036529687,0.15,5,QUIET,QUIET,0.4,0.5477225575051662,0.0,0.15264848245842816,0.6445714285714286,0
P0S0A0,0.55,0.5010324036529687,0.35,5,QUIET,QUIET,0.2,0.447213595499958,0.0,0.16676757900519376,0.6737142857142857,0
P0S0A0,0.55,0.5010324036529687,0.6,5,QUIET,QUIET,0.2,0.447213595499958,0.0,0.17809032488686766,0.6851428571428572,0
P0S0A0,0.75,0.0510324036529687,0.15,5,QUIET,QUIET,0.0,0.0,0.0,0.09057829490135708,0.4565714285714286,0
P0S0A0,0.75,0.0510324036529687,0.35,5,QUIET,QUIET,0.0,0.0,0.0,0.09048946941530034,0.47314285714285714,0
P0S0A0,0.75,0.0510324036529687,0.6,5,QUIET,QUIET,0.0,0.0,0.0,0.09207274802201396,0.48571428571428565,0
P0S0A0,0.75,0.2510324036529688,0.15,5,QUIET,QUIET,0.0,0.0,0.0,0.11485490316135472,0.4805714285714286,0
P0S0A0,0.75,0.2510324036529688,0.35,5,QUIET,QUIET,0.0,0.0,0.0,0.11152119671325392,0.49257142857142855,0
P0S0A0,0.75,0.2510324036529688,0.6,5,QUIET,QUIET,0.1,0.223606797749979,0.0,0.11650214680717186,0.49771428571428566,0
P0S0A0,0.75,0.5010324036529687,0.15,5,QUIET,QUIET,1.0,0.0,0.0,0.13113306203975636,0.47714285714285715,0
P0S0A0,0.75,0.5010324036529687,0.35,5,QUIET,QUIET,0.9,0.22360679774997896,0.0,0.12661222493624724,0.4805714285714286,0
P0S0A0,0.75,0.5010324036529687,0.6,5,QUIET,QUIET,0.9333333333333332,0.14907119849998599,0.0,0.13152138101031252,0.5034285714285713,0
P0S0A0,0.95,0.0510324036529687,0.15,5,QUIET,QUIET,0.0,0.0,0.0,0.09680749293897294,0.3845714285714285,0
P0S0A0,0.95,0.0510324036529687,0.35,5,QUIET,QUIET,0.0,0.0,0.0,0.0938915340043566,0.3874285714285714,0
P0S0A0,0.95,0.0510324036529687,0.6,5,QUIET,QUIET,0.0,0.0,0.0,0.0943569808556412,0.384,0
P0S0A0,0.95,0.2510324036529688,0.15,5,QUIET,QUIET,0.8,0.4472135954999579,0.0,0.11427565485414659,0.4331428571428571,0
P0S0A0,0.95,0.2510324036529688,0.35,5,QUIET,QUIET,0.9,0.22360679774997896,0.0,0.12248851813989034,0.4314285714285714,0
P0S0A0,0.95,0.2510324036529688,0.6,5,QUIET,QUIET,0.8,0.4472135954999579,0.0,0.12195956620814932,0.4377142857142857,0
P0S0A0,0.95,0.5010324036529687,0.15,5,QUIET,QUIET,1.0,0.0,0.0,0.1312893210283745,0.44000000000000006,0
P0S0A0,0.95,0.5010324036529687,0.35,5,QUIET,QUIET,0.875,0.21650635094610965,0.0,0.1270490117495014,0.4314285714285714,0
P0S0A0,0.95,0.5010324036529687,0.6,5,QUIET,QUIET,0.8,0.4472135954999579,0.0,0.12759427602870294,0.43999999999999995,0
