template,grid,n_seeds,sigma_max,pi_max,sigma_cell,pi_cell,regime_majority,n_QUIET,n_MIXED,n_COLLAPSE,n_CAPTURE,median_exit_rate,median_max_apr,median_top5_share,median_enforcer_share
T1,0,30,0.65,0.15,0.325,0.03,QUIET,30,0,0,0,0.8428571428571429,0.04976342129208365,0.30665785836864246,0.2600283886523168
T1,1,30,0.65,0.15,0.40625,0.06,QUIET,28,2,0,0,0.8014285714285714,0.08,0.25554581737484555,0.1985016056904469
T1,2,30,0.65,0.15,0.48750000000000004,0.09000000000000001,QUIET,16,14,0,0,0.7385714285714285,0.09812430244373735,0.31385599296189026,0.32453181961742517
T1,3,30,0.65,0.15,0.56875,0.12,MIXED,0,30,0,0,0.6457142857142857,0.1322230401177769,0.3158435040910956,0.470748686034567
T1,4,30,0.65,0.15,0.65,0.15,MIXED,0,30,0,0,0.5657142857142857,0.15262730227518956,0.29943826906932325,0.5055202617267582
T2,0,30,0.65,0.15,0.325,0.03,QUIET,30,0,0,0,0.8428571428571429,0.04976342129208365,0.30665785836864246,0.2600283886523168
T2,1,30,0.65,0.15,0.40625,0.06,QUIET,28,2,0,0,0.8014285714285714,0.08,0.25554581737484555,0.1985016056904469
T2,2,30,0.65,0.15,0.48750000000000004,0.09000000000000001,QUIET,16,14,0,0,0.7385714285714285,0.09812430244373735,0.31385599296189026,0.32453181961742517
T2,3,30,0.65,0.15,0.56875,0.12,MIXED,0,30,0,0,0.6457142857142857,0.1322230401177769,0.3158435040910956,0.470748686034567
T2,4,30,0.65,0.15,0.65,0.15,MIXED,0,30,0,0,0.5657142857142857,0.15262730227518956,0.29943826906932325,0.5055202617267582
T3,0,30,0.4,0.25,0.2,0.05,QUIET,26,0,4,0,0.8885714285714286,0.0514285714285714,0.27527120541860167,0.18865084985835695
T3,1,30,0.4,0.25,0.25,0.1,QUIET,28,2,0,0,0.85,0.0836984407276604,0.28487657200037314,0.16858727513075464
T3,2,30,0.4,0.25,0.30000000000000004,0.15000000000000002,QUIET,23,7,0,0,0.8385714285714285,0.0914285714285714,0.3192032411571608,0.19806141097142138
T3,3,30,0.4,0.25,0.35000000000000003,0.2,MIXED,7,23,0,0,0.8128571428571428,0.10919630397265134,0.3537864772993018,0.2874637371362262
T3,4,30,0.4,0.25,0.4,0.25,MIXED,0,30,0,0,0.78,0.14477473208427494,0.32441368037841456,0.29701221108988096
T4,0,30,0.45,0.45,0.225,0.09000000000000001,QUIET,29,0,1,0,0.8771428571428571,0.0628571428571428,0.3427684246921461,0.17083847794365248
T4,1,30,0.45,0.45,0.28125,0.18000000000000002,QUIET,19,11,0,0,0.8442857142857143,0.09533562822719445,0.33481782179199315,0.19608509274910785
T4,2,30,0.45,0.45,0.3375,0.2700000000000001,MIXED,1,29,0,0,0.8171428571428572,0.12541719447045213,0.35434205894489423,0.2742816709658928
T4,3,30,0.45,0.45,0.39375,0.36000000000000004,MIXED,0,30,0,0,0.7942857142857143,0.15571902196435966,0.31289771533775684,0.2818875133687039
T4,4,30,0.45,0.45,0.45,0.45,MIXED,0,30,0,0,0.7642857142857142,0.15988605305739495,0.3358854306891796,0.32645838773578784
T5,0,30,0.4,0.4,0.2,0.08000000000000002,QUIET,29,0,1,0,0.8714285714285714,0.051487481590574355,0.35149490745810974,0.2077398670264556
T5,1,30,0.4,0.4,0.25,0.16000000000000003,QUIET,27,3,0,0,0.8528571428571429,0.0828571428571428,0.327392211067462,0.20110205886067956
T5,2,30,0.4,0.4,0.30000000000000004,0.24000000000000005,MIXED,6,24,0,0,0.82,0.10621080139372821,0.36532248789820904,0.269181497825841
