template,grid,seed,sigma_max,pi_max,base_opp_floor,exit_cost_baseline,exit_rate,fund_prevalence,max_active_punish_rate,max_punish_rate,regime,top5_share,top10_share,enforcer_share,run_dir
T1,0,1,0.65,0.15,0.3,0.7,0.84,0.0,0.0481927710843373,0.0481927710843373,QUIET,0.4028056112224449,0.56312625250501,0.3346693386773547,/storage/kiran-stuff/code-geometry-abm/results/v3_0_envelope_sweep/T1/grid_0/seed_01
T1,0,2,0.65,0.15,0.3,0.7,0.84,0.0,0.0657142857142857,0.0628571428571428,QUIET,0.2978723404255319,0.458628841607565,0.2458628841607565,/storage/kiran-stuff/code-geometry-abm/results/v3_0_envelope_sweep/T1/grid_0/seed_02
T1,0,3,0.65,0.15,0.3,0.7,0.84,0.0178571428571428,0.0542857142857142,0.0542857142857142,QUIET,0.3083511777301927,0.47751605995717344,0.24839400428265523,/storage/kiran-stuff/code-geometry-abm/results/v3_0_envelope_sweep/T1/grid_0/seed_03
T1,0,4,0.65,0.15,0.3,0.7,0.8571428571428571,0.0,0.04,0.04,QUIET,0.2261640798226164,0.4057649667405765,0.17738359201773837,/storage/kiran-stuff/code-geometry-abm/results/v3_0_envelope_sweep/T1/grid_0/seed_04
T1,0,5,0.65,0.15,0.3,0.7,0.8714285714285714,0.0222222222222222,0.0485714285714285,0.0485714285714285,QUIET,0.27654867256637167,0.4247787610619469,0.22566371681415928,/storage/kiran-stuff/code-geometry-abm/results/v3_0_envelope_sweep/T1/grid_0/seed_05
T1,0,6,0.65,0.15,0.3,0.7,0.8428571428571429,0.0181818181818181,0.0457142857142857,0.04,QUIET,0.3348115299334812,0.5232815964523282,0.270509977827051,/storage/kiran-stuff/code-geometry-abm/results/v3_0_envelope_sweep/T1/grid_0/seed_06
T1,0,7,0.65,0.15,0.3,0.7,0.8742857142857143,0.0227272727272727,0.0408163265306122,0.04,QUIET,0.3362637362637363,0.5230769230769231,0.22857142857142856,/storage/kiran-stuff/code-geometry-abm/results/v3_0_envelope_sweep/T1/grid_0/seed_07
T1,0,8,0.65,0.15,0.3,0.7,0.8542857142857143,0.0,0.0571428571428571,0.0571428571428571,QUIET,0.2995391705069124,0.4400921658986175,0.2626728110599078,/storage/kiran-stuff/code-geometry-abm/results/v3_0_envelope_sweep/T1/grid_0/seed_08
T1,0,9,0.65,0.15,0.3,0.7,0.8314285714285714,0.0169491525423728,0.0714285714285714,0.0628571428571428,QUIET,0.2786885245901639,0.4487704918032787,0.27459016393442626,/storage/kiran-stuff/code-geometry-abm/results/v3_0_envelope_sweep/T1/grid_0/seed_09
T1,0,10,0.65,0.15,0.3,0.7,0.8771428571428571,0.0,0.0685714285714285,0.0685714285714285,QUIET,0.27488151658767773,0.43601895734597157,0.15639810426540285,/storage/kiran-stuff/code-geometry-abm/results/v3_0_envelope_sweep/T1/grid_0/seed_10
T1,0,11,0.65,0.15,0.3,0.7,0.8685714285714285,0.0,0.06,0.0571428571428571,QUIET,0.23598130841121495,0.42757009345794394,0.17990654205607476,/storage/kiran-stuff/code-geometry-abm/results/v3_0_envelope_sweep/T1/grid_0/seed_11
T1,0,12,0.65,0.15,0.3,0.7,0.8542857142857143,0.0,0.0514285714285714,0.0485714285714285,QUIET,0.2733644859813084,0.4462616822429907,0.21728971962616822,/storage/kiran-stuff/code-geometry-abm/results/v3_0_envelope_sweep/T1/grid_0/seed_12
T1,0,13,0.65,0.15,0.3,0.7,0.84,0.0178571428571428,0.0509554140127388,0.0509554140127388,QUIET,0.4146825396825397,0.5873015873015873,0.30357142857142855,/storage/kiran-stuff/code-geometry-abm/results/v3_0_envelope_sweep/T1/grid_0/seed_13
T1,0,14,0.65,0.15,0.3,0.7,0.8142857142857143,0.0153846153846153,0.0615384615384615,0.0615384615384615,QUIET,0.3408163265306122,0.5122448979591837,0.31020408163265306,/storage/kiran-stuff/code-geometry-abm/results/v3_0_envelope_sweep/T1/grid_0/seed_14
T1,0,15,0.65,0.15,0.3,0.7,0.8657142857142858,0.0212765957446808,0.0485714285714285,0.0485714285714285,QUIET,0.3049645390070922,0.47754137115839246,0.24822695035460993,/storage/kiran-stuff/code-geometry-abm/results/v3_0_envelope_sweep/T1/grid_0/seed_15
T1,0,16,0.65,0.15,0.3,0.7,0.8457142857142858,0.037037037037037,0.0714285714285714,0.0685714285714285,QUIET,0.3253012048192771,0.4939759036144578,0.2751004016064257,/storage/kiran-stuff/code-geometry-abm/results/v3_0_envelope_sweep/T1/grid_0/seed_16
T1,0,17,0.65,0.15,0.3,0.7,0.8314285714285714,0.0,0.0559440559440559,0.0559440559440559,QUIET,0.3844621513944223,0.5537848605577689,0.3426294820717131,/storage/kiran-stuff/code-geometry-abm/results/v3_0_envelope_sweep/T1/grid_0/seed_17
T1,0,18,0.65,0.15,0.3,0.7,0.8742857142857143,0.0,0.0566037735849056,0.0566037735849056,QUIET,0.34810126582278483,0.5021097046413502,0.25738396624472576,/storage/kiran-stuff/code-geometry-abm/results/v3_0_envelope_sweep/T1/grid_0/seed_18
T1,0,19,0.65,0.15,0.3,0.7,0.84,0.0,0.0457142857142857,0.0457142857142857,QUIET,0.3104325699745547,0.4732824427480916,0.21628498727735368,/storage/kiran-stuff/code-geometry-abm/results/v3_0_envelope_sweep/T1/grid_0/seed_19
T1,0,20,0.65,0.15,0.3,0.7,0.8742857142857143,0.0,0.0461538461538461,0.0461538461538461,QUIET,0.3117782909930716,0.49653579676674364,0.2678983833718245,/storage/kiran-stuff/code-geometry-abm/results/v3_0_envelope_sweep/T1/grid_0/seed_20
T1,0,21,0.65,0.15,0.3,0.7,0.8542857142857143,0.0196078431372549,0.0485714285714285,0.0457142857142857,QUIET,0.3655913978494624,0.5311827956989247,0.3247311827956989,/storage/kiran-stuff/code-geometry-abm/results/v3_0_envelope_sweep/T1/grid_0/seed_21
T1,0,22,0.65,0.15,0.3,0.7,0.8371428571428572,0.0,0.0428571428571428,0.0428571428571428,QUIET,0.29596412556053814,0.4730941704035874,0.2914798206278027,/storage/kiran-stuff/code-geometry-abm/results/v3_0_envelope_sweep/T1/grid_0/seed_22
T1,0,23,0.65,0.15,0.3,0.7,0.82,0.0158730158730158,0.0542857142857142,0.0542857142857142,QUIET,0.33190578158458245,0.5117773019271948,0.3233404710920771,/storage/kiran-stuff/code-geometry-abm/results/v3_0_envelope_sweep/T1/grid_0/seed_23
T1,0,24,0.65,0.15,0.3,0.7,0.8485714285714285,0.0566037735849056,0.0571428571428571,0.0457142857142857,QUIET,0.2975929978118162,0.45951859956236324,0.2188183807439825,/storage/kiran-stuff/code-geometry-abm/results/v3_0_envelope_sweep/T1/grid_0/seed_24
T1,0,25,0.65,0.15,0.3,0.7,0.8428571428571429,0.0181818181818181,0.0428571428571428,0.0428571428571428,QUIET,0.29067245119305857,0.4685466377440347,0.23210412147505424,/storage/kiran-stuff/code-geometry-abm/results/v3_0_envelope_sweep/T1/grid_0/seed_25
T1,0,26,0.65,0.15,0.3,0.7,0.8314285714285714,0.0,0.0514285714285714,0.0514285714285714,QUIET,0.2733644859813084,0.46261682242990654,0.26401869158878505,/storage/kiran-stuff/code-geometry-abm/results/v3_0_envelope_sweep/T1/grid_0/seed_26
T1,0,27,0.65,0.15,0.3,0.7,0.84,0.0,0.03515625,0.03515625,QUIET,0.33589743589743587,0.5128205128205128,0.27692307692307694,/storage/kiran-stuff/code-geometry-abm/results/v3_0_envelope_sweep/T1/grid_0/seed_27
T1,0,28,0.65,0.15,0.3,0.7,0.86,0.0,0.0428571428571428,0.0428571428571428,QUIET,0.26448362720403024,0.4256926952141058,0.22670025188916876,/storage/kiran-stuff/code-geometry-abm/results/v3_0_envelope_sweep/T1/grid_0/seed_28
T1,0,29,0.65,0.15,0.3,0.7,0.8314285714285714,0.0,0.0485714285714285,0.0485714285714285,QUIET,0.35353535353535354,0.5515151515151515,0.33131313131313134,/storage/kiran-stuff/code-geometry-abm/results/v3_0_envelope_sweep/T1/grid_0/seed_29
T1,0,30,0.65,0.15,0.3,0.7,0.8371428571428572,0.0,0.0485714285714285,0.0485714285714285,QUIET,0.22811059907834103,0.3986175115207373,0.22119815668202766,/storage/kiran-stuff/code-geometry-abm/results/v3_0_envelope_sweep/T1/grid_0/seed_30
T1,1,1,0.65,0.15,0.3,0.7,0.8114285714285714,0.1666666666666666,0.08,0.0742857142857142,QUIET,0.2817796610169492,0.4639830508474576,0.1663135593220339,/storage/kiran-stuff/code-geometry-abm/results/v3_0_envelope_sweep/T1/grid_1/seed_01
