seed,run_dir,final_exit_rate,final_prevalence_active,max_punish_rate,top5_punish_share,top10_punish_share,enforcer_punish_share,literalism_enrichment_d,regime,fallback_drop_t
1,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_baseline/seed_01,0.3828571428571428,0.1342592592592592,0.1485714285714285,0.8094678035871803,0.9797118494560424,0.7450749779476624,1.857653221545407,MIXED,32.0
2,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_baseline/seed_02,0.36,0.1205357142857142,0.1428571428571428,0.8315911730545877,0.972336606482948,0.8194488438390878,2.303890392251672,MIXED,37.0
3,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_baseline/seed_03,0.3657142857142857,0.1216216216216216,0.1628571428571428,0.7734313171283211,0.9764838892029395,0.7565856416054267,2.180372095796141,MIXED,35.0
4,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_baseline/seed_04,0.3857142857142857,0.1348837209302325,0.1514285714285714,0.8046250475827941,0.9793490673772364,0.7611343738104301,2.730338742907463,MIXED,24.0
5,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_baseline/seed_05,0.3571428571428571,0.1422222222222222,0.1514285714285714,0.7779070997778013,0.9777801290868691,0.7610834832292879,2.2800061519710404,MIXED,33.0
6,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_baseline/seed_06,0.3657142857142857,0.1351351351351351,0.1542857142857142,0.8174236334405145,0.9778938906752411,0.7800442122186495,2.448997215502676,MIXED,40.0
7,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_baseline/seed_07,0.2885714285714286,0.1244979919678714,0.1428571428571428,0.8142584644730567,0.9730567477348593,0.7947067238912733,2.352896241505342,MIXED,41.0
8,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_baseline/seed_08,0.3685714285714285,0.1312217194570135,0.1485714285714285,0.7851191174744748,0.9739467198685601,0.7735007628212651,2.1839511945433934,MIXED,31.0
9,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_baseline/seed_09,0.3828571428571428,0.1296296296296296,0.1514285714285714,0.7754953202868603,0.9737449860216361,0.7020785219399538,2.1681047707494896,MIXED,31.0
10,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_baseline/seed_10,0.3514285714285714,0.1277533039647577,0.1514285714285714,0.7953299976173457,0.9767691208005719,0.7860376459375744,2.2915275696577053,MIXED,59.0
11,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_baseline/seed_11,0.3685714285714285,0.1357466063348416,0.1542857142857142,0.8026981450252951,0.9764966273187183,0.7595910623946037,3.044824417285431,MIXED,42.0
12,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_baseline/seed_12,0.4257142857142857,0.1641791044776119,0.1514285714285714,0.8092479874337326,0.9780090320047123,0.7494600431965442,2.345683152835322,MIXED,29.0
13,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_baseline/seed_13,0.3971428571428571,0.1279620853080568,0.16,0.7908007173752506,0.9785842388437599,0.7275029011499103,2.156973410621233,MIXED,25.0
14,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_baseline/seed_14,0.3885714285714285,0.1448598130841121,0.1685714285714285,0.814992927864215,0.9786892975011787,0.7326732673267327,1.7774452735341126,MIXED,21.0
15,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_baseline/seed_15,0.36,0.1428571428571428,0.1428571428571428,0.7702023298589822,0.9716738197424892,0.7380748007357449,2.0714877929578215,MIXED,25.0
