enforcer_quota_frac,seed,final_fund_prevalence,final_exit_rate,max_punish,top5_punishment_share,top10_punishment_share,enforcer_punish_share,regime_hier
0.04,1,0.0776255707762557,0.3742857142857143,0.0571428571428571,0.8286129266521424,0.8765432098765432,0.5315904139433552,QUIET
0.04,2,0.07,0.4285714285714285,0.0714285714285714,0.8800607287449392,0.9109311740890689,0.6391700404858299,QUIET
0.04,3,0.087378640776699,0.4114285714285714,0.0714285714285714,0.8536887786732796,0.8939863608183509,0.47613143211407316,QUIET
0.04,4,0.0790960451977401,0.4942857142857143,0.0742857142857142,0.925850685627222,0.9507364144235653,0.5942102590147282,QUIET
0.04,5,0.0854271356783919,0.4314285714285714,0.0857142857142857,0.8737292669876939,0.9122525414660246,0.5746388443017657,QUIET
0.04,6,0.0758293838862559,0.3971428571428571,0.0657142857142857,0.8255261371350985,0.8723693143245078,0.4365241004752206,QUIET
0.04,7,0.0918918918918919,0.4714285714285714,0.0714285714285714,0.8873720136518771,0.9234519746465139,0.5548512920526573,QUIET
0.04,8,0.0815450643776824,0.3342857142857143,0.0828571428571428,0.8199581297976274,0.8722958827634334,0.47522679692951847,QUIET
0.04,9,0.0909090909090909,0.4028571428571428,0.0771428571428571,0.7971326164874551,0.8480286738351255,0.36702508960573477,QUIET
0.04,10,0.0695652173913043,0.3428571428571428,0.08,0.8460038986354775,0.884990253411306,0.5653021442495126,QUIET
0.04,11,0.083743842364532,0.42,0.0885714285714285,0.8599439775910365,0.8991596638655462,0.5473389355742297,QUIET
0.04,12,0.0904522613065326,0.4314285714285714,0.0828571428571428,0.868788386376326,0.903964265773311,0.6298157453936348,QUIET
0.04,13,0.0862944162436548,0.4371428571428571,0.0742857142857142,0.8801766979569299,0.9133075648812811,0.5996686913307565,QUIET
0.04,14,0.0978260869565217,0.4742857142857143,0.0771428571428571,0.9101123595505618,0.9382022471910112,0.5048154093097913,QUIET
0.04,15,0.0673076923076923,0.4057142857142857,0.08,0.8729885057471264,0.9097701149425287,0.5091954022988506,QUIET
0.04,16,0.0765306122448979,0.44,0.0657142857142857,0.8603385731559855,0.9014510278113664,0.48246674727932287,QUIET
0.04,17,0.0765550239234449,0.4028571428571428,0.0714285714285714,0.8534136546184738,0.8942436412315931,0.5441767068273092,QUIET
0.04,18,0.0711111111111111,0.3571428571428571,0.0742857142857142,0.8462078651685393,0.8876404494382022,0.6032303370786517,QUIET
0.04,19,0.0888888888888888,0.4857142857142857,0.0771428571428571,0.9073724007561437,0.9385633270321361,0.6020793950850661,QUIET
0.04,20,0.0788177339901477,0.42,0.0857142857142857,0.8529776674937966,0.8957816377171216,0.5049627791563276,QUIET
0.04,21,0.0684210526315789,0.4571428571428571,0.0914285714285714,0.91369440774989,0.9387934830471159,0.5090268604139145,QUIET
0.04,22,0.0735294117647058,0.4171428571428571,0.0914285714285714,0.8789592760180995,0.915158371040724,0.4835972850678733,QUIET
0.04,23,0.0669856459330143,0.4028571428571428,0.0657142857142857,0.8531343283582089,0.8913432835820896,0.5140298507462686,QUIET
0.04,24,0.0685714285714285,0.5,0.0885714285714285,0.9284518828451883,0.9514644351464435,0.5188284518828452,QUIET
0.04,25,0.0841584158415841,0.4228571428571429,0.0742857142857142,0.8770491803278688,0.913422131147541,0.579405737704918,QUIET
0.04,26,0.0652173913043478,0.4742857142857143,0.0914285714285714,0.9334396173774412,0.9553607014746911,0.5918692706257473,QUIET
0.04,27,0.0787037037037037,0.3828571428571428,0.08,0.8292852185981957,0.8771686328938237,0.5995836224843858,QUIET
0.04,28,0.0918918918918919,0.4714285714285714,0.0714285714285714,0.8895169578622816,0.9224049331963001,0.6212744090441932,QUIET
0.04,29,0.0909090909090909,0.4028571428571428,0.0942857142857142,0.8675392670157068,0.9057591623036649,0.5104712041884817,QUIET
0.04,30,0.0845070422535211,0.3914285714285714,0.0857142857142857,0.8453172205438066,0.8894259818731118,0.43564954682779455,QUIET
0.08,1,0.1189189189189189,0.4714285714285714,0.1028571428571428,0.8580476900149031,0.9485842026825634,0.6736214605067065,MIXED
0.08,2,0.1235294117647058,0.5142857142857142,0.1285714285714285,0.8272189349112427,0.9534516765285996,0.5925049309664694,MIXED
0.08,3,0.1454545454545454,0.5285714285714286,0.1228571428571428,0.7970632530120482,0.9536897590361446,0.5030120481927711,MIXED
0.08,4,0.1208053691275167,0.5742857142857143,0.1428571428571428,0.8411675511751326,0.9685367702805155,0.5739196360879454,MIXED
0.08,5,0.125,0.5428571428571428,0.14,0.8101071975497703,0.9598009188361409,0.49234303215926495,MIXED
0.08,6,0.1428571428571428,0.56,0.1171428571428571,0.8516932658622032,0.9451148306734137,0.5110938108213312,MIXED
