enforcer_quota_frac,n_seeds,median_top5_share,median_top10_share,median_enforcer_share,median_max_punish,median_fund_prevalence,median_exit_rate,n_collapse,n_capture,n_mixed,n_quiet
0.04,30,0.8681638266960164,0.904861714038488,0.5378835603853322,0.0771428571428571,0.0789568895939439,0.42,0,0,0,30
0.08,30,0.8113352603756957,0.9475760950803815,0.5472662804434285,0.1257142857142857,0.13296574770258973,0.52,0,0,30,0
0.12,30,0.6556592933535708,0.9461179131315471,0.5417337336058593,0.1657142857142857,0.1881099686301847,0.5700000000000001,0,0,30,0
0.16,30,0.5647245836295323,0.8783278515635373,0.5332180521753982,0.1942857142857142,0.24318996415770605,0.6071428571428572,0,0,30,0
0.2,30,0.49506660895907606,0.7978855741619337,0.538034188034188,0.2171428571428571,0.3038518518518518,0.6357142857142857,0,0,30,0
0.25,30,0.4475727857798233,0.7217542427566528,0.527756046655754,0.24142857142857138,0.3538899430740038,0.66,0,0,30,0
