sigma,pi_reward,base_opp,exit_threshold,n_seeds,regime_majority_legacy,regime_majority_hier,n_collapse_legacy,n_capture_legacy,n_mixed_legacy,n_quiet_legacy,n_collapse_hier,n_capture_hier,n_mixed_hier,n_quiet_hier,median_fund_prevalence,median_exit_rate,median_max_punish,median_enforcer_punish_share,median_top5_share
0.75,0.05,0.3,-1.0,5,MIXED,MIXED,0,0,5,0,0,0,5,0,0.1004366812227074,0.3485714285714286,0.1446540880503144,0.9344737352666828,0.8294514445717195
0.75,0.05,0.3,1.5,5,MIXED,MIXED,0,0,5,0,0,0,5,0,0.0994475138121546,0.48,0.1428571428571428,0.8998329195919155,0.917034236504936
0.75,0.05,1.5,-1.0,5,MIXED,MIXED,0,0,5,0,0,0,5,0,0.0934579439252336,0.3885714285714285,0.1303030303030302,0.8127459177980897,0.7573021773765268
0.75,0.05,1.5,1.5,5,MIXED,MIXED,0,0,5,0,0,0,5,0,0.0887096774193548,0.7257142857142858,0.1203007518796992,0.7561416468218783,0.9234567901234568
0.75,0.05,3.0,-1.0,5,MIXED,MIXED,0,0,5,0,0,0,5,0,0.0913043478260869,0.36,0.1138461538461538,0.6505398790640349,0.7384976525821596
0.75,0.05,3.0,1.5,5,MIXED,MIXED,0,0,4,1,0,0,4,1,0.1014492753623188,0.8028571428571428,0.1195652173913042,0.7278568002853707,0.91
0.75,0.05,5.0,-1.0,5,MIXED,MIXED,0,0,5,0,0,0,5,0,0.1013824884792626,0.38,0.1153846153846153,0.5628040659585873,0.741852487135506
0.75,0.05,5.0,1.5,5,MIXED,MIXED,0,0,4,1,0,0,4,1,0.0892857142857142,0.84,0.1076923076923076,0.7592148319705562,0.9130434782608696
0.75,0.25,0.3,-1.0,5,MIXED,MIXED,0,0,5,0,0,0,5,0,0.1333333333333333,0.3771428571428571,0.1609907120743033,0.9582698200275804,0.816746126340882
0.75,0.25,0.3,1.5,5,MIXED,MIXED,0,0,5,0,0,0,5,0,0.1329479768786127,0.4628571428571428,0.1538461538461538,0.9537090700837468,0.8986420271594568
0.75,0.25,1.5,-1.0,5,MIXED,MIXED,0,0,5,0,0,0,5,0,0.1287128712871287,0.4085714285714286,0.1433224755700325,0.9418118034660212,0.8283396788611157
0.75,0.25,1.5,1.5,5,MIXED,MIXED,0,0,4,1,0,0,4,1,0.1232876712328767,0.72,0.1328671328671326,0.919124291786416,0.9473222124670764
0.75,0.25,3.0,-1.0,5,MIXED,MIXED,0,0,5,0,0,0,5,0,0.1194029850746268,0.4257142857142857,0.1428571428571428,0.9192885869720744,0.8198569856985699
0.75,0.25,3.0,1.5,5,MIXED,MIXED,0,0,5,0,0,0,5,0,0.1216216216216216,0.82,0.1234567901234564,0.91902889082535,0.9498714652956298
0.75,0.25,5.0,-1.0,5,MIXED,MIXED,0,0,5,0,0,0,5,0,0.1288659793814432,0.4114285714285714,0.1362229102167182,0.9205294293061244,0.8320428826682549
0.75,0.25,5.0,1.5,5,MIXED,MIXED,0,0,5,0,0,0,5,0,0.1111111111111111,0.84,0.133333333333333,0.8608585868585859,0.937956204379562
0.75,0.5,0.3,-1.0,5,MIXED,MIXED,0,0,5,0,0,0,5,0,0.136986301369863,0.3742857142857143,0.1672131147540983,0.964335191310772,0.8210354223433243
0.75,0.5,0.3,1.5,5,MIXED,MIXED,0,0,5,0,0,0,5,0,0.1272727272727272,0.4542857142857143,0.1521739130434782,0.966309103225985,0.9382256623995237
0.75,0.5,1.5,-1.0,5,MIXED,MIXED,0,0,5,0,0,0,5,0,0.1414634146341463,0.4142857142857143,0.1419753086419752,0.9570713675869842,0.8522099447513812
0.75,0.5,1.5,1.5,5,MIXED,MIXED,0,0,5,0,0,0,5,0,0.1130434782608695,0.6914285714285714,0.1397058823529409,0.924138449156924,0.9484873262469338
0.75,0.5,3.0,-1.0,5,MIXED,MIXED,0,0,5,0,0,0,5,0,0.1365853658536585,0.4142857142857143,0.1373801916932906,0.9494835542822776,0.8701666666666666
0.75,0.5,3.0,1.5,5,MIXED,MIXED,0,0,5,0,0,0,5,0,0.1486486486486486,0.8085714285714286,0.1649484536082473,0.949897675587076,0.9684579439252337
0.75,0.5,5.0,-1.0,5,MIXED,MIXED,0,0,5,0,0,0,5,0,0.1459459459459459,0.4457142857142857,0.1363636363636362,0.9526831698547752,0.8740807444094252
0.75,0.5,5.0,1.5,5,MIXED,MIXED,0,0,4,1,0,0,4,1,0.1486486486486486,0.8057142857142857,0.1428571428571426,0.942632276132275,0.9655172413793104
0.95,0.05,0.3,-1.0,5,MIXED,MIXED,0,0,5,0,0,0,5,0,0.0958333333333333,0.3028571428571429,0.1392405063291139,0.9579583584435136,0.7886063072227874
0.95,0.05,0.3,1.5,5,MIXED,MIXED,0,0,5,0,0,0,5,0,0.0929203539823008,0.3828571428571428,0.1319444444444443,0.9491924334566778,0.856467728868485
