eta_delta_drift,delta0,sigma,pi_reward,alpha,mu_membership_reward,seed,final_fund_prevalence,final_exit_rate,max_punish,top5_punishment_share,top10_punishment_share,enforcer_punish_share,final_current_delta,regime,run_dir
0.0,0.1,0.25,0.05,0.0,0.0,21,0.0,0.04,0.0457142857142857,0.4247422680412371,0.6257731958762887,0.4449194498976476,0.1,QUIET,/storage/kiran-stuff/code-geometry-abm/recon/decoupled_k6.0/eta_0.00/delta0_0.10/sigma_0.25/pi_0.05/seed_21
0.0,0.1,0.25,0.05,0.0,0.0,22,0.0,0.0285714285714285,0.0571428571428571,0.4155844155844156,0.6136363636363636,0.44802027068976213,0.1,QUIET,/storage/kiran-stuff/code-geometry-abm/recon/decoupled_k6.0/eta_0.00/delta0_0.10/sigma_0.25/pi_0.05/seed_22
0.0,0.1,0.25,0.05,0.0,0.0,23,0.0,0.0714285714285714,0.0428571428571428,0.4142705005324814,0.5910543130990416,0.4167030964545715,0.1,QUIET,/storage/kiran-stuff/code-geometry-abm/recon/decoupled_k6.0/eta_0.00/delta0_0.10/sigma_0.25/pi_0.05/seed_23
0.0,0.1,0.25,0.05,0.0,0.0,24,0.0,0.0514285714285714,0.0457142857142857,0.40154015401540155,0.5984598459845984,0.38951549409457126,0.1,QUIET,/storage/kiran-stuff/code-geometry-abm/recon/decoupled_k6.0/eta_0.00/delta0_0.10/sigma_0.25/pi_0.05/seed_24
0.0,0.1,0.25,0.05,0.0,0.0,25,0.0,0.0285714285714285,0.0628571428571428,0.423728813559322,0.5942173479561316,0.4034203402097619,0.1,QUIET,/storage/kiran-stuff/code-geometry-abm/recon/decoupled_k6.0/eta_0.00/delta0_0.10/sigma_0.25/pi_0.05/seed_25
0.0,0.1,0.25,0.05,0.0,0.0,26,0.0,0.0371428571428571,0.0514285714285714,0.40543478260869564,0.6173913043478261,0.455821790267813,0.1,QUIET,/storage/kiran-stuff/code-geometry-abm/recon/decoupled_k6.0/eta_0.00/delta0_0.10/sigma_0.25/pi_0.05/seed_26
0.0,0.1,0.25,0.05,0.0,0.0,27,0.0,0.04,0.0542857142857142,0.4400428265524625,0.6124197002141327,0.4338077494895677,0.1,QUIET,/storage/kiran-stuff/code-geometry-abm/recon/decoupled_k6.0/eta_0.00/delta0_0.10/sigma_0.25/pi_0.05/seed_27
0.0,0.1,0.25,0.05,0.0,0.0,28,0.0,0.0285714285714285,0.0485714285714285,0.39339019189765456,0.5650319829424307,0.38518078991935206,0.1,QUIET,/storage/kiran-stuff/code-geometry-abm/recon/decoupled_k6.0/eta_0.00/delta0_0.10/sigma_0.25/pi_0.05/seed_28
0.0,0.1,0.25,0.05,0.0,0.0,29,0.0,0.0428571428571428,0.0457142857142857,0.43914807302231235,0.6389452332657201,0.4566617825492065,0.1,QUIET,/storage/kiran-stuff/code-geometry-abm/recon/decoupled_k6.0/eta_0.00/delta0_0.10/sigma_0.25/pi_0.05/seed_29
0.0,0.1,0.25,0.05,0.0,0.0,30,0.0,0.0342857142857142,0.04,0.39872068230277186,0.5970149253731343,0.4131149886736478,0.1,QUIET,/storage/kiran-stuff/code-geometry-abm/recon/decoupled_k6.0/eta_0.00/delta0_0.10/sigma_0.25/pi_0.05/seed_30
0.0,0.1,0.25,0.25,0.0,0.0,1,0.0867579908675799,0.3742857142857143,0.1258064516129032,0.8167295962823119,0.938135347081034,0.6729080195951687,0.1,MIXED,/storage/kiran-stuff/code-geometry-abm/recon/decoupled_k6.0/eta_0.00/delta0_0.10/sigma_0.25/pi_0.25/seed_01
