agent_id,punish_issued,punished_received,final_r,final_b,final_x,y,L,cap,service,is_enforcer,cadre_fallback,exited,exit_time,exit_intent,disengaged,exit_cost_eff_last,degree,degree_at_end,betweenness
0,0,838,0.3809012037173818,0.3837888157338941,0.7645653187739418,0.591477332248549,0.21303859887902166,0.0,0.0,False,False,False,-1,427,True,3.28,76,76,
1,0,175,0.5257166026625554,0.11320835699642982,0.8157077037360091,0.36536574731580346,0.14096663567950782,0.0,0.0,False,False,False,-1,0,False,1.8399999999999999,28,28,
2,2,12,0.3545448625051721,0.5018955047189528,0.994811861766455,0.3689342898574822,0.15313495946149785,0.1565196436284933,0.18649535151056515,False,False,False,-1,0,False,0.0,37,37,
3,2,49,0.40729943448279693,0.14591130834044252,1.0,0.40181864434998743,0.11790086462194944,0.13866738500539336,0.1473018628259962,False,False,False,-1,6,True,0.0,16,16,
4,0,98,0.4502699091475568,0.1839558485749465,0.8736331563701251,0.41372955190160865,0.2517456729093585,0.0,0.0,False,False,False,-1,6,True,2.44,48,48,
5,744,315,1.0,1.0,0.9501679740022388,0.5061800417548029,0.3756494171336202,2.0,95.03994166410612,True,False,False,-1,0,False,0.0,20,20,
6,0,242,0.6858996567323735,0.4115265462060422,0.5165338061857045,0.5005952502101947,0.2625210507860101,0.0,0.0,False,False,False,-1,374,True,2.08,36,36,
7,769,174,1.0,1.0,0.99256607992646,0.4138215492601439,0.6521444712044286,2.0,78.29679563377431,True,False,False,-1,0,False,0.0,64,64,
8,0,502,0.28247222197602745,0.4992067499811944,0.5844884460454528,0.5664198069239895,0.09206681759177378,0.0,0.0,False,False,False,-1,383,True,3.16,72,72,
9,783,250,1.0,1.0,0.9948919108617703,0.5318123989849101,0.5597741834326544,2.0,85.2888408026787,True,False,False,-1,0,False,0.0,80,80,
10,0,562,0.3494556807223519,0.3537708256548848,0.5974825864872098,0.423227289142828,0.06293230176369495,0.0,0.0,False,False,False,-1,412,True,2.65,55,55,
11,0,805,0.42450942448065754,0.13577536875863272,0.8741632678763872,0.5193687754056578,0.10619764647815062,0.0,0.0,False,False,False,-1,425,True,1.99,33,33,
12,0,370,0.2595535005300763,0.2329430660530126,0.8167267135737982,0.4784509610082451,0.3221014128720261,0.0,0.0,False,False,False,-1,378,True,1.8399999999999999,28,28,
13,0,42,0.3355138120010182,0.48594132640800347,0.6762882345262853,0.3786880327525745,0.398565771357277,0.0,0.0,False,False,True,43,25,False,2.5300000000000002,5,5,
14,0,186,0.1081773598924785,0.7736732615361295,0.482599435454521,0.49093973507394023,0.27575507340532196,0.0,0.0,False,False,False,-1,293,True,2.1399999999999997,38,38,
15,0,54,0.348547821195161,0.15196527989565342,1.0,0.41285548902660857,0.22253224128066199,0.0,0.0,False,False,False,-1,7,True,2.11,37,37,
16,0,216,0.5035072549297563,0.5736643456690209,0.9543635327613986,0.45757131622785197,0.13924040030065216,0.0,0.0,False,False,False,-1,340,True,1.87,29,29,
17,0,429,0.11926695216920026,0.1142039087646509,0.2691205181559706,0.46832516007644326,0.1522547313887967,0.0,0.0,False,False,False,-1,414,True,1.8399999999999999,28,28,
18,0,540,0.2060165958865369,0.2622358915033987,0.6548760484052583,0.5307829145584733,0.4016758039041029,0.0,0.0,False,False,False,-1,404,True,2.26,42,42,
19,2,19,0.4244198641276559,0.26384464240939987,1.0,0.4785941261462412,0.11679162683603532,0.13805363858461547,0.08845439754397703,False,False,False,-1,0,False,0.0,22,22,
20,0,363,0.39628119791736544,0.15209970921472937,0.8334820738919387,0.6081502525834351,0.41747506981073146,0.0,0.0,False,False,False,-1,413,True,2.26,42,42,
21,0,869,0.26226360536968485,0.17090001346062364,0.6405615313225831,0.5007233949015552,0.4761609463717344,0.0,0.0,False,False,False,-1,423,True,1.8399999999999999,28,28,
22,0,578,0.2423001334688014,0.2489808287375861,0.955352853434077,0.4144208719500597,0.35869226004568155,0.0,0.0,False,False,False,-1,413,True,1.66,22,22,
23,2,1,0.1716706640505425,0.5827848271775029,1.0,0.49626981273956866,0.5693230413144189,0.1623131657395697,0.769441220571484,False,False,False,-1,0,False,0.0,13,13,
24,0,453,0.2501769582478072,0.672457074725382,0.9292401067223887,0.3893708992570677,0.32922289482708417,0.0,0.0,False,False,False,-1,417,True,1.6,20,20,
25,2,50,0.6247170038982012,0.6202153802591576,0.9630212110017106,0.4749169343085838,0.2194334887120928,0.09280667005826738,0.03878314770757434,False,False,False,-1,0,False,1.54,18,18,
26,0,255,0.2357207528325551,0.19262888049583152,0.47113263122564997,0.5340408636413868,0.05119079489268829,0.0,0.0,False,False,False,-1,423,True,1.63,21,21,
