alpha,delta,sigma,pi_reward,seed,final_fund_prevalence,final_exit_rate,max_punish,top5_punishment_share,top10_punishment_share,enforcer_punish_share,regime,run_dir
0.0,0.0,0.75,0.25,2,0.1146788990825688,0.3771428571428571,0.1457142857142857,0.8300719748088169,0.9737966711650922,0.9582698190275803,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6_ablation_v25_recovery/alpha_0.00/delta_0.00/sigma_0.75/pi_0.25/seed_02
0.0,0.0,0.75,0.25,3,0.1383928571428571,0.36,0.1628571428571428,0.7998610145934677,0.9754459115126245,0.9483670610364652,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6_ablation_v25_recovery/alpha_0.00/delta_0.00/sigma_0.75/pi_0.25/seed_03
0.0,0.0,0.75,0.25,4,0.1400966183574879,0.4085714285714286,0.1485714285714285,0.8279094827586206,0.9800646551724138,0.963999761474435,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6_ablation_v25_recovery/alpha_0.00/delta_0.00/sigma_0.75/pi_0.25/seed_04
0.0,0.0,0.75,0.25,5,0.1333333333333333,0.4428571428571428,0.1542857142857142,0.816746126340882,0.9810290027810886,0.9687934866571546,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6_ablation_v25_recovery/alpha_0.00/delta_0.00/sigma_0.75/pi_0.25/seed_05
0.0,0.0,0.75,0.5,1,0.1212121212121212,0.34,0.1428571428571428,0.8210354223433243,0.9758038147138964,0.9617662290511868,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6_ablation_v25_recovery/alpha_0.00/delta_0.00/sigma_0.75/pi_0.50/seed_01
0.0,0.0,0.75,0.5,2,0.1220657276995305,0.3914285714285714,0.1514285714285714,0.8257592551540678,0.9752826424296165,0.964335190310772,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6_ablation_v25_recovery/alpha_0.00/delta_0.00/sigma_0.75/pi_0.50/seed_02
0.0,0.0,0.75,0.5,3,0.1415525114155251,0.3742857142857143,0.1628571428571428,0.7935072940209574,0.9777070063694268,0.9616365386177135,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6_ablation_v25_recovery/alpha_0.00/delta_0.00/sigma_0.75/pi_0.50/seed_03
0.0,0.0,0.75,0.5,4,0.1502347417840375,0.3914285714285714,0.1514285714285714,0.8283022160181469,0.9782760425754667,0.9689781728005141,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6_ablation_v25_recovery/alpha_0.00/delta_0.00/sigma_0.75/pi_0.50/seed_04
0.0,0.0,0.75,0.5,5,0.136986301369863,0.3742857142857143,0.1542857142857142,0.8024020887728459,0.978798955613577,0.965464295334879,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6_ablation_v25_recovery/alpha_0.00/delta_0.00/sigma_0.75/pi_0.50/seed_05
0.0,0.0,0.95,0.05,1,0.096,0.2857142857142857,0.1285714285714285,0.7970923674645946,0.9769394660985086,0.9639180749039898,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6_ablation_v25_recovery/alpha_0.00/delta_0.00/sigma_0.95/pi_0.05/seed_01
0.0,0.0,0.95,0.05,2,0.0817120622568093,0.2657142857142857,0.1114285714285714,0.8042356774368721,0.9705403203909856,0.9451766623016289,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6_ablation_v25_recovery/alpha_0.00/delta_0.00/sigma_0.95/pi_0.05/seed_02
0.0,0.0,0.95,0.05,3,0.0901639344262295,0.3028571428571429,0.1228571428571428,0.7806991774383079,0.970475910693302,0.9523114249350437,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6_ablation_v25_recovery/alpha_0.00/delta_0.00/sigma_0.95/pi_0.05/seed_03
