agent_id,exit_capacity,outside_ties,econ_independence,tenure,born_inside,punishment_received,punishment_delivered,is_enforcer,exited
0,0.952167860891822,0.9043357217836441,1.0,213,False,131,325,False,True
1,0.6553143513930972,0.5101263501988078,0.8005023525873866,79,False,24,0,False,True
2,1.0,1.0,1.0,89,False,9,0,False,True
3,0.6863080546889242,0.6946753413087949,0.6779407680690533,78,False,11,0,False,True
4,0.6926414340567592,0.43926251420144646,0.9460203539120718,71,False,79,0,False,True
5,0.6000367240451234,0.675918250112217,0.5241551979780299,99,False,4,0,False,True
6,0.9138916884976078,0.8277833769952158,1.0,443,False,0,0,False,False
7,1.0,1.0,1.0,211,False,1,0,False,True
8,0.6371984106865972,0.7247628115748774,0.549634009798317,101,False,32,0,False,True
9,0.6477087259732281,0.5620957876968005,0.7333216642496557,177,False,240,0,False,True
10,0.8061689481999419,0.6633434564147541,0.9489944399851297,56,False,48,1,False,True
11,0.7326546837390736,0.6830740471962985,0.7822353202818487,61,False,51,0,False,True
12,0.9471183844688578,1.0,0.8942367689377154,80,False,13,0,False,True
13,0.6145140652921688,0.3359634232193561,0.8930647073649816,82,False,5,1,False,True
14,0.6984132445905428,0.4737229337901012,0.9231035553909843,182,False,147,1,False,True
15,0.7044004561607085,0.40880091232141685,1.0,118,False,42,0,False,True
16,0.8100250827049673,0.6200501654099346,1.0,225,False,0,2,False,True
17,0.9364239435045459,0.8728478870090919,1.0,64,False,4,1,False,True
18,0.7598804821179452,0.7214743833193134,0.7982865809165771,46,False,14,0,False,True
19,0.6210043745073203,0.5014462128746273,0.7405625361400132,69,False,12,0,False,True
20,0.6018472054644106,0.29698012529702417,0.9067142856317971,86,False,63,0,False,True
21,0.8162725296352007,0.6325450592704014,1.0,358,False,1,0,False,True
22,0.814947390882987,0.8499036214334411,0.7799911603325329,55,False,61,0,False,True
23,0.7780495453589307,0.5925062265593317,0.9635928641585295,31,False,17,0,False,True
24,0.42551945019117854,0.40713036014984616,0.443908540232511,159,False,22,0,False,True
25,1.0,1.0,1.0,146,False,3,0,False,False
26,0.5563550911514626,0.5598760389613812,0.5528341433415441,53,False,16,0,False,True
27,0.7898472583562026,0.7050019393254231,0.874692577386982,34,False,7,0,False,True
28,0.7819227620648841,0.5638455241297682,1.0,450,False,5,2,False,False
29,0.733501740517045,0.46700348103409006,1.0,450,False,5,0,False,False
30,0.9770953669371744,0.9541907338743487,1.0,95,False,0,0,False,False
31,1.0,1.0,1.0,430,False,0,1,False,False
32,0.8004106903155253,0.6008213806310505,1.0,290,False,0,1,False,False
33,0.9314021907621008,0.8628043815242017,1.0,218,False,0,42,True,False
34,0.8012742378260619,0.8897241539104227,0.7128243217417011,57,False,15,5,False,True
35,0.8069445864785962,0.6138891729571924,1.0,450,False,82,312,True,False
36,0.936198141142999,0.8723962822859981,1.0,450,False,2,2,False,False
37,0.6781036743488382,0.5450284522649335,0.811178896432743,112,False,17,6,False,True
38,1.0,1.0,1.0,70,False,10,0,False,True
