sigma,pi_reward,base_opp,exit_threshold,n_seeds,old_regime_majority_legacy,old_regime_majority_hier,new_regime_majority_legacy,new_regime_majority_hier,n_collapse_legacy,n_capture_legacy,n_mixed_legacy,n_quiet_legacy,n_collapse_hier,n_capture_hier_hier,n_mixed_hier,n_quiet_hier,cell_reclassified_legacy,cell_reclassified_hier,median_new_max_punish,median_old_max_punish,median_exit_rate,median_top5_share,median_enforcer_punish_share
0.75,0.05,0.3,-1.0,5,MIXED,MIXED,MIXED,MIXED,0,0,5,0,0,0,5,0,False,False,0.14465408805031443,0.1342857142857142,0.3485714285714286,0.8294514445717195,0.9344737352666829
0.75,0.05,0.3,1.5,5,MIXED,MIXED,MIXED,MIXED,0,0,5,0,0,0,5,0,False,False,0.14285714285714282,0.1085714285714285,0.48,0.917034236504936,0.8998329195919155
0.75,0.05,1.5,-1.0,5,MIXED,MIXED,MIXED,MIXED,0,0,5,0,0,0,5,0,False,False,0.13030303030303023,0.1228571428571428,0.3885714285714285,0.7573021773765268,0.8127459177980897
0.75,0.05,1.5,1.5,5,QUIET,QUIET,MIXED,MIXED,0,0,5,0,0,0,5,0,True,True,0.12030075187969921,0.0514285714285714,0.7257142857142858,0.9234567901234568,0.7561416468218783
0.75,0.05,3.0,-1.0,5,MIXED,MIXED,MIXED,MIXED,0,0,5,0,0,0,5,0,False,False,0.11384615384615383,0.1057142857142857,0.36,0.7384976525821596,0.6505398790640349
0.75,0.05,3.0,1.5,5,QUIET,QUIET,MIXED,MIXED,0,0,4,1,0,0,4,1,True,True,0.11956521739130423,0.04,0.8028571428571428,0.91,0.7278568002853707
0.75,0.05,5.0,-1.0,5,MIXED,MIXED,MIXED,MIXED,0,0,5,0,0,0,5,0,False,False,0.11538461538461532,0.1028571428571428,0.38,0.741852487135506,0.5628040659585873
0.75,0.05,5.0,1.5,5,QUIET,QUIET,MIXED,MIXED,0,0,4,1,0,0,4,1,True,True,0.10769230769230768,0.04,0.84,0.9130434782608695,0.7592148319705562
0.75,0.25,0.3,-1.0,5,MIXED,MIXED,MIXED,MIXED,0,0,5,0,0,0,5,0,False,False,0.16099071207430332,0.1485714285714285,0.3771428571428571,0.816746126340882,0.9582698200275803
0.75,0.25,0.3,1.5,5,MIXED,MIXED,MIXED,MIXED,0,0,5,0,0,0,5,0,False,False,0.15384615384615383,0.12,0.4628571428571428,0.8986420271594568,0.9537090700837468
0.75,0.25,1.5,-1.0,5,MIXED,MIXED,MIXED,MIXED,0,0,5,0,0,0,5,0,False,False,0.14332247557003253,0.1314285714285714,0.4085714285714286,0.8283396788611157,0.9418118034660213
0.75,0.25,1.5,1.5,5,QUIET,QUIET,MIXED,MIXED,0,0,4,1,0,0,4,1,True,True,0.13286713286713264,0.0514285714285714,0.72,0.9473222124670764,0.9191242917864161
0.75,0.25,3.0,-1.0,5,MIXED,MIXED,MIXED,MIXED,0,0,5,0,0,0,5,0,False,False,0.1428571428571428,0.1257142857142857,0.4257142857142857,0.8198569856985699,0.9192885869720744
0.75,0.25,3.0,1.5,5,QUIET,QUIET,MIXED,MIXED,0,0,5,0,0,0,5,0,True,True,0.12345679012345649,0.0428571428571428,0.82,0.9498714652956298,0.91902889082535
0.75,0.25,5.0,-1.0,5,MIXED,MIXED,MIXED,MIXED,0,0,5,0,0,0,5,0,False,False,0.13622291021671823,0.1257142857142857,0.4114285714285714,0.8320428826682549,0.9205294293061245
0.75,0.25,5.0,1.5,5,QUIET,QUIET,MIXED,MIXED,0,0,5,0,0,0,5,0,True,True,0.13333333333333305,0.04,0.84,0.9379562043795621,0.8608585868585859
0.75,0.5,0.3,-1.0,5,MIXED,MIXED,MIXED,MIXED,0,0,5,0,0,0,5,0,False,False,0.16721311475409836,0.1514285714285714,0.3742857142857143,0.8210354223433243,0.9643351913107719
0.75,0.5,0.3,1.5,5,MIXED,MIXED,MIXED,MIXED,0,0,5,0,0,0,5,0,False,False,0.15217391304347824,0.1171428571428571,0.4542857142857143,0.9382256623995237,0.966309103225985
0.75,0.5,1.5,-1.0,5,MIXED,MIXED,MIXED,MIXED,0,0,5,0,0,0,5,0,False,False,0.14197530864197525,0.1342857142857142,0.4142857142857143,0.8522099447513812,0.9570713675869842
0.75,0.5,1.5,1.5,5,QUIET,QUIET,MIXED,MIXED,0,0,5,0,0,0,5,0,True,True,0.13970588235294096,0.0714285714285714,0.6914285714285714,0.9484873262469338,0.9241384491569239
0.75,0.5,3.0,-1.0,5,MIXED,MIXED,MIXED,MIXED,0,0,5,0,0,0,5,0,False,False,0.13738019169329066,0.1228571428571428,0.4142857142857143,0.8701666666666666,0.9494835542822777
0.75,0.5,3.0,1.5,5,QUIET,QUIET,MIXED,MIXED,0,0,5,0,0,0,5,0,True,True,0.16494845360824736,0.06,0.8085714285714286,0.9684579439252337,0.949897675587076
0.75,0.5,5.0,-1.0,5,MIXED,MIXED,MIXED,MIXED,0,0,5,0,0,0,5,0,False,False,0.13636363636363627,0.1285714285714285,0.4457142857142857,0.8740807444094252,0.9526831698547752
0.75,0.5,5.0,1.5,5,QUIET,QUIET,MIXED,MIXED,0,0,4,1,0,0,4,1,True,True,0.14285714285714265,0.06,0.8057142857142857,0.9655172413793104,0.942632276132275
0.95,0.05,0.3,-1.0,5,MIXED,MIXED,MIXED,MIXED,0,0,5,0,0,0,5,0,False,False,0.1392405063291139,0.1285714285714285,0.3028571428571429,0.7886063072227874,0.9579583584435135
0.95,0.05,0.3,1.5,5,MIXED,MIXED,MIXED,MIXED,0,0,5,0,0,0,5,0,False,False,0.13194444444444434,0.1142857142857142,0.3828571428571428,0.856467728868485,0.9491924334566778
0.95,0.05,1.5,-1.0,5,MIXED,MIXED,MIXED,MIXED,0,0,5,0,0,0,5,0,False,False,0.11818181818181815,0.1114285714285714,0.3142857142857143,0.8008273009307135,0.9297336856168852
0.95,0.05,1.5,1.5,5,QUIET,QUIET,MIXED,MIXED,0,0,3,2,0,0,3,2,True,True,0.1135135135135135,0.06,0.5571428571428572,0.9459783913565426,0.9115983804480784
0.95,0.05,3.0,-1.0,5,QUIET,QUIET,MIXED,MIXED,0,0,3,2,0,0,3,2,True,True,0.10191082802547767,0.0914285714285714,0.3228571428571428,0.8000968054211036,0.9288766131570387
0.95,0.05,3.0,1.5,5,QUIET,QUIET,QUIET,QUIET,0,0,2,3,0,0,2,3,False,False,0.09374999999999988,0.0428571428571428,0.6628571428571428,0.9229957805907173,0.8321142081142071
0.95,0.05,5.0,-1.0,5,MIXED,MIXED,MIXED,MIXED,0,0,3,2,0,0,3,2,False,False,0.11146496815286623,0.1,0.3085714285714285,0.8074788902291918,0.9357711968643734
0.95,0.05,5.0,1.5,5,QUIET,QUIET,QUIET,QUIET,0,0,2,3,0,0,2,3,False,False,0.09774436090225554,0.0371428571428571,0.6742857142857143,0.935515873015873,0.8703462167809983
0.95,0.25,0.3,-1.0,5,MIXED,MIXED,MIXED,MIXED,0,0,5,0,0,0,5,0,False,False,0.1355421686746987,0.1285714285714285,0.3171428571428571,0.7966000596480763,0.9707293326466577
0.95,0.25,0.3,1.5,5,MIXED,MIXED,MIXED,MIXED,0,0,5,0,0,0,5,0,False,False,0.12546125461254606,0.1,0.3885714285714285,0.8922919857069934,0.9610962453125805
0.95,0.25,1.5,-1.0,5,MIXED,MIXED,MIXED,MIXED,0,0,5,0,0,0,5,0,False,False,0.12084592145015095,0.1142857142857142,0.3257142857142857,0.819371727748691,0.9619955563231213
0.95,0.25,1.5,1.5,5,QUIET,QUIET,MIXED,MIXED,0,0,5,0,0,0,5,0,True,True,0.11320754716981123,0.0685714285714285,0.5228571428571429,0.9367816091954023,0.9104160412840545
0.95,0.25,3.0,-1.0,5,MIXED,MIXED,MIXED,MIXED,0,0,5,0,0,0,5,0,False,False,0.11683848797250852,0.1028571428571428,0.3371428571428571,0.8479113384484228,0.959655106387247
0.95,0.25,3.0,1.5,5,QUIET,QUIET,MIXED,MIXED,0,0,4,1,0,0,4,1,True,True,0.10256410256410246,0.0514285714285714,0.6257142857142857,0.9495481927710844,0.934547398047397
0.95,0.25,5.0,-1.0,5,MIXED,MIXED,MIXED,MIXED,0,0,5,0,0,0,5,0,False,False,0.10606060606060605,0.1,0.3171428571428571,0.8496056091148115,0.9593686033823717
0.95,0.25,5.0,1.5,5,QUIET,QUIET,QUIET,QUIET,0,0,2,3,0,0,2,3,False,False,0.08720930232558129,0.0428571428571428,0.6714285714285714,0.9327586206896552,0.8938404140591631
0.95,0.5,0.3,-1.0,5,MIXED,MIXED,MIXED,MIXED,0,0,5,0,0,0,5,0,False,False,0.14057507987220444,0.1285714285714285,0.2971428571428571,0.782783326096396,0.9673822601016208
0.95,0.5,0.3,1.5,5,MIXED,MIXED,MIXED,MIXED,0,0,5,0,0,0,5,0,False,False,0.1326164874551971,0.1085714285714285,0.3628571428571429,0.8880027739251041,0.9641362446272216
0.95,0.5,1.5,-1.0,5,MIXED,MIXED,MIXED,MIXED,0,0,5,0,0,0,5,0,False,False,0.11676646706586824,0.1114285714285714,0.3171428571428571,0.8070553539019963,0.9640106099809478
0.95,0.5,1.5,1.5,5,QUIET,QUIET,MIXED,MIXED,0,0,4,1,0,0,4,1,True,True,0.12037037037037022,0.0742857142857142,0.5514285714285714,0.9516843971631206,0.9242265797985552
0.95,0.5,3.0,-1.0,5,MIXED,MIXED,MIXED,MIXED,0,0,5,0,0,0,5,0,False,False,0.1117824773413897,0.1057142857142857,0.34,0.8486646884272997,0.9612942770703583
0.95,0.5,3.0,1.5,5,QUIET,QUIET,MIXED,MIXED,0,0,4,1,0,0,4,1,True,True,0.11920529801324498,0.0571428571428571,0.6342857142857142,0.945358788676761,0.9320788771069791
0.95,0.5,5.0,-1.0,5,MIXED,MIXED,MIXED,MIXED,0,0,5,0,0,0,5,0,False,False,0.10921501706484638,0.1028571428571428,0.3171428571428571,0.8393255295429208,0.9581430090696612
0.95,0.5,5.0,1.5,5,QUIET,QUIET,MIXED,MIXED,0,0,4,1,0,0,4,1,True,True,0.12056737588652466,0.06,0.6828571428571428,0.9485407066052227,0.9329811024021539
