t,fund_prevalence,exit_rate,punish_rate,enforcer_punish_share_step,sigma,pi_reward,base_opp,exit_threshold,seed,regime,regime_column
0,0.0085714285714285,0.0,0.0,0.0,0.75,0.5,1.5,1.5,1,QUIET,regime_hier
1,0.0085714285714285,0.0,0.0257142857142857,1.0,0.75,0.5,1.5,1.5,1,QUIET,regime_hier
2,0.0114285714285714,0.0,0.0114285714285714,0.75,0.75,0.5,1.5,1.5,1,QUIET,regime_hier
3,0.0114285714285714,0.0,0.02,0.8571428571428571,0.75,0.5,1.5,1.5,1,QUIET,regime_hier
4,0.0114285714285714,0.0,0.0228571428571428,0.75,0.75,0.5,1.5,1.5,1,QUIET,regime_hier
5,0.0114285714285714,0.0,0.0171428571428571,1.0,0.75,0.5,1.5,1.5,1,QUIET,regime_hier
6,0.0114285714285714,0.0,0.0342857142857142,0.9166666666666666,0.75,0.5,1.5,1.5,1,QUIET,regime_hier
7,0.0114285714285714,0.0,0.0171428571428571,1.0,0.75,0.5,1.5,1.5,1,QUIET,regime_hier
8,0.0114285714285714,0.0,0.02,0.8571428571428571,0.75,0.5,1.5,1.5,1,QUIET,regime_hier
9,0.0114285714285714,0.0,0.0257142857142857,1.0,0.75,0.5,1.5,1.5,1,QUIET,regime_hier
10,0.0142857142857142,0.0,0.0428571428571428,1.0,0.75,0.5,1.5,1.5,1,QUIET,regime_hier
11,0.02,0.0,0.0342857142857142,1.0,0.75,0.5,1.5,1.5,1,QUIET,regime_hier
12,0.0225806451612903,0.1142857142857142,0.0285714285714285,1.0,0.75,0.5,1.5,1.5,1,QUIET,regime_hier
13,0.0207612456747404,0.1742857142857143,0.04,1.0,0.75,0.5,1.5,1.5,1,QUIET,regime_hier
14,0.0234375,0.2685714285714285,0.0228571428571428,1.0,0.75,0.5,1.5,1.5,1,QUIET,regime_hier
15,0.025531914893617,0.3285714285714285,0.0314285714285714,1.0,0.75,0.5,1.5,1.5,1,QUIET,regime_hier
16,0.0353535353535353,0.4342857142857143,0.0514285714285714,1.0,0.75,0.5,1.5,1.5,1,QUIET,regime_hier
17,0.0374331550802139,0.4657142857142857,0.04,1.0,0.75,0.5,1.5,1.5,1,QUIET,regime_hier
18,0.0404624277456647,0.5057142857142857,0.04,1.0,0.75,0.5,1.5,1.5,1,QUIET,regime_hier
19,0.0432098765432098,0.5371428571428571,0.0457142857142857,1.0,0.75,0.5,1.5,1.5,1,QUIET,regime_hier
20,0.0519480519480519,0.56,0.0542857142857142,1.0,0.75,0.5,1.5,1.5,1,QUIET,regime_hier
21,0.0544217687074829,0.58,0.0428571428571428,1.0,0.75,0.5,1.5,1.5,1,QUIET,regime_hier
22,0.0551724137931034,0.5857142857142857,0.0571428571428571,1.0,0.75,0.5,1.5,1.5,1,QUIET,regime_hier
23,0.0555555555555555,0.5885714285714285,0.0314285714285714,1.0,0.75,0.5,1.5,1.5,1,QUIET,regime_hier
24,0.0567375886524822,0.5971428571428572,0.04,0.9444444444444444,0.75,0.5,1.5,1.5,1,QUIET,regime_hier
25,0.0575539568345323,0.6028571428571429,0.04,1.0,0.75,0.5,1.5,1.5,1,QUIET,regime_hier
26,0.0579710144927536,0.6057142857142858,0.0285714285714285,1.0,0.75,0.5,1.5,1.5,1,QUIET,regime_hier
27,0.0661764705882353,0.6114285714285714,0.0342857142857142,1.0,0.75,0.5,1.5,1.5,1,QUIET,regime_hier
