sigma,pi_reward,base_opp,exit_threshold,seed,run_dir,final_fund_prevalence,final_exit_rate,old_max_punish,new_max_punish,enforcer_punish_share,top5_punishment_share,top10_punishment_share,old_regime_legacy,new_regime_legacy,old_regime_hier,new_regime_hier,reclassified_legacy,reclassified_hier,reclassified
0.25,0.05,1.5,-1.0,3,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_three_regime_confirm/sigma_0.25/pi_0.05/base_opp_1.50/exit_threshold_-1.00/seed_03,0.0035211267605633,0.1885714285714285,0.04,0.04,0.6583816541597209,0.6278366111951589,0.7428139183055976,QUIET,QUIET,QUIET,QUIET,False,False,False
0.25,0.05,1.5,-1.0,4,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_three_regime_confirm/sigma_0.25/pi_0.05/base_opp_1.50/exit_threshold_-1.00/seed_04,0.0,0.1657142857142857,0.0485714285714285,0.0485714285714285,0.6154547029931635,0.5733982157339822,0.7185725871857259,QUIET,QUIET,QUIET,QUIET,False,False,False
0.25,0.05,1.5,-1.0,5,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_three_regime_confirm/sigma_0.25/pi_0.05/base_opp_1.50/exit_threshold_-1.00/seed_05,0.0032362459546925,0.1171428571428571,0.0628571428571428,0.0628571428571428,0.5824637702045341,0.5399659863945578,0.6930272108843537,QUIET,QUIET,QUIET,QUIET,False,False,False
0.25,0.05,1.5,1.5,1,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_three_regime_confirm/sigma_0.25/pi_0.05/base_opp_1.50/exit_threshold_1.50/seed_01,0.0,0.9857142857142858,0.0371428571428571,0.40000000000000047,0.9192714702714693,0.8888888888888888,1.0,COLLAPSE,COLLAPSE,COLLAPSE,COLLAPSE,False,False,False
0.25,0.05,1.5,1.5,2,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_three_regime_confirm/sigma_0.25/pi_0.05/base_opp_1.50/exit_threshold_1.50/seed_02,0.0,0.9828571428571428,0.0628571428571428,0.1666666666666624,0.9144013676072489,0.8640776699029126,1.0,COLLAPSE,COLLAPSE,COLLAPSE,COLLAPSE,False,False,False
0.25,0.05,1.5,1.5,3,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_three_regime_confirm/sigma_0.25/pi_0.05/base_opp_1.50/exit_threshold_1.50/seed_03,0.0,0.98,0.0371428571428571,0.0371428571428571,0.919973545973545,0.8620689655172413,1.0,COLLAPSE,COLLAPSE,COLLAPSE,COLLAPSE,False,False,False
0.25,0.05,1.5,1.5,4,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_three_regime_confirm/sigma_0.25/pi_0.05/base_opp_1.50/exit_threshold_1.50/seed_04,0.0,0.9742857142857144,0.0485714285714285,0.19999999999999946,0.7975490206078432,0.8613861386138614,1.0,COLLAPSE,COLLAPSE,COLLAPSE,COLLAPSE,False,False,False
0.25,0.05,1.5,1.5,5,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_three_regime_confirm/sigma_0.25/pi_0.05/base_opp_1.50/exit_threshold_1.50/seed_05,0.0,0.98,0.0628571428571428,0.14285714285713988,0.7615142304776162,0.8043478260869565,1.0,COLLAPSE,COLLAPSE,COLLAPSE,COLLAPSE,False,False,False
0.25,0.05,3.0,-1.0,1,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_three_regime_confirm/sigma_0.25/pi_0.05/base_opp_3.00/exit_threshold_-1.00/seed_01,0.0167364016736401,0.3171428571428571,0.0457142857142857,0.0457142857142857,0.6734190262562421,0.6750788643533123,0.7807570977917981,QUIET,QUIET,QUIET,QUIET,False,False,False
0.25,0.05,3.0,-1.0,2,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_three_regime_confirm/sigma_0.25/pi_0.05/base_opp_3.00/exit_threshold_-1.00/seed_02,0.0083333333333333,0.3142857142857143,0.0628571428571428,0.0628571428571428,0.6020377042877033,0.5807248764415156,0.7191103789126854,QUIET,QUIET,QUIET,QUIET,False,False,False
0.25,0.05,3.0,-1.0,3,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_three_regime_confirm/sigma_0.25/pi_0.05/base_opp_3.00/exit_threshold_-1.00/seed_03,0.01171875,0.2685714285714285,0.04,0.04,0.6159284141506354,0.5802583025830258,0.7306273062730627,QUIET,QUIET,QUIET,QUIET,False,False,False
0.25,0.05,3.0,-1.0,4,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_three_regime_confirm/sigma_0.25/pi_0.05/base_opp_3.00/exit_threshold_-1.00/seed_04,0.0078740157480314,0.2742857142857143,0.0485714285714285,0.0485714285714285,0.5877666005975855,0.5620052770448549,0.712401055408971,QUIET,QUIET,QUIET,QUIET,False,False,False
0.25,0.05,3.0,-1.0,5,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_three_regime_confirm/sigma_0.25/pi_0.05/base_opp_3.00/exit_threshold_-1.00/seed_05,0.0040322580645161,0.2914285714285714,0.0628571428571428,0.0628571428571428,0.5636556536103646,0.5641952983725136,0.7179023508137432,QUIET,QUIET,QUIET,QUIET,False,False,False
0.25,0.05,3.0,1.5,1,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_three_regime_confirm/sigma_0.25/pi_0.05/base_opp_3.00/exit_threshold_1.50/seed_01,0.0,0.9942857142857144,0.0371428571428571,0.0371428571428571,0.9433608068608058,0.9,1.0,COLLAPSE,COLLAPSE,COLLAPSE,COLLAPSE,False,False,False
0.25,0.05,3.0,1.5,2,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_three_regime_confirm/sigma_0.25/pi_0.05/base_opp_3.00/exit_threshold_1.50/seed_02,0.0,0.9971428571428572,0.0628571428571428,0.5000000000000034,0.9649864034864024,0.8686868686868687,1.0,COLLAPSE,COLLAPSE,COLLAPSE,COLLAPSE,False,False,False
0.25,0.05,3.0,1.5,3,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_three_regime_confirm/sigma_0.25/pi_0.05/base_opp_3.00/exit_threshold_1.50/seed_03,0.0,0.9971428571428572,0.0371428571428571,0.0371428571428571,0.919973545973545,0.8620689655172413,1.0,COLLAPSE,COLLAPSE,COLLAPSE,COLLAPSE,False,False,False
0.25,0.05,3.0,1.5,4,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_three_regime_confirm/sigma_0.25/pi_0.05/base_opp_3.00/exit_threshold_1.50/seed_04,1.0,0.9971428571428572,0.0485714285714285,0.0485714285714285,0.8738095248095239,0.8714285714285714,1.0,COLLAPSE,COLLAPSE,COLLAPSE,COLLAPSE,False,False,False
0.25,0.05,3.0,1.5,5,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_three_regime_confirm/sigma_0.25/pi_0.05/base_opp_3.00/exit_threshold_1.50/seed_05,0.0,0.9971428571428572,0.0628571428571428,0.0628571428571428,0.821901865072508,0.8441558441558441,1.0,COLLAPSE,COLLAPSE,COLLAPSE,COLLAPSE,False,False,False
0.25,0.05,5.0,-1.0,1,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_three_regime_confirm/sigma_0.25/pi_0.05/base_opp_5.00/exit_threshold_-1.00/seed_01,0.0044247787610619,0.3542857142857142,0.0457142857142857,0.0457142857142857,0.6083342188865344,0.6001821493624773,0.7367941712204007,QUIET,QUIET,QUIET,QUIET,False,False,False
0.25,0.05,5.0,-1.0,2,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_three_regime_confirm/sigma_0.25/pi_0.05/base_opp_5.00/exit_threshold_-1.00/seed_02,0.0,0.3085714285714285,0.0628571428571428,0.0628571428571428,0.5037426019364785,0.5080808080808081,0.6616161616161617,QUIET,QUIET,QUIET,QUIET,False,False,False
0.25,0.05,5.0,-1.0,3,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_three_regime_confirm/sigma_0.25/pi_0.05/base_opp_5.00/exit_threshold_-1.00/seed_03,0.0119047619047619,0.28,0.04,0.04,0.6290603359995616,0.5981818181818181,0.7327272727272728,QUIET,QUIET,QUIET,QUIET,False,False,False
0.25,0.05,5.0,-1.0,4,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_three_regime_confirm/sigma_0.25/pi_0.05/base_opp_5.00/exit_threshold_-1.00/seed_04,0.0042016806722689,0.32,0.0485714285714285,0.0485714285714285,0.6419100246779794,0.6023993144815767,0.7275064267352185,QUIET,QUIET,QUIET,QUIET,False,False,False
0.25,0.05,5.0,-1.0,5,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_three_regime_confirm/sigma_0.25/pi_0.05/base_opp_5.00/exit_threshold_-1.00/seed_05,0.0,0.3,0.0628571428571428,0.0628571428571428,0.5669442716259938,0.5916585838991271,0.7177497575169738,QUIET,QUIET,QUIET,QUIET,False,False,False
0.25,0.05,5.0,1.5,1,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_three_regime_confirm/sigma_0.25/pi_0.05/base_opp_5.00/exit_threshold_1.50/seed_01,0.0,0.9971428571428572,0.0371428571428571,0.5000000000000034,0.9697924307924297,0.8961038961038961,1.0,COLLAPSE,COLLAPSE,COLLAPSE,COLLAPSE,False,False,False
0.25,0.05,5.0,1.5,2,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_three_regime_confirm/sigma_0.25/pi_0.05/base_opp_5.00/exit_threshold_1.50/seed_02,0.0,0.9971428571428572,0.0628571428571428,0.0628571428571428,0.9241372063872053,0.8913043478260869,1.0,COLLAPSE,COLLAPSE,COLLAPSE,COLLAPSE,False,False,False
0.25,0.05,5.0,1.5,3,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_three_regime_confirm/sigma_0.25/pi_0.05/base_opp_5.00/exit_threshold_1.50/seed_03,0.0,0.9971428571428572,0.0371428571428571,0.5000000000000034,0.9399801597301587,0.85,1.0,COLLAPSE,COLLAPSE,COLLAPSE,COLLAPSE,False,False,False
0.25,0.05,5.0,1.5,4,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_three_regime_confirm/sigma_0.25/pi_0.05/base_opp_5.00/exit_threshold_1.50/seed_04,0.0,0.9914285714285714,0.0485714285714285,0.6666666666666657,0.9058333343333334,0.8705882352941177,1.0,COLLAPSE,COLLAPSE,COLLAPSE,COLLAPSE,False,False,False
0.25,0.05,5.0,1.5,5,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_three_regime_confirm/sigma_0.25/pi_0.05/base_opp_5.00/exit_threshold_1.50/seed_05,0.0,0.9942857142857144,0.0628571428571428,0.0628571428571428,0.821901865072508,0.8441558441558441,1.0,COLLAPSE,COLLAPSE,COLLAPSE,COLLAPSE,False,False,False
0.25,0.25,0.3,-1.0,1,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_three_regime_confirm/sigma_0.25/pi_0.25/base_opp_0.30/exit_threshold_-1.00/seed_01,0.0958904109589041,0.3742857142857143,0.1114285714285714,0.1174496644295302,0.7887058011789387,0.8361469712015889,0.9528301886792453,MIXED,MIXED,MIXED,MIXED,False,False,False
0.25,0.25,0.3,-1.0,2,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_three_regime_confirm/sigma_0.25/pi_0.25/base_opp_0.30/exit_threshold_-1.00/seed_02,0.0932642487046632,0.4485714285714285,0.1171428571428571,0.11747851002865324,0.8962231574666388,0.8279192273924495,0.9514925373134329,MIXED,MIXED,MIXED,MIXED,False,False,False
0.25,0.25,0.3,-1.0,3,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_three_regime_confirm/sigma_0.25/pi_0.25/base_opp_0.30/exit_threshold_-1.00/seed_03,0.0980392156862745,0.4171428571428571,0.1428571428571428,0.15241635687732338,0.7521555464391937,0.7966969062572691,0.9541753896254943,MIXED,MIXED,MIXED,MIXED,False,False,False
0.25,0.25,0.3,-1.0,4,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_three_regime_confirm/sigma_0.25/pi_0.25/base_opp_0.30/exit_threshold_-1.00/seed_04,0.1016042780748663,0.4657142857142857,0.1228571428571428,0.12618296529968442,0.9030260111882027,0.8340825500612995,0.9589293011851246,MIXED,MIXED,MIXED,MIXED,False,False,False
0.25,0.25,0.3,-1.0,5,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_three_regime_confirm/sigma_0.25/pi_0.25/base_opp_0.30/exit_threshold_-1.00/seed_05,0.0865800865800865,0.34,0.1257142857142857,0.1452145214521452,0.7891047461331682,0.8145814581458146,0.946894689468947,MIXED,MIXED,MIXED,MIXED,False,False,False
0.25,0.25,0.3,1.5,1,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_three_regime_confirm/sigma_0.25/pi_0.25/base_opp_0.30/exit_threshold_1.50/seed_01,0.0884955752212389,0.6771428571428572,0.0685714285714285,0.15789473684210512,0.6927996987780863,0.9208480565371024,0.9519434628975265,QUIET,MIXED,QUIET,MIXED,True,True,True
