t,fund_prevalence,exit_rate,punish_rate,enforcer_punish_share_step,sigma,pi_reward,base_opp,exit_threshold,seed,regime,regime_column
51,0.0492957746478873,0.1885714285714285,0.0628571428571428,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
52,0.0492957746478873,0.1885714285714285,0.0714285714285714,0.9642857142857144,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
53,0.0528169014084507,0.1885714285714285,0.0542857142857142,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
54,0.0528169014084507,0.1885714285714285,0.0457142857142857,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
55,0.0530035335689045,0.1914285714285714,0.08,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
56,0.0565371024734982,0.1914285714285714,0.0628571428571428,0.9615384615384616,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
57,0.0565371024734982,0.1914285714285714,0.0857142857142857,0.9714285714285714,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
58,0.0565371024734982,0.1914285714285714,0.0942857142857142,0.951219512195122,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
59,0.0602836879432624,0.1942857142857142,0.08,0.967741935483871,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
60,0.0604982206405693,0.1971428571428571,0.08,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
61,0.0604982206405693,0.1971428571428571,0.0685714285714285,0.9655172413793104,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
62,0.0604982206405693,0.1971428571428571,0.0571428571428571,0.9583333333333334,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
63,0.0604982206405693,0.1971428571428571,0.0714285714285714,0.9629629629629628,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
64,0.0640569395017793,0.1971428571428571,0.1,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
65,0.0640569395017793,0.1971428571428571,0.0971428571428571,0.9743589743589745,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
66,0.0640569395017793,0.1971428571428571,0.0685714285714285,0.9642857142857144,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
67,0.0642857142857142,0.2,0.0742857142857142,0.9714285714285714,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
68,0.0642857142857142,0.2,0.0828571428571428,0.945945945945946,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
69,0.0642857142857142,0.2,0.0742857142857142,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
70,0.0642857142857142,0.2,0.0628571428571428,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
71,0.0714285714285714,0.2,0.0857142857142857,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
72,0.075,0.2,0.08,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
73,0.075,0.2,0.0914285714285714,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
74,0.075,0.2,0.1,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
75,0.075,0.2,0.0971428571428571,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
76,0.075,0.2,0.1114285714285714,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
77,0.0755395683453237,0.2057142857142857,0.0942857142857142,0.9777777777777776,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
78,0.0755395683453237,0.2057142857142857,0.0828571428571428,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
79,0.0755395683453237,0.2057142857142857,0.0857142857142857,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
80,0.0755395683453237,0.2057142857142857,0.1142857142857142,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
81,0.0755395683453237,0.2057142857142857,0.0885714285714285,0.975,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
82,0.0755395683453237,0.2057142857142857,0.0971428571428571,0.9767441860465116,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
83,0.0755395683453237,0.2057142857142857,0.1114285714285714,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
84,0.075812274368231,0.2085714285714285,0.0828571428571428,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
85,0.075812274368231,0.2085714285714285,0.0942857142857142,0.9787234042553192,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
86,0.0760869565217391,0.2114285714285714,0.08,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
87,0.0760869565217391,0.2114285714285714,0.12,0.9803921568627452,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
88,0.0763636363636363,0.2142857142857142,0.0942857142857142,0.9333333333333332,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
89,0.0763636363636363,0.2142857142857142,0.1,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
90,0.0763636363636363,0.2142857142857142,0.1028571428571428,0.9787234042553192,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
91,0.0766423357664233,0.2171428571428571,0.0971428571428571,0.9583333333333334,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
92,0.0769230769230769,0.22,0.0885714285714285,0.9534883720930232,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
93,0.0772058823529411,0.2228571428571428,0.0885714285714285,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
94,0.0772058823529411,0.2228571428571428,0.0857142857142857,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
95,0.0772058823529411,0.2228571428571428,0.0942857142857142,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
96,0.0777777777777777,0.2285714285714285,0.1,0.9782608695652174,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
97,0.0783582089552238,0.2342857142857143,0.0885714285714285,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
98,0.0783582089552238,0.2342857142857143,0.0771428571428571,0.9714285714285714,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
99,0.0789473684210526,0.24,0.0857142857142857,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
100,0.0792452830188679,0.2428571428571428,0.0942857142857142,0.9772727272727272,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
101,0.0795454545454545,0.2457142857142857,0.0857142857142857,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
102,0.0798479087452471,0.2485714285714285,0.0857142857142857,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
103,0.0798479087452471,0.2485714285714285,0.0942857142857142,0.975609756097561,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
104,0.0798479087452471,0.2485714285714285,0.0857142857142857,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
105,0.0836501901140684,0.2485714285714285,0.1,0.9361702127659576,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
106,0.0839694656488549,0.2514285714285714,0.0857142857142857,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
107,0.0839694656488549,0.2514285714285714,0.0771428571428571,0.9714285714285714,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
108,0.0839694656488549,0.2514285714285714,0.0914285714285714,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
109,0.0839694656488549,0.2514285714285714,0.0857142857142857,0.975609756097561,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
110,0.0842911877394636,0.2542857142857143,0.08,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
111,0.0842911877394636,0.2542857142857143,0.0885714285714285,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
112,0.0846153846153846,0.2571428571428571,0.0914285714285714,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
113,0.0846153846153846,0.2571428571428571,0.0857142857142857,0.9487179487179488,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
114,0.0849420849420849,0.26,0.0885714285714285,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
115,0.0849420849420849,0.26,0.0828571428571428,0.9473684210526316,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
116,0.0849420849420849,0.26,0.0971428571428571,0.975,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
117,0.0849420849420849,0.26,0.0828571428571428,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
118,0.0849420849420849,0.26,0.0857142857142857,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
119,0.0849420849420849,0.26,0.0942857142857142,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
120,0.0859375,0.2685714285714285,0.0628571428571428,0.9642857142857144,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
121,0.0859375,0.2685714285714285,0.0914285714285714,0.9534883720930232,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
122,0.0859375,0.2685714285714285,0.0771428571428571,0.9743589743589745,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
123,0.0859375,0.2685714285714285,0.0714285714285714,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
124,0.0862745098039215,0.2714285714285714,0.0828571428571428,0.975,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
125,0.0862745098039215,0.2714285714285714,0.0828571428571428,0.9473684210526316,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
126,0.0862745098039215,0.2714285714285714,0.08,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
127,0.0866141732283464,0.2742857142857143,0.0714285714285714,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
128,0.0866141732283464,0.2742857142857143,0.0857142857142857,0.9736842105263158,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
129,0.0869565217391304,0.2771428571428571,0.0771428571428571,0.9166666666666666,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
130,0.0873015873015873,0.28,0.0714285714285714,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
