eta_delta_drift,delta0,sigma,pi_reward,alpha,mu_membership_reward,n_seeds,regime_majority,n_collapse,n_capture,n_mixed,n_quiet,median_fund_prevalence,median_exit_rate,median_top5_share,median_max_punish,median_enforcer_punish_share,median_final_delta
0.0,0.95,0.05,0.01,0.0,0.0,30,QUIET,0,0,0,30,0.0,0.0085714285714285,0.43275858572286885,0.0514285714285714,0.45994687624204866,0.95
0.0,0.95,0.05,0.03,0.0,0.0,30,QUIET,0,0,0,30,0.0,0.0085714285714285,0.4382754332566845,0.0514285714285714,0.46595960122467606,0.95
0.0,0.95,0.05,0.05,0.0,0.0,30,QUIET,0,0,0,30,0.0,0.0071428571428571,0.4349449341349989,0.0514285714285714,0.4590994384498809,0.95
0.0,0.95,0.05,0.1,0.0,0.0,30,QUIET,0,0,0,30,0.0,0.0071428571428571,0.43647726522489555,0.0514285714285714,0.47084816335968294,0.95
0.0,0.95,0.05,0.15,0.0,0.0,30,QUIET,0,0,0,30,0.0,0.0085714285714285,0.43301962594640264,0.0514285714285714,0.4608496190235498,0.95
0.0,0.95,0.05,0.25,0.0,0.0,30,CAPTURE,0,26,0,4,0.0802469135802469,0.0828571428571428,0.7159606394477953,0.1070396366639141,0.9537573176221322,0.95
0.0,0.95,0.05,0.5,0.0,0.0,30,CAPTURE,0,30,0,0,0.0813367666815942,0.1057142857142857,0.7522748653900064,0.1232704223210552,0.9673548220497812,0.95
0.0,0.95,0.15,0.01,0.0,0.0,30,QUIET,0,0,0,30,0.0,0.0028571428571428,0.4314428869643594,0.0514285714285714,0.4456104832173549,0.95
0.0,0.95,0.15,0.03,0.0,0.0,30,QUIET,0,0,0,30,0.0,0.0028571428571428,0.4280205277153595,0.0514285714285714,0.44843409067543305,0.95
0.0,0.95,0.15,0.05,0.0,0.0,30,QUIET,0,0,0,30,0.0,0.0028571428571428,0.425967812092214,0.0514285714285714,0.4463775154472012,0.95
0.0,0.95,0.15,0.1,0.0,0.0,30,QUIET,0,4,0,26,0.05688673748375235,0.0457142857142857,0.8758942746322345,0.08541992018046154,0.9235287715162384,0.95
