eta_delta_drift,delta0,sigma,pi_reward,alpha,mu_membership_reward,n_seeds,regime_majority,n_collapse,n_capture,n_mixed,n_quiet,median_fund_prevalence,median_exit_rate,median_top5_share,median_max_punish,median_enforcer_punish_share,median_final_delta
0.0,0.1,0.25,0.05,0.0,0.0,30,QUIET,0,0,0,30,0.0,0.0428571428571428,0.4282696308214454,0.04999999999999995,0.4590265206629398,0.1
0.0,0.1,0.25,0.25,0.0,0.0,30,MIXED,0,0,30,0,0.09462041884816749,0.41428571428571426,0.8211562542624848,0.13137085137085136,0.7741123383502111,0.1
0.0,0.1,0.25,0.5,0.0,0.0,30,MIXED,0,0,30,0,0.12318772908738584,0.41857142857142854,0.8040948703739507,0.16868212642860525,0.7520122338231063,0.1
0.0,0.1,0.75,0.05,0.0,0.0,30,MIXED,0,0,30,0,0.09840291750503015,0.36857142857142855,0.8090896553726447,0.14435380181777874,0.9000770438686145,0.1
0.0,0.1,0.75,0.25,0.0,0.0,30,MIXED,0,0,30,0,0.13928615843800518,0.3957142857142857,0.8080648065799574,0.16093699641570058,0.9551579526149141,0.1
0.0,0.1,0.75,0.5,0.0,0.0,30,MIXED,0,0,30,0,0.1461469403094139,0.38999999999999996,0.8092968818991547,0.16241883116883116,0.962751227212061,0.1
0.0,0.1,0.95,0.05,0.0,0.0,30,MIXED,0,0,30,0,0.09341868012982324,0.3142857142857143,0.7934097206336432,0.13050931814411326,0.9623862843090527,0.1
0.0,0.1,0.95,0.25,0.0,0.0,30,MIXED,0,0,30,0,0.1295183982683982,0.31285714285714283,0.7808216188210778,0.1356723189052506,0.9684011884207355,0.1
0.0,0.1,0.95,0.5,0.0,0.0,30,MIXED,0,0,30,0,0.13000128032776384,0.3071428571428571,0.7804512480514796,0.13593863972944892,0.9697383254425358,0.1
0.0,0.2,0.25,0.05,0.0,0.0,30,QUIET,0,0,0,30,0.0,0.0342857142857142,0.42279595369524037,0.04999999999999995,0.44952434815022935,0.2
0.0,0.2,0.25,0.25,0.0,0.0,30,MIXED,0,0,30,0,0.0916771693973766,0.3971428571428571,0.8161909991286493,0.13391861761426976,0.7922930195020957,0.2
0.0,0.2,0.25,0.5,0.0,0.0,30,MIXED,0,0,30,0,0.12318772908738584,0.40714285714285714,0.8098484326984345,0.17124025173012186,0.7618252009634039,0.2
0.0,0.2,0.75,0.05,0.0,0.0,30,MIXED,0,0,30,0,0.1,0.3657142857142857,0.8306119724899164,0.1441717791411043,0.9333982278675717,0.2
0.0,0.2,0.75,0.25,0.0,0.0,30,MIXED,0,0,30,0,0.13668064261696206,0.3957142857142857,0.8118694833154025,0.16769877567252783,0.9598410799021164,0.2
0.0,0.2,0.75,0.5,0.0,0.0,30,MIXED,0,0,30,0,0.145168143096892,0.38428571428571423,0.8095896896912484,0.16615367131045844,0.9663488603341275,0.2
0.0,0.2,0.95,0.05,0.0,0.0,30,MIXED,0,0,30,0,0.09376900488262585,0.3085714285714285,0.7934298382564167,0.1342373498361849,0.9639550940592285,0.2
0.0,0.2,0.95,0.25,0.0,0.0,30,MIXED,0,0,30,0,0.1333426028921023,0.30428571428571427,0.7714639908368719,0.1415523632993512,0.9699467244250495,0.2
0.0,0.2,0.95,0.5,0.0,0.0,30,MIXED,0,0,30,0,0.1295546558704453,0.3028571428571429,0.7724133330842868,0.13917738212990438,0.9703306878160448,0.2
0.0,0.3,0.25,0.05,0.0,0.0,30,QUIET,0,0,0,30,0.0,0.0285714285714285,0.424390484651071,0.04999999999999995,0.4447932305997334,0.3
0.0,0.3,0.25,0.25,0.0,0.0,30,MIXED,0,0,30,0,0.09466571834992885,0.3957142857142857,0.8314438073574286,0.13700627021845915,0.8465626691560078,0.3
0.0,0.3,0.25,0.5,0.0,0.0,30,MIXED,0,0,30,0,0.1211607949412827,0.4114285714285715,0.8203040073188501,0.17111100157728704,0.8236887308427455,0.3
0.0,0.3,0.75,0.05,0.0,0.0,30,MIXED,0,0,30,0,0.0984633660331085,0.36142857142857143,0.8261118834490333,0.15079221093372036,0.9432806676880754,0.3
0.0,0.3,0.75,0.25,0.0,0.0,30,MIXED,0,0,30,0,0.1388138370908446,0.37285714285714283,0.8036102053392541,0.1694135735865343,0.9645601272294033,0.3
0.0,0.3,0.75,0.5,0.0,0.0,30,MIXED,0,0,30,0,0.14452292979787001,0.3771428571428571,0.8104360891005039,0.16793863557122374,0.9667856488679779,0.3
0.0,0.3,0.95,0.05,0.0,0.0,30,MIXED,0,0,30,0,0.09274796747967476,0.3028571428571429,0.7966637839842707,0.1385135135135135,0.9685150009411385,0.3
0.0,0.3,0.95,0.25,0.0,0.0,30,MIXED,0,0,30,0,0.13184226983970238,0.30428571428571427,0.7699474945666605,0.14380482456140348,0.9710943735426645,0.3
0.0,0.3,0.95,0.5,0.0,0.0,30,MIXED,0,0,30,0,0.13114974384815653,0.30142857142857143,0.7660813379265872,0.14244306418219455,0.9706788733877375,0.3
0.05,0.1,0.25,0.05,0.0,0.0,30,QUIET,0,0,0,30,0.0,0.0428571428571428,0.4282696308214454,0.04999999999999995,0.4590265206629398,0.1
0.05,0.1,0.25,0.25,0.0,0.0,30,MIXED,0,0,30,0,0.08169458939851684,0.0542857142857142,0.8101639607967841,0.16541390788378735,0.9807480767884136,0.9999999994162319
