sigma,pi_reward,base_opp,exit_threshold,seed,final_fund_prevalence,final_exit_rate,max_punish,enforcer_punish_share,top5_punishment_share,top10_punishment_share,regime_legacy,regime_hier,run_dir
0.25,0.05,3.0,-1.0,1,0.0167364016736401,0.3171428571428571,0.0457142857142857,0.6734190262562421,0.6750788643533123,0.7807570977917981,QUIET,QUIET,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_sweep_regime_search_fast/sigma_0.25/pi_0.05/base_opp_3.00/exit_threshold_-1.00/seed_01
0.25,0.05,3.0,-1.0,2,0.0083333333333333,0.3142857142857143,0.0628571428571428,0.6020377042877033,0.5807248764415156,0.7191103789126854,QUIET,QUIET,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_sweep_regime_search_fast/sigma_0.25/pi_0.05/base_opp_3.00/exit_threshold_-1.00/seed_02
0.25,0.05,3.0,1.0,1,0.0,0.7914285714285715,0.0371428571428571,0.538945120208277,0.6844444444444444,0.8311111111111111,QUIET,QUIET,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_sweep_regime_search_fast/sigma_0.25/pi_0.05/base_opp_3.00/exit_threshold_1.00/seed_01
0.25,0.05,3.0,1.0,2,0.0,0.8142857142857143,0.0628571428571428,0.676393042411027,0.7214765100671141,0.8859060402684564,QUIET,QUIET,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_sweep_regime_search_fast/sigma_0.25/pi_0.05/base_opp_3.00/exit_threshold_1.00/seed_02
0.25,0.05,3.0,1.5,1,0.0,0.9942857142857144,0.0371428571428571,0.9433608068608058,0.9,1.0,COLLAPSE,COLLAPSE,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_sweep_regime_search_fast/sigma_0.25/pi_0.05/base_opp_3.00/exit_threshold_1.50/seed_01
0.25,0.05,3.0,1.5,2,0.0,0.9971428571428572,0.0628571428571428,0.9649864034864024,0.8686868686868687,1.0,COLLAPSE,COLLAPSE,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_sweep_regime_search_fast/sigma_0.25/pi_0.05/base_opp_3.00/exit_threshold_1.50/seed_02
0.25,0.05,5.0,-1.0,1,0.0044247787610619,0.3542857142857142,0.0457142857142857,0.6083342188865344,0.6001821493624773,0.7367941712204007,QUIET,QUIET,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_sweep_regime_search_fast/sigma_0.25/pi_0.05/base_opp_5.00/exit_threshold_-1.00/seed_01
0.25,0.05,5.0,-1.0,2,0.0,0.3085714285714285,0.0628571428571428,0.5037426019364785,0.5080808080808081,0.6616161616161617,QUIET,QUIET,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_sweep_regime_search_fast/sigma_0.25/pi_0.05/base_opp_5.00/exit_threshold_-1.00/seed_02
0.25,0.05,5.0,1.0,1,0.0,0.7971428571428572,0.0371428571428571,0.6942912443478472,0.805,0.9,QUIET,QUIET,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_sweep_regime_search_fast/sigma_0.25/pi_0.05/base_opp_5.00/exit_threshold_1.00/seed_01
0.25,0.05,5.0,1.0,2,0.0,0.8228571428571428,0.0628571428571428,0.4993853475207632,0.6181229773462783,0.7896440129449838,QUIET,QUIET,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_sweep_regime_search_fast/sigma_0.25/pi_0.05/base_opp_5.00/exit_threshold_1.00/seed_02
0.25,0.05,5.0,1.5,1,0.0,0.9971428571428572,0.0371428571428571,0.9697924307924297,0.8961038961038961,1.0,COLLAPSE,COLLAPSE,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_sweep_regime_search_fast/sigma_0.25/pi_0.05/base_opp_5.00/exit_threshold_1.50/seed_01
0.25,0.05,5.0,1.5,2,0.0,0.9971428571428572,0.0628571428571428,0.9241372063872053,0.8913043478260869,1.0,COLLAPSE,COLLAPSE,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_sweep_regime_search_fast/sigma_0.25/pi_0.05/base_opp_5.00/exit_threshold_1.50/seed_02
0.25,0.25,0.3,-1.0,1,0.0958904109589041,0.3742857142857143,0.1114285714285714,0.7887058011789387,0.8361469712015889,0.9528301886792453,MIXED,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_sweep_regime_search_fast/sigma_0.25/pi_0.25/base_opp_0.30/exit_threshold_-1.00/seed_01
0.25,0.25,0.3,-1.0,2,0.0932642487046632,0.4485714285714285,0.1171428571428571,0.8962231574666388,0.8279192273924495,0.9514925373134329,MIXED,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_sweep_regime_search_fast/sigma_0.25/pi_0.25/base_opp_0.30/exit_threshold_-1.00/seed_02
0.25,0.25,0.3,1.0,1,0.0909090909090909,0.4657142857142857,0.1057142857142857,0.7850279382775774,0.9089020771513353,0.9513353115727003,MIXED,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_sweep_regime_search_fast/sigma_0.25/pi_0.25/base_opp_0.30/exit_threshold_1.00/seed_01
0.25,0.25,0.3,1.0,2,0.0969696969696969,0.5285714285714286,0.0885714285714285,0.850011837774621,0.8986147951665193,0.9487179487179487,QUIET,QUIET,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_sweep_regime_search_fast/sigma_0.25/pi_0.25/base_opp_0.30/exit_threshold_1.00/seed_02
0.25,0.25,0.3,1.5,1,0.0884955752212389,0.6771428571428572,0.0685714285714285,0.6927996987780863,0.9208480565371024,0.9519434628975265,QUIET,QUIET,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_sweep_regime_search_fast/sigma_0.25/pi_0.25/base_opp_0.30/exit_threshold_1.50/seed_01
0.25,0.25,0.3,1.5,2,0.1170212765957446,0.7314285714285714,0.08,0.8538173888022043,0.9501133786848073,0.9735449735449735,QUIET,QUIET,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_sweep_regime_search_fast/sigma_0.25/pi_0.25/base_opp_0.30/exit_threshold_1.50/seed_02
0.25,0.25,1.5,-1.0,1,0.0927835051546391,0.4457142857142857,0.1114285714285714,0.4847822210648951,0.74800796812749,0.900398406374502,MIXED,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_sweep_regime_search_fast/sigma_0.25/pi_0.25/base_opp_1.50/exit_threshold_-1.00/seed_01
0.25,0.25,1.5,-1.0,2,0.100502512562814,0.4314285714285714,0.1057142857142857,0.45054211543878836,0.6118843683083511,0.8656316916488223,MIXED,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_sweep_regime_search_fast/sigma_0.25/pi_0.25/base_opp_1.50/exit_threshold_-1.00/seed_02
0.25,0.25,1.5,1.0,1,0.0804597701149425,0.7514285714285714,0.0542857142857142,0.5190922550464875,0.8073929961089494,0.9027237354085603,QUIET,QUIET,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_sweep_regime_search_fast/sigma_0.25/pi_0.25/base_opp_1.50/exit_threshold_1.00/seed_01
0.25,0.25,1.5,1.0,2,0.073170731707317,0.7657142857142857,0.08,0.5793943402973565,0.8169014084507042,0.9154929577464789,QUIET,QUIET,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_sweep_regime_search_fast/sigma_0.25/pi_0.25/base_opp_1.50/exit_threshold_1.00/seed_02
0.25,0.25,1.5,1.5,1,0.1428571428571428,0.98,0.0542857142857142,0.6470029249766082,0.9339622641509434,1.0,COLLAPSE,COLLAPSE,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_sweep_regime_search_fast/sigma_0.25/pi_0.25/base_opp_1.50/exit_threshold_1.50/seed_01
0.25,0.25,1.5,1.5,2,0.2,0.9857142857142858,0.08,0.7797570542915361,0.934640522875817,1.0,COLLAPSE,COLLAPSE,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_sweep_regime_search_fast/sigma_0.25/pi_0.25/base_opp_1.50/exit_threshold_1.50/seed_02
0.25,0.25,3.0,-1.0,1,0.0952380952380952,0.46,0.1114285714285714,0.40776056102148456,0.741423125794155,0.8945362134688691,MIXED,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_sweep_regime_search_fast/sigma_0.25/pi_0.25/base_opp_3.00/exit_threshold_-1.00/seed_01
0.25,0.25,3.0,-1.0,2,0.096045197740113,0.4942857142857143,0.1142857142857142,0.3800892098400942,0.6327543424317618,0.859181141439206,MIXED,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_sweep_regime_search_fast/sigma_0.25/pi_0.25/base_opp_3.00/exit_threshold_-1.00/seed_02
0.25,0.25,3.0,1.0,1,0.0895522388059701,0.8085714285714286,0.0542857142857142,0.5285871464731103,0.8398058252427184,0.9199029126213593,QUIET,QUIET,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_sweep_regime_search_fast/sigma_0.25/pi_0.25/base_opp_3.00/exit_threshold_1.00/seed_01
0.25,0.25,3.0,1.0,2,0.0655737704918032,0.8257142857142857,0.08,0.6582578466539355,0.7904191616766467,0.9221556886227545,QUIET,QUIET,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_sweep_regime_search_fast/sigma_0.25/pi_0.25/base_opp_3.00/exit_threshold_1.00/seed_02
0.25,0.25,3.0,1.5,1,0.0,0.9971428571428572,0.0542857142857142,0.9176023401812865,0.9541284403669725,1.0,COLLAPSE,COLLAPSE,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_sweep_regime_search_fast/sigma_0.25/pi_0.25/base_opp_3.00/exit_threshold_1.50/seed_01
0.25,0.25,3.0,1.5,2,0.25,0.9885714285714284,0.08,0.8924233104491714,0.9402985074626866,1.0,COLLAPSE,COLLAPSE,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_sweep_regime_search_fast/sigma_0.25/pi_0.25/base_opp_3.00/exit_threshold_1.50/seed_02
0.25,0.25,5.0,-1.0,1,0.1005291005291005,0.46,0.1085714285714285,0.4197645974820075,0.7229773462783171,0.8692556634304207,MIXED,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_sweep_regime_search_fast/sigma_0.25/pi_0.25/base_opp_5.00/exit_threshold_-1.00/seed_01
0.25,0.25,5.0,-1.0,2,0.1027027027027027,0.4714285714285714,0.1142857142857142,0.4576730840226886,0.6068585425597061,0.8622167789344765,MIXED,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_sweep_regime_search_fast/sigma_0.25/pi_0.25/base_opp_5.00/exit_threshold_-1.00/seed_02
0.25,0.25,5.0,1.0,1,0.0784313725490196,0.8542857142857143,0.0542857142857142,0.5901594655955548,0.8378378378378378,0.9420849420849421,QUIET,QUIET,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_sweep_regime_search_fast/sigma_0.25/pi_0.25/base_opp_5.00/exit_threshold_1.00/seed_01
0.25,0.25,5.0,1.0,2,0.0697674418604651,0.8771428571428571,0.08,0.6297146937026564,0.8238341968911918,0.9689119170984456,QUIET,QUIET,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_sweep_regime_search_fast/sigma_0.25/pi_0.25/base_opp_5.00/exit_threshold_1.00/seed_02
0.25,0.25,5.0,1.5,1,1.0,0.9971428571428572,0.0542857142857142,0.8455043869649123,0.9509803921568627,1.0,COLLAPSE,COLLAPSE,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_sweep_regime_search_fast/sigma_0.25/pi_0.25/base_opp_5.00/exit_threshold_1.50/seed_01
0.25,0.25,5.0,1.5,2,1.0,0.9971428571428572,0.08,0.8924233104491714,0.9402985074626866,1.0,COLLAPSE,COLLAPSE,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_sweep_regime_search_fast/sigma_0.25/pi_0.25/base_opp_5.00/exit_threshold_1.50/seed_02
0.25,0.5,0.3,-1.0,1,0.1313131313131313,0.4342857142857143,0.1771428571428571,0.6876260678755117,0.7761887736860923,0.9590632820879513,MIXED,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_sweep_regime_search_fast/sigma_0.25/pi_0.50/base_opp_0.30/exit_threshold_-1.00/seed_01
0.25,0.5,0.3,-1.0,2,0.0995475113122171,0.3685714285714285,0.1714285714285714,0.6137431597858888,0.7747731397459166,0.946098003629764,MIXED,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_sweep_regime_search_fast/sigma_0.25/pi_0.50/base_opp_0.30/exit_threshold_-1.00/seed_02
0.25,0.5,0.3,1.0,1,0.1162790697674418,0.5085714285714286,0.1,0.6813587965279936,0.9056549336410848,0.9584535487593768,MIXED,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_sweep_regime_search_fast/sigma_0.25/pi_0.50/base_opp_0.30/exit_threshold_1.00/seed_01
0.25,0.5,0.3,1.0,2,0.1055900621118012,0.54,0.1057142857142857,0.7170126890294135,0.9214865218529181,0.9544621826746925,MIXED,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_sweep_regime_search_fast/sigma_0.25/pi_0.50/base_opp_0.30/exit_threshold_1.00/seed_02
0.25,0.5,0.3,1.5,1,0.1147540983606557,0.6514285714285715,0.0714285714285714,0.6674792932859975,0.9218843172331544,0.9576624925462135,QUIET,QUIET,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_sweep_regime_search_fast/sigma_0.25/pi_0.50/base_opp_0.30/exit_threshold_1.50/seed_01
0.25,0.5,0.3,1.5,2,0.1111111111111111,0.7171428571428572,0.0942857142857142,0.8495957904880915,0.9614711033274956,0.9824868651488616,QUIET,QUIET,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_sweep_regime_search_fast/sigma_0.25/pi_0.50/base_opp_0.30/exit_threshold_1.50/seed_02
0.25,0.5,1.5,-1.0,1,0.1263157894736842,0.4571428571428571,0.1542857142857142,0.4630732172807673,0.744345718901454,0.925686591276252,MIXED,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_sweep_regime_search_fast/sigma_0.25/pi_0.50/base_opp_1.50/exit_threshold_-1.00/seed_01
0.25,0.5,1.5,-1.0,2,0.1306818181818181,0.4971428571428571,0.1457142857142857,0.4911008962458184,0.7381137957911146,0.911925175370226,MIXED,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_sweep_regime_search_fast/sigma_0.25/pi_0.50/base_opp_1.50/exit_threshold_-1.00/seed_02
0.25,0.5,1.5,1.0,1,0.1142857142857142,0.7,0.0542857142857142,0.45708326622828815,0.8154311649016641,0.9062027231467473,QUIET,QUIET,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_sweep_regime_search_fast/sigma_0.25/pi_0.50/base_opp_1.50/exit_threshold_1.00/seed_01
0.25,0.5,1.5,1.0,2,0.1125,0.7714285714285715,0.0942857142857142,0.5772772402877595,0.8635135135135135,0.9310810810810811,QUIET,QUIET,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_sweep_regime_search_fast/sigma_0.25/pi_0.50/base_opp_1.50/exit_threshold_1.00/seed_02
0.25,0.5,1.5,1.5,1,0.375,0.9771428571428572,0.0542857142857142,0.7462111170253575,0.950920245398773,1.0,COLLAPSE,COLLAPSE,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_sweep_regime_search_fast/sigma_0.25/pi_0.50/base_opp_1.50/exit_threshold_1.50/seed_01
0.25,0.5,1.5,1.5,2,0.4444444444444444,0.9742857142857144,0.0942857142857142,0.945902996471961,0.9669811320754716,1.0,COLLAPSE,COLLAPSE,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_sweep_regime_search_fast/sigma_0.25/pi_0.50/base_opp_1.50/exit_threshold_1.50/seed_02
0.25,0.5,3.0,-1.0,1,0.1534090909090909,0.4971428571428571,0.1485714285714285,0.4066142364940529,0.6821158690176322,0.9138539042821159,MIXED,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_sweep_regime_search_fast/sigma_0.25/pi_0.50/base_opp_3.00/exit_threshold_-1.00/seed_01
0.25,0.5,3.0,-1.0,2,0.1222222222222222,0.4857142857142857,0.1657142857142857,0.3854147090885284,0.7,0.8994974874371859,MIXED,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_sweep_regime_search_fast/sigma_0.25/pi_0.50/base_opp_3.00/exit_threshold_-1.00/seed_02
0.25,0.5,3.0,1.0,1,0.1166666666666666,0.8285714285714286,0.0542857142857142,0.4902913636248512,0.823170731707317,0.9207317073170732,QUIET,QUIET,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_sweep_regime_search_fast/sigma_0.25/pi_0.50/base_opp_3.00/exit_threshold_1.00/seed_01
0.25,0.5,3.0,1.0,2,0.1403508771929824,0.8371428571428572,0.0942857142857142,0.5795678858211175,0.8758949880668258,0.9570405727923628,QUIET,QUIET,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_sweep_regime_search_fast/sigma_0.25/pi_0.50/base_opp_3.00/exit_threshold_1.00/seed_02
0.25,0.5,3.0,1.5,1,0.5,0.9885714285714284,0.0542857142857142,0.9747451973241437,0.9596774193548387,1.0,COLLAPSE,COLLAPSE,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_sweep_regime_search_fast/sigma_0.25/pi_0.50/base_opp_3.00/exit_threshold_1.50/seed_01
0.25,0.5,3.0,1.5,2,0.75,0.9885714285714284,0.0942857142857142,0.9087113058589341,0.9588235294117647,1.0,COLLAPSE,COLLAPSE,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_sweep_regime_search_fast/sigma_0.25/pi_0.50/base_opp_3.00/exit_threshold_1.50/seed_02
0.25,0.5,5.0,-1.0,1,0.1348314606741573,0.4914285714285714,0.1371428571428571,0.42157092793176254,0.7,0.9145161290322581,MIXED,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_sweep_regime_search_fast/sigma_0.25/pi_0.50/base_opp_5.00/exit_threshold_-1.00/seed_01
0.25,0.5,5.0,-1.0,2,0.1197604790419161,0.5228571428571429,0.1457142857142857,0.3841950146695906,0.7114026236125126,0.9006054490413723,MIXED,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_sweep_regime_search_fast/sigma_0.25/pi_0.50/base_opp_5.00/exit_threshold_-1.00/seed_02
0.25,0.5,5.0,1.0,1,0.1142857142857142,0.8,0.0542857142857142,0.47079040293075286,0.8028169014084507,0.9098591549295775,QUIET,QUIET,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_sweep_regime_search_fast/sigma_0.25/pi_0.50/base_opp_5.00/exit_threshold_1.00/seed_01
0.25,0.5,5.0,1.0,2,0.1489361702127659,0.8657142857142858,0.0942857142857142,0.5120039106613309,0.8712871287128713,0.9636963696369637,QUIET,QUIET,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_sweep_regime_search_fast/sigma_0.25/pi_0.50/base_opp_5.00/exit_threshold_1.00/seed_02
0.25,0.5,5.0,1.5,1,0.6666666666666666,0.9914285714285714,0.0542857142857142,0.9708598429124735,0.9568965517241379,1.0,COLLAPSE,COLLAPSE,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_sweep_regime_search_fast/sigma_0.25/pi_0.50/base_opp_5.00/exit_threshold_1.50/seed_01
0.25,0.5,5.0,1.5,2,1.0,0.9942857142857144,0.0942857142857142,0.9140812291025262,0.9588235294117647,1.0,COLLAPSE,COLLAPSE,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_sweep_regime_search_fast/sigma_0.25/pi_0.50/base_opp_5.00/exit_threshold_1.50/seed_02
0.75,0.05,0.3,-1.0,1,0.0850202429149797,0.2942857142857142,0.1371428571428571,0.9344737352666829,0.8497416974169741,0.9672324723247232,MIXED,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_sweep_regime_search_fast/sigma_0.75/pi_0.05/base_opp_0.30/exit_threshold_-1.00/seed_01
0.75,0.05,0.3,-1.0,2,0.0964912280701754,0.3485714285714286,0.1285714285714285,0.8396550918364799,0.8190963642781504,0.9643487469114014,MIXED,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_sweep_regime_search_fast/sigma_0.75/pi_0.05/base_opp_0.30/exit_threshold_-1.00/seed_02
0.75,0.05,0.3,1.0,1,0.0973451327433628,0.3542857142857142,0.1228571428571428,0.919261706686873,0.853007065311046,0.9663966913665345,MIXED,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_sweep_regime_search_fast/sigma_0.75/pi_0.05/base_opp_0.30/exit_threshold_1.00/seed_01
0.75,0.05,0.3,1.0,2,0.0909090909090909,0.34,0.1285714285714285,0.9237097353788316,0.864191163830153,0.9642427368059137,MIXED,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_sweep_regime_search_fast/sigma_0.75/pi_0.05/base_opp_0.30/exit_threshold_1.00/seed_02
0.75,0.05,0.3,1.5,1,0.1030927835051546,0.4457142857142857,0.1114285714285714,0.9034303324002791,0.8951847239518472,0.9694894146948941,MIXED,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_sweep_regime_search_fast/sigma_0.75/pi_0.05/base_opp_0.30/exit_threshold_1.50/seed_01
0.75,0.05,0.3,1.5,2,0.0994475138121546,0.4828571428571429,0.1085714285714285,0.8998329195919155,0.924391715262417,0.9666197466318118,MIXED,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_sweep_regime_search_fast/sigma_0.75/pi_0.05/base_opp_0.30/exit_threshold_1.50/seed_02
0.75,0.05,1.5,-1.0,1,0.0790513833992094,0.2771428571428571,0.1142857142857142,0.8127459177980897,0.76357733175915,0.9377213695395513,MIXED,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_sweep_regime_search_fast/sigma_0.75/pi_0.05/base_opp_1.50/exit_threshold_-1.00/seed_01
0.75,0.05,1.5,-1.0,2,0.0905172413793103,0.3371428571428571,0.1228571428571428,0.6214300593705396,0.7561957868649318,0.9383519206939281,MIXED,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_sweep_regime_search_fast/sigma_0.75/pi_0.05/base_opp_1.50/exit_threshold_-1.00/seed_02
0.75,0.05,1.5,1.0,1,0.0933333333333333,0.3571428571428571,0.0971428571428571,0.7250431802469538,0.8545454545454545,0.9411764705882353,QUIET,QUIET,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_sweep_regime_search_fast/sigma_0.75/pi_0.05/base_opp_1.50/exit_threshold_1.00/seed_01
0.75,0.05,1.5,1.0,2,0.0917874396135265,0.4085714285714286,0.0857142857142857,0.6706722768147378,0.7950969630442737,0.9275521405049396,QUIET,QUIET,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_sweep_regime_search_fast/sigma_0.75/pi_0.05/base_opp_1.50/exit_threshold_1.00/seed_02
0.75,0.05,1.5,1.5,1,0.0887096774193548,0.6457142857142857,0.0514285714285714,0.6773376633376623,0.9165808444902163,0.952626158599382,QUIET,QUIET,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_sweep_regime_search_fast/sigma_0.75/pi_0.05/base_opp_1.50/exit_threshold_1.50/seed_01
0.75,0.05,1.5,1.5,2,0.1011235955056179,0.7457142857142857,0.0514285714285714,0.8656091025466016,0.9234567901234568,0.9637860082304527,QUIET,QUIET,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_sweep_regime_search_fast/sigma_0.75/pi_0.05/base_opp_1.50/exit_threshold_1.50/seed_02
