sigma,pi_reward,base_opp,exit_threshold,n_seeds,regime_majority_legacy,regime_majority_hier,n_collapse_legacy,n_capture_legacy,n_mixed_legacy,n_quiet_legacy,n_collapse_hier,n_capture_hier,n_mixed_hier,n_quiet_hier,median_fund_prevalence,median_exit_rate,median_top5_share,median_max_punish,median_enforcer_punish_share
0.25,0.5,1.5,1.0,2,QUIET,QUIET,0,0,0,2,0,0,0,2,0.1133928571428571,0.7357142857142858,0.8394723392075888,0.0742857142857142,0.5171802532580239
0.25,0.5,1.5,1.5,2,COLLAPSE,COLLAPSE,2,0,0,0,2,0,0,0,0.4097222222222222,0.9757142857142858,0.9589506887371223,0.0742857142857142,0.8460570567486592
0.25,0.5,3.0,-1.0,2,MIXED,MIXED,0,0,2,0,0,0,2,0,0.13781565656565656,0.49142857142857144,0.6910579345088161,0.15714285714285708,0.39601447279129065
0.25,0.5,3.0,1.0,2,QUIET,QUIET,0,0,0,2,0,0,0,2,0.1285087719298245,0.832857142857143,0.8495328598870714,0.0742857142857142,0.5349296247229843
0.25,0.5,3.0,1.5,2,COLLAPSE,COLLAPSE,2,0,0,0,2,0,0,0,0.625,0.9885714285714284,0.9592504743833017,0.0742857142857142,0.9417282515915388
0.25,0.5,5.0,-1.0,2,MIXED,MIXED,0,0,2,0,0,0,2,0,0.1272959698580367,0.5071428571428571,0.7057013118062563,0.1414285714285714,0.4028829713006766
0.25,0.5,5.0,1.0,2,QUIET,QUIET,0,0,0,2,0,0,0,2,0.13161094224924005,0.832857142857143,0.8370520150606611,0.0742857142857142,0.4913971567960419
0.25,0.5,5.0,1.5,2,COLLAPSE,COLLAPSE,2,0,0,0,2,0,0,0,0.8333333333333333,0.9928571428571429,0.9578600405679514,0.0742857142857142,0.9424705360074999
0.75,0.05,0.3,-1.0,2,MIXED,MIXED,0,0,2,0,0,0,2,0,0.09075573549257755,0.3214285714285714,0.8344190308475623,0.13285714285714278,0.8870644135515814
0.75,0.05,0.3,1.0,2,MIXED,MIXED,0,0,2,0,0,0,2,0,0.09412711182622685,0.3471428571428571,0.8585991145705996,0.12571428571428567,0.9214857210328523
0.75,0.05,0.3,1.5,2,MIXED,MIXED,0,0,2,0,0,0,2,0,0.10127014865865461,0.4642857142857143,0.9097882196071321,0.10999999999999996,0.9016316259960973
0.75,0.05,1.5,-1.0,2,MIXED,MIXED,0,0,2,0,0,0,2,0,0.08478431238925985,0.30714285714285705,0.759886559312041,0.1185714285714285,0.7170879885843147
0.75,0.05,1.5,1.0,2,QUIET,QUIET,0,0,0,2,0,0,0,2,0.0925603864734299,0.38285714285714284,0.8248212087948641,0.0914285714285714,0.6978577285308458
0.75,0.05,1.5,1.5,2,QUIET,QUIET,0,0,0,2,0,0,0,2,0.09491663646248635,0.6957142857142857,0.9200188173068365,0.0514285714285714,0.771473382942132
0.75,0.05,3.0,-1.0,2,MIXED,MIXED,0,0,1,1,0,0,1,1,0.0911067193675889,0.3257142857142856,0.737996242578802,0.1014285714285714,0.5573688410497538
0.75,0.05,3.0,1.0,2,QUIET,QUIET,0,0,0,2,0,0,0,2,0.08632202106422521,0.4028571428571428,0.8176939678470496,0.0742857142857142,0.5956455698151772
0.75,0.05,3.0,1.5,2,QUIET,QUIET,0,0,0,2,0,0,0,2,0.09814995131450825,0.7942857142857143,0.8958218040951854,0.0428571428571428,0.7225851960628735
0.75,0.05,5.0,-1.0,2,MIXED,MIXED,0,0,2,0,0,0,2,0,0.08818541548897679,0.31999999999999995,0.7309719056682096,0.1071428571428571,0.5101926493708155
0.75,0.05,5.0,1.0,2,QUIET,QUIET,0,0,0,2,0,0,0,2,0.0966563028418698,0.45285714285714285,0.8186958613047316,0.05857142857142855,0.723367163859008
0.75,0.05,5.0,1.5,2,QUIET,QUIET,0,0,0,2,0,0,0,2,0.09303997699165945,0.8314285714285714,0.9118788819875776,0.0428571428571428,0.7737222662819461
0.75,0.25,0.3,-1.0,2,MIXED,MIXED,0,0,2,0,0,0,2,0,0.11691391762639075,0.3528571428571428,0.8170854147702915,0.1471428571428571,0.9475310443648071
0.75,0.25,0.3,1.0,2,MIXED,MIXED,0,0,2,0,0,0,2,0,0.1091679506933744,0.34857142857142853,0.859034397071588,0.13428571428571426,0.9440702237475747
0.75,0.25,0.3,1.5,2,MIXED,MIXED,0,0,2,0,0,0,2,0,0.1252795505372824,0.45285714285714285,0.9181809713559423,0.1114285714285714,0.9460157280274082
0.75,0.25,1.5,-1.0,2,MIXED,MIXED,0,0,2,0,0,0,2,0,0.11305576025546546,0.3671428571428571,0.7976795011035189,0.11999999999999994,0.8758136015808304
0.75,0.25,1.5,1.0,2,QUIET,QUIET,0,0,0,2,0,0,0,2,0.12254524451289944,0.41714285714285715,0.9034890504884111,0.09142857142857135,0.9417319845086662
0.75,0.25,1.5,1.5,2,QUIET,QUIET,0,0,0,2,0,0,0,2,0.10657596371882086,0.7185714285714286,0.9379771640075398,0.04428571428571425,0.9102311116113536
0.75,0.25,3.0,-1.0,2,MIXED,MIXED,0,0,2,0,0,0,2,0,0.11037126715092815,0.3628571428571429,0.8232781560458557,0.1171428571428571,0.903790206301579
0.75,0.25,3.0,1.0,2,QUIET,QUIET,0,0,0,2,0,0,0,2,0.10562697065243751,0.41857142857142854,0.8465732897640998,0.0671428571428571,0.8146447038684319
0.75,0.25,3.0,1.5,2,QUIET,QUIET,0,0,0,2,0,0,0,2,0.12430287430287425,0.8042857142857143,0.953430356303729,0.0428571428571428,0.9310427599409891
0.75,0.25,5.0,-1.0,2,MIXED,MIXED,0,0,2,0,0,0,2,0,0.10493827160493825,0.34428571428571425,0.834508268625278,0.11857142857142855,0.893408977000393
0.75,0.25,5.0,1.0,2,QUIET,QUIET,0,0,0,2,0,0,0,2,0.10708702449192284,0.4671428571428572,0.8775229003259482,0.0685714285714285,0.8148902598629852
0.75,0.25,5.0,1.5,2,QUIET,QUIET,0,0,0,2,0,0,0,2,0.102751756440281,0.8328571428571429,0.9356084656084656,0.0428571428571428,0.8163407137084076
0.75,0.5,0.3,-1.0,2,MIXED,MIXED,0,0,2,0,0,0,2,0,0.12163892445582586,0.3657142857142857,0.823397338748696,0.1471428571428571,0.9630507106809794
0.75,0.5,0.3,1.0,2,MIXED,MIXED,0,0,2,0,0,0,2,0,0.1238135325686625,0.3771428571428571,0.8477856312389956,0.1357142857142857,0.9535976484715316
0.75,0.5,0.3,1.5,2,MIXED,MIXED,0,0,2,0,0,0,2,0,0.123076923076923,0.4428571428571428,0.9196555278280565,0.10428571428571426,0.9578918705696955
0.75,0.5,1.5,-1.0,2,MIXED,MIXED,0,0,2,0,0,0,2,0,0.135402976215712,0.37857142857142856,0.8449361412068594,0.13285714285714278,0.9562289952721059
0.75,0.5,1.5,1.0,2,MIXED,MIXED,0,0,1,1,0,0,1,1,0.11996679119966791,0.40428571428571425,0.9131070254649,0.0971428571428571,0.9401837579530121
0.75,0.5,1.5,1.5,2,QUIET,QUIET,0,0,0,2,0,0,0,2,0.09670031055900614,0.6757142857142857,0.9477828434618716,0.06571428571428566,0.9260191940464597
0.75,0.5,3.0,-1.0,2,MIXED,MIXED,0,0,2,0,0,0,2,0,0.12128371152462615,0.3514285714285714,0.8660542200566202,0.1228571428571428,0.9494827619529435
0.75,0.5,3.0,1.0,2,QUIET,QUIET,0,0,0,2,0,0,0,2,0.11327897495631914,0.4442857142857143,0.9119429159393634,0.07857142857142854,0.9156355144890147
0.75,0.5,3.0,1.5,2,QUIET,QUIET,0,0,0,2,0,0,0,2,0.14575289575289568,0.7942857142857143,0.9537553621047152,0.0514285714285714,0.918051717614629
0.75,0.5,5.0,-1.0,2,MIXED,MIXED,0,0,2,0,0,0,2,0,0.12095982325505275,0.36571428571428566,0.8709053531399364,0.1157142857142857,0.9414179344463798
0.75,0.5,5.0,1.0,2,QUIET,QUIET,0,0,0,2,0,0,0,2,0.1288725646758224,0.44571428571428573,0.9116381208235165,0.0785714285714285,0.9211834601215689
0.75,0.5,5.0,1.5,2,QUIET,QUIET,0,0,0,2,0,0,0,2,0.13235294117647053,0.8057142857142857,0.9567563423326249,0.0514285714285714,0.9319749854382195
0.95,0.05,0.3,-1.0,2,MIXED,MIXED,0,0,2,0,0,0,2,0,0.08885603112840465,0.2757142857142857,0.8006640224507333,0.11999999999999995,0.9545473696028093
0.95,0.05,0.3,1.0,2,MIXED,MIXED,0,0,2,0,0,0,2,0,0.09220185798041225,0.3028571428571428,0.8300971553277627,0.12,0.9519625557243573
0.95,0.05,0.3,1.5,2,MIXED,MIXED,0,0,2,0,0,0,2,0,0.0893639041477589,0.35857142857142854,0.8747761348361079,0.10999999999999996,0.9520306403776286
0.95,0.05,1.5,-1.0,2,MIXED,MIXED,0,0,2,0,0,0,2,0,0.08907028586414889,0.29428571428571426,0.7932405772233043,0.10999999999999996,0.9310320783741255
0.95,0.05,1.5,1.0,2,MIXED,MIXED,0,0,1,1,0,0,1,1,0.09271578401215574,0.3357142857142857,0.8513136328968081,0.0914285714285714,0.908030837470978
0.95,0.05,1.5,1.5,2,QUIET,QUIET,0,0,0,2,0,0,0,2,0.0914905450500556,0.53,0.9454791555176287,0.0571428571428571,0.9390736973437848
0.95,0.05,3.0,-1.0,2,QUIET,QUIET,0,0,0,2,0,0,0,2,0.0885234486332426,0.29000000000000004,0.8090447670690218,0.0871428571428571,0.9371735458410275
0.95,0.05,3.0,1.0,2,QUIET,QUIET,0,0,0,2,0,0,0,2,0.0859605911330049,0.3185714285714285,0.8700255779636006,0.06571428571428566,0.9191319793559354
0.95,0.05,3.0,1.5,2,QUIET,QUIET,0,0,0,2,0,0,0,2,0.09141379310344824,0.6557142857142857,0.9118962050490219,0.0385714285714285,0.8103838129464511
0.95,0.05,5.0,-1.0,2,QUIET,QUIET,0,0,0,2,0,0,0,2,0.09294788060871265,0.2928571428571428,0.8017885698574884,0.08999999999999994,0.943685799271621
0.95,0.05,5.0,1.0,2,QUIET,QUIET,0,0,0,2,0,0,0,2,0.08732578397212534,0.3285714285714285,0.8635000241193962,0.0714285714285714,0.9260933483911005
0.95,0.05,5.0,1.5,2,QUIET,QUIET,0,0,0,2,0,0,0,2,0.08570612711103856,0.6828571428571428,0.9219478806420147,0.03571428571428565,0.8521709354441109
0.95,0.25,0.3,-1.0,2,MIXED,MIXED,0,0,2,0,0,0,2,0,0.10999183882479069,0.28571428571428564,0.793366934081719,0.12857142857142856,0.9694552778313217
0.95,0.25,0.3,1.0,2,MIXED,MIXED,0,0,2,0,0,0,2,0,0.1110717299578059,0.30428571428571427,0.8330664285156066,0.1214285714285714,0.9536511592987871
0.95,0.25,0.3,1.5,2,MIXED,MIXED,0,0,2,0,0,0,2,0,0.1123810675697468,0.3628571428571429,0.8973267826927505,0.1,0.9437433504690691
0.95,0.25,1.5,-1.0,2,MIXED,MIXED,0,0,2,0,0,0,2,0,0.13263365757331963,0.33142857142857135,0.8168073480155783,0.1114285714285714,0.9638761395633385
0.95,0.25,1.5,1.0,2,QUIET,QUIET,0,0,0,2,0,0,0,2,0.10435571687840284,0.34285714285714286,0.8964867923385178,0.08428571428571424,0.9482735370236759
0.95,0.25,1.5,1.5,2,QUIET,QUIET,0,0,0,2,0,0,0,2,0.1104398346164813,0.5214285714285715,0.9330584010644608,0.07428571428571426,0.8920041599738007
0.95,0.25,3.0,-1.0,2,MIXED,MIXED,0,0,2,0,0,0,2,0,0.11473813302553745,0.32714285714285707,0.8556912574297438,0.1071428571428571,0.9614950021641653
0.95,0.25,3.0,1.0,2,QUIET,QUIET,0,0,0,2,0,0,0,2,0.1129340554316661,0.38,0.8849534897058272,0.0828571428571428,0.9315737894485725
0.95,0.25,3.0,1.5,2,QUIET,QUIET,0,0,0,2,0,0,0,2,0.09849050106181481,0.6228571428571428,0.943361750723714,0.058571428571428504,0.9107399354575525
0.95,0.25,5.0,-1.0,2,MIXED,MIXED,0,0,2,0,0,0,2,0,0.11506276150627615,0.3171428571428571,0.8538975328739973,0.1,0.9591241875465218
0.95,0.25,5.0,1.0,2,QUIET,QUIET,0,0,0,2,0,0,0,2,0.1020590780365009,0.3557142857142857,0.8964809369618184,0.0757142857142857,0.9210220112439194
0.95,0.25,5.0,1.5,2,QUIET,QUIET,0,0,0,2,0,0,0,2,0.0893452122265681,0.6642857142857143,0.8936805711264467,0.0442857142857142,0.7124725658910611
0.95,0.5,0.3,-1.0,2,MIXED,MIXED,0,0,2,0,0,0,2,0,0.1194283635443358,0.28142857142857136,0.7733442678268898,0.1285714285714285,0.9680646837962927
0.95,0.5,0.3,1.0,2,MIXED,MIXED,0,0,2,0,0,0,2,0,0.1209043079647861,0.3142857142857143,0.8479850368489525,0.1214285714285714,0.966948484456672
0.95,0.5,0.3,1.5,2,MIXED,MIXED,0,0,1,1,0,0,1,1,0.1136574982951375,0.37142857142857144,0.9020058545723808,0.09999999999999995,0.9602259315009574
0.95,0.5,1.5,-1.0,2,MIXED,MIXED,0,0,2,0,0,0,2,0,0.1221707818930041,0.31,0.8135088218208286,0.1114285714285714,0.9637298333135459
0.95,0.5,1.5,1.0,2,QUIET,QUIET,0,0,0,2,0,0,0,2,0.11422093369015754,0.33714285714285713,0.8891523210089393,0.08571428571428565,0.9454954446756954
0.95,0.5,1.5,1.5,2,QUIET,QUIET,0,0,0,2,0,0,0,2,0.10901817616902279,0.5414285714285714,0.935832583594536,0.06428571428571425,0.9087683460976272
0.95,0.5,3.0,-1.0,2,MIXED,MIXED,0,0,2,0,0,0,2,0,0.11595547309833021,0.32,0.8550946187396713,0.1057142857142857,0.9623555692064418
0.95,0.5,3.0,1.0,2,QUIET,QUIET,0,0,0,2,0,0,0,2,0.10584634277952475,0.33714285714285713,0.9110931806350859,0.08428571428571424,0.9354256262882792
0.95,0.5,3.0,1.5,2,QUIET,QUIET,0,0,0,2,0,0,0,2,0.11864505597014925,0.6257142857142857,0.9309204647006255,0.0557142857142857,0.8909167070430042
0.95,0.5,5.0,-1.0,2,MIXED,MIXED,0,0,1,1,0,0,1,1,0.1187607423739995,0.3142857142857143,0.8416165280254149,0.1014285714285714,0.9607653713327473
0.95,0.5,5.0,1.0,2,QUIET,QUIET,0,0,0,2,0,0,0,2,0.1062134059177159,0.3542857142857143,0.9189111562477041,0.0857142857142857,0.9459498792406851
0.95,0.5,5.0,1.5,2,QUIET,QUIET,0,0,0,2,0,0,0,2,0.12315974511096461,0.6657142857142857,0.9291147602155174,0.05285714285714285,0.8323173654186053
