sigma,pi_reward,base_opp,exit_threshold,n_seeds,regime_majority_legacy,regime_majority_hier,n_collapse_legacy,n_capture_legacy,n_mixed_legacy,n_quiet_legacy,n_collapse_hier,n_capture_hier,n_mixed_hier,n_quiet_hier,median_fund_prevalence,median_exit_rate,median_top5_share,median_max_punish,median_enforcer_punish_share
0.25,0.05,0.3,-1.0,2,QUIET,QUIET,0,0,0,2,0,0,0,2,0.0,0.0957142857142857,0.6441940806758817,0.05428571428571426,0.6844232280706184
0.25,0.05,0.3,1.0,2,QUIET,QUIET,0,0,0,2,0,0,0,2,0.00404884845504465,0.29428571428571426,0.7275910364145659,0.05142857142857141,0.7012806568030753
0.25,0.05,0.3,1.5,2,QUIET,QUIET,0,0,0,2,0,0,0,2,0.0,0.59,0.7279889201189458,0.049999999999999954,0.6291172357273538
0.25,0.05,1.5,-1.0,2,QUIET,QUIET,0,0,0,2,0,0,0,2,0.008947057083703,0.18571428571428572,0.592776237862457,0.05428571428571426,0.6159388047177061
0.25,0.05,1.5,1.0,2,QUIET,QUIET,0,0,0,2,0,0,0,2,0.0048076923076923,0.6885714285714286,0.7570584390536602,0.049999999999999954,0.6897750153282272
0.25,0.05,1.5,1.5,2,COLLAPSE,COLLAPSE,2,0,0,0,2,0,0,0,0.0,0.9842857142857142,0.8764832793959008,0.049999999999999954,0.9168364189393591
0.25,0.05,3.0,-1.0,2,QUIET,QUIET,0,0,0,2,0,0,0,2,0.0125348675034867,0.3157142857142857,0.627901870397414,0.05428571428571426,0.6377283652719727
0.25,0.05,3.0,1.0,2,QUIET,QUIET,0,0,0,2,0,0,0,2,0.0,0.8028571428571429,0.7029604772557793,0.049999999999999954,0.607669081309652
0.25,0.05,3.0,1.5,2,COLLAPSE,COLLAPSE,2,0,0,0,2,0,0,0,0.0,0.9957142857142858,0.8843434343434344,0.049999999999999954,0.9541736051736041
0.25,0.05,5.0,-1.0,2,QUIET,QUIET,0,0,0,2,0,0,0,2,0.00221238938053095,0.33142857142857135,0.5541314787216427,0.05428571428571426,0.5560384104115064
0.25,0.05,5.0,1.0,2,QUIET,QUIET,0,0,0,2,0,0,0,2,0.0,0.81,0.7115614886731392,0.049999999999999954,0.5968382959343052
0.25,0.05,5.0,1.5,2,COLLAPSE,COLLAPSE,2,0,0,0,2,0,0,0,0.0,0.9971428571428572,0.8937041219649915,0.049999999999999954,0.9469648185898175
0.25,0.25,0.3,-1.0,2,MIXED,MIXED,0,0,2,0,0,0,2,0,0.09457732983178366,0.41142857142857137,0.8320330992970192,0.11428571428571425,0.8424644793227888
0.25,0.25,0.3,1.0,2,MIXED,MIXED,0,0,1,1,0,0,1,1,0.0939393939393939,0.4971428571428571,0.9037584361589273,0.0971428571428571,0.8175198880260992
0.25,0.25,0.3,1.5,2,QUIET,QUIET,0,0,0,2,0,0,0,2,0.10275842590849174,0.7042857142857143,0.9354807176109549,0.07428571428571426,0.7733085437901452
0.25,0.25,1.5,-1.0,2,MIXED,MIXED,0,0,2,0,0,0,2,0,0.09664300885872655,0.4385714285714285,0.6799461682179206,0.10857142857142855,0.4676621682518417
0.25,0.25,1.5,1.0,2,QUIET,QUIET,0,0,0,2,0,0,0,2,0.07681525091112976,0.7585714285714286,0.8121472022798268,0.0671428571428571,0.5492432976719219
0.25,0.25,1.5,1.5,2,COLLAPSE,COLLAPSE,2,0,0,0,2,0,0,0,0.1714285714285714,0.9828571428571429,0.9343013935133802,0.0671428571428571,0.7133799896340721
0.25,0.25,3.0,-1.0,2,MIXED,MIXED,0,0,2,0,0,0,2,0,0.0956416464891041,0.47714285714285715,0.6870887341129583,0.1128571428571428,0.3939248854307894
0.25,0.25,3.0,1.0,2,QUIET,QUIET,0,0,0,2,0,0,0,2,0.07756300464888666,0.8171428571428572,0.8151124934596825,0.0671428571428571,0.5934224965635229
0.25,0.25,3.0,1.5,2,COLLAPSE,COLLAPSE,2,0,0,0,2,0,0,0,0.125,0.9928571428571429,0.9472134739148296,0.0671428571428571,0.905012825315229
0.25,0.25,5.0,-1.0,2,MIXED,MIXED,0,0,2,0,0,0,2,0,0.10161590161590159,0.46571428571428575,0.6649179444190116,0.11142857142857135,0.438718840752348
0.25,0.25,5.0,1.0,2,QUIET,QUIET,0,0,0,2,0,0,0,2,0.07409940720474235,0.8657142857142857,0.8308360173645148,0.0671428571428571,0.6099370796491056
0.25,0.25,5.0,1.5,2,COLLAPSE,COLLAPSE,2,0,0,0,2,0,0,0,1.0,0.9971428571428572,0.9456394498097747,0.0671428571428571,0.8689638487070419
0.25,0.5,0.3,-1.0,2,MIXED,MIXED,0,0,2,0,0,0,2,0,0.1154303213126742,0.40142857142857136,0.7754809567160044,0.17428571428571427,0.6506846138307003
0.25,0.5,0.3,1.0,2,MIXED,MIXED,0,0,2,0,0,0,2,0,0.1109345659396215,0.5242857142857142,0.9135707277470015,0.10285714285714286,0.6991857427787036
0.25,0.5,0.3,1.5,2,QUIET,QUIET,0,0,0,2,0,0,0,2,0.1129326047358834,0.6842857142857144,0.9416777102803251,0.0828571428571428,0.7585375418870446
0.25,0.5,1.5,-1.0,2,MIXED,MIXED,0,0,2,0,0,0,2,0,0.12849880382775114,0.4771428571428571,0.7412297573462843,0.14999999999999997,0.4770870567632928
