eta_delta_drift,delta0,sigma,pi_reward,alpha,mu_membership_reward,seed,final_fund_prevalence,final_exit_rate,max_punish,top5_punishment_share,top10_punishment_share,enforcer_punish_share,final_current_delta,regime,run_dir
0.0,0.1,0.25,0.05,0.0,0.0,21,0.0,0.0628571428571428,0.0457142857142857,0.6154847104749512,0.7501626545217958,0.6577715505394077,0.1,QUIET,/storage/kiran-stuff/code-geometry-abm/recon/factorial_shock_on/eta_0.00/delta0_0.10/sigma_0.25/pi_0.05/seed_21
0.0,0.1,0.25,0.05,0.0,0.0,22,0.0,0.0657142857142857,0.0571428571428571,0.5769230769230769,0.7255917159763313,0.6331505856315016,0.1,QUIET,/storage/kiran-stuff/code-geometry-abm/recon/factorial_shock_on/eta_0.00/delta0_0.10/sigma_0.25/pi_0.05/seed_22
0.0,0.1,0.25,0.05,0.0,0.0,23,0.0,0.0428571428571428,0.0428571428571428,0.6524953789279113,0.7578558225508318,0.6653939424993943,0.1,QUIET,/storage/kiran-stuff/code-geometry-abm/recon/factorial_shock_on/eta_0.00/delta0_0.10/sigma_0.25/pi_0.05/seed_23
0.0,0.1,0.25,0.05,0.0,0.0,24,0.0,0.0771428571428571,0.0457142857142857,0.6145833333333334,0.7423611111111111,0.6404119850657086,0.1,QUIET,/storage/kiran-stuff/code-geometry-abm/recon/factorial_shock_on/eta_0.00/delta0_0.10/sigma_0.25/pi_0.05/seed_24
0.0,0.1,0.25,0.05,0.0,0.0,25,0.0,0.0657142857142857,0.0628571428571428,0.6523659305993691,0.759621451104101,0.6811598632454248,0.1,QUIET,/storage/kiran-stuff/code-geometry-abm/recon/factorial_shock_on/eta_0.00/delta0_0.10/sigma_0.25/pi_0.05/seed_25
0.0,0.1,0.25,0.05,0.0,0.0,26,0.0,0.0742857142857142,0.0514285714285714,0.5711974110032363,0.7176375404530745,0.6085145476392161,0.1,QUIET,/storage/kiran-stuff/code-geometry-abm/recon/factorial_shock_on/eta_0.00/delta0_0.10/sigma_0.25/pi_0.05/seed_26
0.0,0.1,0.25,0.05,0.0,0.0,27,0.0,0.0628571428571428,0.0542857142857142,0.6615678776290631,0.7635436583811345,0.6668665266153304,0.1,QUIET,/storage/kiran-stuff/code-geometry-abm/recon/factorial_shock_on/eta_0.00/delta0_0.10/sigma_0.25/pi_0.05/seed_27
0.0,0.1,0.25,0.05,0.0,0.0,28,0.0,0.1,0.0485714285714285,0.692266380236305,0.793233082706767,0.7159469280310218,0.1,QUIET,/storage/kiran-stuff/code-geometry-abm/recon/factorial_shock_on/eta_0.00/delta0_0.10/sigma_0.25/pi_0.05/seed_28
0.0,0.1,0.25,0.05,0.0,0.0,29,0.0,0.0742857142857142,0.0457142857142857,0.6781420765027323,0.7907103825136612,0.7196432354133139,0.1,QUIET,/storage/kiran-stuff/code-geometry-abm/recon/factorial_shock_on/eta_0.00/delta0_0.10/sigma_0.25/pi_0.05/seed_29
0.0,0.1,0.25,0.05,0.0,0.0,30,0.0,0.0714285714285714,0.042042042042042,0.6318069306930693,0.7487623762376238,0.6488656405323072,0.1,QUIET,/storage/kiran-stuff/code-geometry-abm/recon/factorial_shock_on/eta_0.00/delta0_0.10/sigma_0.25/pi_0.05/seed_30
0.0,0.1,0.25,0.25,0.0,0.0,1,0.1029411764705882,0.4171428571428571,0.1233333333333333,0.8286792452830188,0.9637735849056603,0.827259070254155,0.1,MIXED,/storage/kiran-stuff/code-geometry-abm/recon/factorial_shock_on/eta_0.00/delta0_0.10/sigma_0.25/pi_0.25/seed_01
0.0,0.1,0.25,0.25,0.0,0.0,2,0.0879629629629629,0.3828571428571428,0.1331168831168831,0.8325019186492709,0.9501151189562548,0.8302065176256479,0.1,MIXED,/storage/kiran-stuff/code-geometry-abm/recon/factorial_shock_on/eta_0.00/delta0_0.10/sigma_0.25/pi_0.25/seed_02
0.0,0.1,0.25,0.25,0.0,0.0,3,0.099502487562189,0.4257142857142857,0.1483679525222551,0.816025067144136,0.9559086839749329,0.7550613113741607,0.1,MIXED,/storage/kiran-stuff/code-geometry-abm/recon/factorial_shock_on/eta_0.00/delta0_0.10/sigma_0.25/pi_0.25/seed_03
0.0,0.1,0.25,0.25,0.0,0.0,4,0.096938775510204,0.44,0.1457627118644067,0.8016678752719362,0.955221174764322,0.7661456557473658,0.1,MIXED,/storage/kiran-stuff/code-geometry-abm/recon/factorial_shock_on/eta_0.00/delta0_0.10/sigma_0.25/pi_0.25/seed_04
0.0,0.1,0.25,0.25,0.0,0.0,5,0.0934579439252336,0.3885714285714285,0.1233766233766233,0.8178794178794179,0.9484407484407484,0.73485652501062,0.1,MIXED,/storage/kiran-stuff/code-geometry-abm/recon/factorial_shock_on/eta_0.00/delta0_0.10/sigma_0.25/pi_0.25/seed_05
