delta,n_runs,n_capture,n_mixed,median_exit_rate,median_top5_share,median_enforcer_share
0.0,10,0,10,0.2971428571428571,0.782315939217463,0.9675629370623058
0.3,10,0,10,0.28428571428571425,0.766834133350442,0.9713852080230185
0.6,10,0,10,0.24142857142857138,0.7566308096859226,0.9762910553850985
0.7,10,2,8,0.23285714285714285,0.7424311290031913,0.9778802304381842
0.8,10,9,1,0.17285714285714282,0.7374948631233477,0.9793591953612917
