sigma,pi_reward,alpha,delta,mu_membership_reward,seed,final_fund_prevalence,final_exit_rate,max_punish,top5_punishment_share,top10_punishment_share,enforcer_punish_share,regime,run_dir
0.95,0.5,0.0,0.6,0.0,2,0.1296296296296296,0.2285714285714285,0.1457142857142857,0.727552111170497,0.9803580972741849,0.972880113971489,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6b_ablation_delta/mu_0.00/delta_0.60/sigma_0.95/pi_0.50/seed_02
0.95,0.5,0.0,0.6,0.0,3,0.1388888888888889,0.28,0.1342857142857142,0.7606679035250464,0.9842300556586271,0.9778006008215863,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6b_ablation_delta/mu_0.00/delta_0.60/sigma_0.95/pi_0.50/seed_03
0.95,0.5,0.0,0.6,0.0,4,0.1222222222222222,0.2285714285714285,0.1314285714285714,0.7274413296240816,0.9835223625080248,0.9764203962062008,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6b_ablation_delta/mu_0.00/delta_0.60/sigma_0.95/pi_0.50/seed_04
0.95,0.5,0.0,0.6,0.0,5,0.125,0.2685714285714285,0.14,0.7589166507724585,0.9838514845190413,0.9781215170372719,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6b_ablation_delta/mu_0.00/delta_0.60/sigma_0.95/pi_0.50/seed_05
0.95,0.5,0.0,0.6,0.0,6,0.1383399209486166,0.2771428571428571,0.1342857142857142,0.7478609625668449,0.9849598930481284,0.9778402631315826,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6b_ablation_delta/mu_0.00/delta_0.60/sigma_0.95/pi_0.50/seed_06
0.95,0.5,0.0,0.6,0.0,7,0.1213235294117647,0.2228571428571428,0.1285714285714285,0.7543449685993866,0.9809405579085732,0.9736398599428031,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6b_ablation_delta/mu_0.00/delta_0.60/sigma_0.95/pi_0.50/seed_07
0.95,0.5,0.0,0.6,0.0,8,0.1235955056179775,0.2371428571428571,0.1314285714285714,0.7698972004913687,0.9805392125169716,0.9734591436213565,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6b_ablation_delta/mu_0.00/delta_0.60/sigma_0.95/pi_0.50/seed_08
0.95,0.5,0.0,0.6,0.0,9,0.1423220973782771,0.2371428571428571,0.1457142857142857,0.7522380980613032,0.9819766407778502,0.9740864460415336,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6b_ablation_delta/mu_0.00/delta_0.60/sigma_0.95/pi_0.50/seed_09
0.95,0.5,0.0,0.6,0.0,10,0.125,0.2457142857142857,0.1428571428571428,0.7614527445315724,0.9826661163846472,0.9761617145639963,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6b_ablation_delta/mu_0.00/delta_0.60/sigma_0.95/pi_0.50/seed_10
0.95,0.5,0.0,0.7,0.0,1,0.1254752851711026,0.2485714285714285,0.1428571428571428,0.7598420013166557,0.9857801184990125,0.9806808774025176,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6b_ablation_delta/mu_0.00/delta_0.70/sigma_0.95/pi_0.50/seed_01
0.95,0.5,0.0,0.7,0.0,2,0.1285714285714285,0.2,0.1457142857142857,0.7357679263565892,0.9833454457364341,0.9765663959233829,CAPTURE,/storage/social-science/religion-code-geometry-abm/results/v2.6b_ablation_delta/mu_0.00/delta_0.70/sigma_0.95/pi_0.50/seed_02
0.95,0.5,0.0,0.7,0.0,3,0.1167883211678832,0.2171428571428571,0.1457142857142857,0.7395378247873075,0.9848240974936767,0.9786289137024404,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6b_ablation_delta/mu_0.00/delta_0.70/sigma_0.95/pi_0.50/seed_03
