sigma,pi_reward,alpha,delta,mu_membership_reward,n_seeds,regime_majority,n_collapse,n_capture,n_mixed,n_quiet,median_fund_prevalence,median_exit_rate,median_top5_share,median_max_punish,median_enforcer_punish_share
0.75,0.25,0.0,0.0,0.0,10,MIXED,0,0,10,0,0.1358630952380952,0.38428571428571423,0.8093981213165449,0.1471428571428571,0.9533184400320227
0.75,0.5,0.0,0.0,0.0,10,MIXED,0,0,10,0,0.1382605925453966,0.3742857142857143,0.8184324577787289,0.1514285714285714,0.9617013838344501
0.95,0.25,0.0,0.0,0.0,10,MIXED,0,0,10,0,0.12788755669631863,0.3142857142857143,0.7896672752145606,0.12999999999999995,0.9688175173566124
0.95,0.5,0.0,0.0,0.0,10,MIXED,0,0,10,0,0.12929767851895385,0.2971428571428571,0.782315939217463,0.1257142857142857,0.9675629370623058
0.75,0.25,0.0,0.3,0.0,10,MIXED,0,0,10,0,0.1358495058935587,0.3642857142857143,0.8069215826978897,0.15857142857142856,0.9600840472894345
0.75,0.5,0.0,0.3,0.0,10,MIXED,0,0,10,0,0.14638798701298694,0.3642857142857143,0.8138642213267155,0.1571428571428571,0.9655673394262756
0.95,0.25,0.0,0.3,0.0,10,MIXED,0,0,10,0,0.12753102815077133,0.29000000000000004,0.7640647166026193,0.1342857142857142,0.9724626813609676
0.95,0.5,0.0,0.3,0.0,10,MIXED,0,0,10,0,0.12723708341238216,0.28428571428571425,0.766834133350442,0.13571428571428565,0.9713852080230185
0.75,0.25,0.0,0.6,0.0,10,MIXED,0,0,10,0,0.1397809678851561,0.3357142857142857,0.7824729328009705,0.1671428571428571,0.9725337046838849
0.75,0.5,0.0,0.6,0.0,10,MIXED,0,0,10,0,0.14007803790412485,0.32999999999999996,0.7966935983416659,0.16428571428571426,0.9746754831953329
0.95,0.25,0.0,0.6,0.0,10,MIXED,0,0,10,0,0.12430060495895935,0.26428571428571423,0.7557393608637273,0.14571428571428563,0.9761700050626159
0.95,0.5,0.0,0.6,0.0,10,MIXED,0,0,10,0,0.125,0.24142857142857138,0.7566308096859226,0.13714285714285712,0.9762910553850985
0.75,0.25,0.0,0.0,0.1,10,MIXED,0,0,10,0,0.12967759393845674,0.3771428571428571,0.8011727358543261,0.1457142857142857,0.9571846913470903
0.75,0.5,0.0,0.0,0.1,10,MIXED,0,0,10,0,0.14033294972022695,0.36571428571428566,0.8241908880726556,0.1514285714285714,0.9627935547803621
0.95,0.25,0.0,0.0,0.1,10,MIXED,0,0,10,0,0.12844118064424576,0.3057142857142857,0.7793034595433761,0.12999999999999995,0.9684643043717134
0.95,0.5,0.0,0.0,0.1,10,MIXED,0,0,10,0,0.13079116179615105,0.31,0.7666939151777294,0.1285714285714285,0.9691469912501087
0.75,0.25,0.0,0.3,0.1,10,MIXED,0,0,10,0,0.13146743978590542,0.3571428571428571,0.8013384768574109,0.1571428571428571,0.9638915078982528
0.75,0.5,0.0,0.3,0.1,10,MIXED,0,0,10,0,0.14118480969155425,0.36,0.7943316400961351,0.1628571428571428,0.9673079050103831
0.95,0.25,0.0,0.3,0.1,10,MIXED,0,0,10,0,0.13190623661582046,0.2971428571428571,0.7662698265883734,0.1371428571428571,0.9709633968311542
0.95,0.5,0.0,0.3,0.1,10,MIXED,0,0,10,0,0.1322404371584699,0.30428571428571427,0.7745608102430168,0.12999999999999995,0.9714776591514492
0.75,0.25,0.0,0.6,0.1,10,MIXED,0,0,10,0,0.1365498366734351,0.3314285714285714,0.7781526694913075,0.1628571428571428,0.9733257349747708
