sigma,pi_reward,mu_membership_reward,delta,exit_base,exit_mu_only,exit_delta_only,exit_combo,expected_additive_exit,interaction_exit,combo_capture70,mu_only_capture70,delta_only_capture70,synergy_capture70
0.75,0.25,0.1,0.3,0.38428571428571423,0.3771428571428571,0.3642857142857143,0.3571428571428571,0.3571428571428572,1.1102230246251565e-16,False,False,False,False
0.75,0.25,0.1,0.6,0.38428571428571423,0.3771428571428571,0.3357142857142857,0.3314285714285714,0.3285714285714286,-0.0028571428571427804,False,False,False,False
0.75,0.25,0.2,0.3,0.38428571428571423,0.38857142857142857,0.3642857142857143,0.3714285714285714,0.36857142857142866,-0.002857142857142725,False,False,False,False
0.75,0.25,0.2,0.6,0.38428571428571423,0.38857142857142857,0.3357142857142857,0.3214285714285714,0.33999999999999997,0.018571428571428572,False,False,False,False
0.75,0.25,0.3,0.3,0.38428571428571423,0.3871428571428571,0.3642857142857143,0.3571428571428571,0.3671428571428572,0.01000000000000012,False,False,False,False
0.75,0.25,0.3,0.6,0.38428571428571423,0.3871428571428571,0.3357142857142857,0.33571428571428574,0.33857142857142863,0.0028571428571428914,False,False,False,False
0.75,0.25,0.4,0.3,0.38428571428571423,0.3814285714285714,0.3642857142857143,0.36142857142857143,0.36142857142857154,1.1102230246251565e-16,False,False,False,False
0.75,0.25,0.4,0.6,0.38428571428571423,0.3814285714285714,0.3357142857142857,0.3257142857142857,0.33285714285714285,0.007142857142857173,False,False,False,False
0.75,0.5,0.1,0.3,0.3742857142857143,0.36571428571428566,0.3642857142857143,0.36,0.3557142857142857,-0.004285714285714282,False,False,False,False
0.75,0.5,0.1,0.6,0.3742857142857143,0.36571428571428566,0.32999999999999996,0.32285714285714284,0.32142857142857134,-0.0014285714285715012,False,False,False,False
0.75,0.5,0.2,0.3,0.3742857142857143,0.3742857142857142,0.3642857142857143,0.3728571428571428,0.36428571428571427,-0.008571428571428508,False,False,False,False
0.75,0.5,0.2,0.6,0.3742857142857143,0.3742857142857142,0.32999999999999996,0.3214285714285714,0.3299999999999999,0.008571428571428508,False,False,False,False
0.75,0.5,0.3,0.3,0.3742857142857143,0.3728571428571428,0.3642857142857143,0.3642857142857143,0.3628571428571428,-0.0014285714285715012,False,False,False,False
0.75,0.5,0.3,0.6,0.3742857142857143,0.3728571428571428,0.32999999999999996,0.3242857142857143,0.32857142857142846,0.004285714285714171,False,False,False,False
0.75,0.5,0.4,0.3,0.3742857142857143,0.37571428571428567,0.3642857142857143,0.3628571428571429,0.3657142857142857,0.002857142857142836,False,False,False,False
0.75,0.5,0.4,0.6,0.3742857142857143,0.37571428571428567,0.32999999999999996,0.30999999999999994,0.33142857142857135,0.021428571428571408,False,False,False,False
0.95,0.25,0.1,0.3,0.3142857142857143,0.3057142857142857,0.29000000000000004,0.2971428571428571,0.2814285714285715,-0.015714285714285625,False,False,False,False
0.95,0.25,0.1,0.6,0.3142857142857143,0.3057142857142857,0.26428571428571423,0.2457142857142857,0.25571428571428567,0.009999999999999981,False,False,False,False
0.95,0.25,0.2,0.3,0.3142857142857143,0.31285714285714283,0.29000000000000004,0.2885714285714286,0.2885714285714286,0.0,False,False,False,False
0.95,0.25,0.2,0.6,0.3142857142857143,0.31285714285714283,0.26428571428571423,0.23857142857142855,0.2628571428571428,0.024285714285714244,False,False,False,False
0.95,0.25,0.3,0.3,0.3142857142857143,0.31,0.29000000000000004,0.29428571428571426,0.2857142857142858,-0.008571428571428452,False,False,False,False
0.95,0.25,0.3,0.6,0.3142857142857143,0.31,0.26428571428571423,0.24142857142857138,0.26,0.018571428571428628,False,False,False,False
0.95,0.25,0.4,0.3,0.3142857142857143,0.3028571428571428,0.29000000000000004,0.29,0.2785714285714286,-0.011428571428571399,False,False,False,False
0.95,0.25,0.4,0.6,0.3142857142857143,0.3028571428571428,0.26428571428571423,0.24428571428571424,0.2528571428571428,0.008571428571428535,False,False,False,False
0.95,0.5,0.1,0.3,0.2971428571428571,0.31,0.28428571428571425,0.30428571428571427,0.2971428571428572,-0.007142857142857062,False,False,False,False
0.95,0.5,0.1,0.6,0.2971428571428571,0.31,0.24142857142857138,0.2471428571428571,0.2542857142857143,0.007142857142857173,False,False,False,False
0.95,0.5,0.2,0.3,0.2971428571428571,0.3,0.28428571428571425,0.28,0.2871428571428572,0.007142857142857173,False,False,False,False
0.95,0.5,0.2,0.6,0.2971428571428571,0.3,0.24142857142857138,0.2457142857142857,0.24428571428571427,-0.001428571428571418,False,False,False,False
0.95,0.5,0.3,0.3,0.2971428571428571,0.3014285714285714,0.28428571428571425,0.28285714285714286,0.28857142857142853,0.005714285714285672,False,False,False,False
0.95,0.5,0.3,0.6,0.2971428571428571,0.3014285714285714,0.24142857142857138,0.2428571428571428,0.2457142857142856,0.002857142857142808,False,False,False,False
0.95,0.5,0.4,0.3,0.2971428571428571,0.30142857142857143,0.28428571428571425,0.29000000000000004,0.28857142857142853,-0.0014285714285715012,False,False,False,False
0.95,0.5,0.4,0.6,0.2971428571428571,0.30142857142857143,0.24142857142857138,0.24857142857142855,0.24571428571428572,-0.002857142857142836,False,False,False,False
