mu_membership_reward,delta,n_runs,n_capture,n_mixed,median_exit_rate,median_top5_share,median_enforcer_share
0.2,0.3,10,0,10,0.28,0.7598986023857113,0.9727736024534246
0.2,0.4,10,0,10,0.27285714285714285,0.7535383798483009,0.9731951671389387
0.2,0.5,10,0,10,0.25571428571428567,0.7496679881721002,0.9747322002227019
0.3,0.3,10,0,10,0.28285714285714286,0.767340059878643,0.9707943188043981
0.3,0.4,10,0,10,0.2785714285714286,0.7619510363617109,0.9716350154306664
0.3,0.5,10,0,10,0.2714285714285714,0.7562769749736635,0.9746297347140291
