sigma,pi_reward,alpha,delta,mu_membership_reward,n_seeds,regime_majority,n_collapse,n_capture,n_mixed,n_quiet,median_fund_prevalence,median_exit_rate,median_top5_share,median_max_punish,median_enforcer_punish_share
0.95,0.5,0.0,0.3,0.2,10,MIXED,0,0,10,0,0.1324217971707511,0.28,0.7598986023857113,0.12999999999999995,0.9727736024534246
0.95,0.5,0.0,0.4,0.2,10,MIXED,0,0,10,0,0.12572976856980325,0.27285714285714285,0.7535383798483009,0.14,0.9731951671389387
0.95,0.5,0.0,0.5,0.2,10,MIXED,0,0,10,0,0.1288854961832061,0.25571428571428567,0.7496679881721002,0.14,0.9747322002227019
0.95,0.5,0.0,0.3,0.3,10,MIXED,0,0,10,0,0.12721879449454193,0.28285714285714286,0.767340059878643,0.1342857142857142,0.9707943188043981
0.95,0.5,0.0,0.4,0.3,10,MIXED,0,0,10,0,0.1267928318111916,0.2785714285714286,0.7619510363617109,0.1314285714285714,0.9716350154306663
0.95,0.5,0.0,0.5,0.3,10,MIXED,0,0,10,0,0.12959137853614727,0.2714285714285714,0.7562769749736635,0.13571428571428565,0.9746297347140291
