delta,n_cells,majority_capture_cells,consensus70_capture_cells,capture_seed_runs,seed_runs_total,median_exit_rate_mean,median_exit_rate_min,median_exit_rate_max
0.0,4,0,0,0,40,0.34249999999999997,0.2971428571428571,0.3842857142857142
0.4,4,0,0,0,40,0.32464285714285707,0.28,0.3642857142857142
0.6,4,0,0,0,40,0.29285714285714276,0.2414285714285713,0.3357142857142857
0.7,4,0,0,5,40,0.26178571428571423,0.2199999999999999,0.2985714285714285
0.8,4,2,2,20,40,0.20928571428571424,0.1728571428571428,0.2471428571428571
0.9,4,4,4,40,40,0.12499999999999992,0.0957142857142856,0.1657142857142856
