delta,n_runs,n_capture,median_exit_rate,median_top5_share,median_enforcer_share
0.0,10,0,0.2971428571428571,0.782315939217463,0.9675629370623058
0.2,10,0,0.28714285714285714,0.7611206620605868,0.9704730741818726
0.4,10,0,0.28,0.7637512712164949,0.9740225787019654
0.6,10,0,0.24142857142857138,0.7566308096859226,0.9762910553850985
0.8,10,9,0.17285714285714282,0.7374948631233477,0.9793591953612917
