sigma,pi_reward,base_opp,seed,final_fund_prevalence,final_exit_rate,max_punish,top5_punishment_share,top10_punishment_share,enforcer_punish_share,regime_hier,condition
0.25,0.5,0.3,1,0.2982456140350877,0.8371428571428572,0.12,0.8871473354231975,0.9741379310344828,0.25862068965517243,MIXED,on
0.25,0.5,0.3,2,0.2459016393442623,0.8257142857142857,0.1257142857142857,0.9077966101694915,0.976271186440678,0.24338983050847457,MIXED,on
0.25,0.5,0.3,3,0.2857142857142857,0.82,0.1314285714285714,0.8663653970303422,0.9845061329890252,0.22595222724338282,MIXED,on
0.25,0.5,0.3,4,0.2727272727272727,0.8428571428571429,0.1085714285714285,0.9341692789968652,0.9764890282131662,0.22021943573667713,MIXED,on
0.25,0.5,0.3,5,0.25,0.7828571428571428,0.1257142857142857,0.8500797448165869,0.970494417862839,0.3133971291866029,MIXED,on
0.25,0.5,0.3,6,0.3035714285714285,0.84,0.1171428571428571,0.9068273092369478,0.9606425702811245,0.19598393574297188,MIXED,on
0.25,0.5,0.3,7,0.2413793103448276,0.8342857142857143,0.1028571428571428,0.9415467625899281,0.9730215827338129,0.3300359712230216,MIXED,on
0.25,0.5,0.3,8,0.234375,0.8171428571428572,0.0885714285714285,0.9118387909319899,0.966414777497901,0.23089840470193115,QUIET,on
0.25,0.5,0.3,9,0.3272727272727272,0.8428571428571429,0.1285714285714285,0.8922323303009098,0.9706088173547935,0.28901329601119663,MIXED,on
0.25,0.5,0.3,10,0.3114754098360656,0.8257142857142857,0.1257142857142857,0.8570460704607046,0.967479674796748,0.236449864498645,MIXED,on
0.25,0.5,0.3,11,0.2586206896551724,0.8342857142857143,0.1371428571428571,0.8874524714828897,0.9825095057034221,0.2600760456273764,MIXED,on
0.25,0.5,0.3,12,0.2714285714285714,0.8,0.14,0.8433566433566434,0.9846153846153847,0.2727272727272727,MIXED,on
0.25,0.5,0.3,13,0.2786885245901639,0.8257142857142857,0.1228571428571428,0.8846421125781793,0.9728978457261988,0.21403752605976373,MIXED,on
0.25,0.5,0.3,14,0.2727272727272727,0.8114285714285714,0.1257142857142857,0.8934659090909091,0.9737215909090909,0.26207386363636365,MIXED,on
