agent_id,punish_issued,punished_received,final_r,final_b,final_x,y,L,cap,service,is_enforcer,cadre_fallback,exited,exit_time,exit_intent,disengaged,exit_cost_eff_last,degree,degree_at_end,betweenness
0,0,615,0.4564143158548304,0.3850344937193387,0.6940077178806869,0.46636857242060586,0.03844173336038059,0.0,0.0,False,False,False,-1,424,True,3.88,96,96,
1,0,331,0.0713690913605526,0.16384428601674725,0.8974758459902027,0.4512255431707867,0.43702699352209134,0.0,0.0,False,False,False,-1,419,True,2.05,35,35,
2,0,157,0.5324494178424871,0.5181696362102644,0.6376224931498823,0.4838961431419022,0.19612543494249488,0.0,0.0,False,False,False,-1,414,True,1.3900000000000001,13,13,
3,0,345,0.4821117707960868,0.2496737360796458,0.7122401185758616,0.5692552462919006,0.29838569844524726,0.0,0.0,False,False,False,-1,412,True,2.1399999999999997,38,38,
4,1,82,0.5169627830820331,0.6040325604293321,0.7153018831366956,0.49210538263412434,0.10130566372860544,0.018180601724958032,0.00020238478816242368,False,False,False,-1,60,True,1.48,16,16,
5,0,126,0.676996100533103,0.449231822151162,0.9795675020017106,0.6044752388330689,0.1540494551111175,0.0,0.0,False,False,False,-1,69,True,1.69,23,23,
6,0,119,0.18778380716330803,0.21656536184042827,0.8694289597988716,0.5014407753983408,0.07010167912550505,0.0,0.0,False,False,False,-1,187,True,1.75,25,25,
7,0,894,0.13571051112503704,0.6356909183497252,0.2752425372879061,0.5319164456949073,0.4574255407078365,0.0,0.0,False,False,False,-1,439,True,2.77,59,59,
8,0,387,0.7661850303393544,0.2722787785155736,0.12382345549049525,0.5866522496991851,0.22464656235531652,0.0,0.0,False,False,False,-1,434,True,2.65,55,55,
9,0,171,0.3467953418231543,0.22604624596367484,1.0,0.4969052221990347,0.19343158373745836,0.0,0.0,False,False,False,-1,418,True,2.56,52,52,
10,1,20,0.4859438382026627,0.26390589788329477,0.5357659422712197,0.012479451007731407,0.125593111128736,0.01611989434246016,0.00012462457295897575,False,False,True,23,14,False,2.29,4,4,
11,0,469,0.11618049703414045,0.5710484335940605,0.9219184678486894,0.43774695894101967,0.2727672834022046,0.0,0.0,False,False,False,-1,435,True,2.44,48,48,
12,0,485,0.567475848040466,0.13335996889439702,0.4083681088658364,0.49961379193445976,0.1896696571576559,0.0,0.0,False,False,False,-1,436,True,2.59,53,53,
13,112,242,1.0,1.0,0.3055116988828863,0.37814612104879924,0.5358872335696246,0.2831597280118749,0.027759499840246026,False,False,False,-1,396,True,2.44,48,48,
14,0,513,0.43990389536022073,0.06222179380255069,0.8845213489128453,0.5566868936577378,0.23986974820784965,0.0,0.0,False,False,False,-1,429,True,2.2,40,40,
15,0,221,0.6263752359614495,0.10797205896094948,0.961002201037628,0.4935974884937553,0.10932871919277712,0.0,0.0,False,False,False,-1,424,True,2.71,57,57,
16,0,309,0.41981660805297233,0.5782788146699163,0.732148984305281,0.49525352343640006,0.32964112063513995,0.0,0.0,False,False,False,-1,431,True,1.96,32,32,
17,0,157,0.37507525131138053,0.7717873752381804,0.4373310343566067,0.4686893456939848,0.08227423049856605,0.0,0.0,False,False,False,-1,385,True,1.99,33,33,
18,0,403,0.32739492139017456,0.6927408456361323,0.16720142041146602,0.6267623756182732,0.14288657800427093,0.0,0.0,False,False,False,-1,430,True,1.96,32,32,
19,1,4,0.2595313749588228,0.5989673943357303,0.95144821715586,0.5724139542423462,0.14627204309258637,0.13705873290188894,0.6951353308570327,False,False,False,-1,0,False,0.0,24,24,
20,0,445,0.35395747423876633,0.06764675016827194,0.6709018858742242,0.5190506446208251,0.2374349761040587,0.0,0.0,False,False,False,-1,420,True,1.8399999999999999,28,28,
21,0,201,0.630366590070366,0.5257118501658976,0.3521483840144338,0.5464288459089985,0.1974544542869661,0.0,0.0,False,False,False,-1,421,True,1.78,26,26,
22,5,6,0.508308755997524,0.8178707021762154,1.0,0.5573597765119032,0.3202723057903508,0.34058993676418864,0.7363555343731878,False,False,False,-1,0,False,0.0,14,14,
23,1062,141,1.0,1.0,0.9778950606545904,0.4803392394775649,0.7418970877742425,2.0,118.783653183231,True,False,False,-1,0,False,0.0,15,15,
24,0,30,0.22162021464567674,0.15085209034175914,1.0,0.596742273683098,0.34017672429957746,0.0,0.0,False,False,False,-1,0,False,1.63,21,21,
25,3,1,0.4223583021115422,0.0995756014686934,0.9366468181417528,0.5320411836536081,0.049874055835861436,0.1699080044808359,0.08758692113456092,False,False,False,-1,0,False,0.0,30,30,
26,1,83,0.45592485777718267,0.1758579541520148,0.9078566521015196,0.6152210180616136,0.06173877828049459,0.062392212941003,0.029144945409097164,False,False,False,-1,5,False,2.02,34,34,
27,0,381,0.3411616681184021,0.04968068360092788,0.501459232200775,0.5270695874909509,0.023398743760694785,0.0,0.0,False,False,False,-1,438,True,1.6,20,20,
28,0,143,0.06646161234478816,0.3956877732654924,0.8444620299082832,0.5423164287796352,0.2649195150257283,0.0,0.0,False,False,False,-1,308,True,1.3599999999999999,12,12,
29,1,73,0.3421904848263443,0.15800341655984115,0.9630072324789153,0.5313618508144168,0.12299527459174951,0.018642014836481455,0.00022389659456767983,False,False,False,-1,0,False,1.51,17,17,
30,0,30,0.3459580050369396,0.2513768769244989,0.9721145939591874,0.584900534659764,0.2095815834761422,0.0,0.0,False,False,False,-1,0,False,1.48,16,16,
31,0,165,0.5776990501224646,0.1453494434215686,0.9609113184690621,0.4297002723205149,0.3052162791045872,0.0,0.0,False,False,False,-1,426,True,1.66,22,22,
32,0,198,0.4656778722677696,0.21388282543078097,0.0,0.44118632840809574,0.05576752822235093,0.0,0.0,False,False,False,-1,409,True,1.78,26,26,
33,0,232,0.6453172672518168,0.24095063953378862,0.6299241664349721,0.5623472651533911,0.32813984324108963,0.0,0.0,False,False,False,-1,424,True,1.8399999999999999,28,28,
34,1,85,0.5372221839346116,0.3985356119615262,1.0,0.6549116891483473,0.2231051976279772,0.01652900789758374,0.00013787112034612252,False,False,False,-1,2,False,1.6,20,20,
35,1,4,0.20398323269660087,0.15324231576825265,1.0,0.613333855374869,0.3272498189268122,0.01790925397163782,0.00019048294354016786,False,False,False,-1,0,False,0.0,17,17,
36,0,420,0.049336428367125915,0.2965471014531498,0.4550845328035331,0.46281218429998566,0.19583366755119935,0.0,0.0,False,False,False,-1,433,True,1.96,32,32,
37,0,223,0.16047746542867428,0.20002951452584095,0.6957637270352818,0.5020619215015237,0.2169686562568147,0.0,0.0,False,False,False,-1,395,True,1.99,33,33,
38,1,346,0.3891639614678125,0.3582146278169881,0.6930157590936681,0.5906340414876896,0.03917958272173216,0.017378647717156852,0.00016873786421960516,False,False,False,-1,432,True,1.87,29,29,
39,1,144,0.6457419048622008,0.34644282628450074,0.0,0.5077018051089773,0.3492583532119356,0.017819707701779628,0.0001866732846693645,False,False,False,-1,387,True,1.5699999999999998,19,19,
40,0,371,0.1044497707751579,0.4796611947000886,0.4346026799299243,0.4839583041476932,0.3569822991948083,0.0,0.0,False,False,False,-1,420,True,1.63,21,21,
41,1,16,0.18459121813660617,0.5266648169261823,0.9609849190659757,0.5433636619121448,0.07199467761172693,0.13101301440380797,0.5795675264796523,False,False,False,-1,0,False,0.0,24,24,
42,0,1,0.13513518044750814,0.5205101663214952,0.9907094872433405,0.5464629598357434,0.18778275121800952,0.0,0.0,False,False,False,-1,0,False,0.0,10,10,
43,0,400,0.2668359522522642,0.35991993963259805,0.9515116662323235,0.43155082675316575,0.38471669129880226,0.0,0.0,False,False,False,-1,441,True,1.78,26,26,
44,1,7,0.34323087524362683,0.03368185985104208,1.0,0.5710115060878785,0.06972040758530013,0.03317711082623144,0.0022858555545923866,False,False,False,-1,0,False,0.0,19,19,
45,2,1,0.4217591040622379,0.44858600033081086,1.0,0.5431000073631594,0.007241314513014931,0.11530856001434985,0.06444874145657041,False,False,False,-1,0,False,0.0,14,14,
46,0,165,0.47357436763107763,0.12438447994411804,0.3592282688714781,0.44818478992985733,0.09831979849543232,0.0,0.0,False,False,False,-1,419,True,1.51,17,17,
47,0,153,0.4337689161939913,0.44594803431800584,0.43372500198897274,0.5326418518583494,0.2319506025490018,0.0,0.0,False,False,False,-1,368,True,1.54,18,18,
