agent_id,exit_capacity,outside_ties,econ_independence,tenure,born_inside,punishment_received,punishment_delivered,is_enforcer,exited
0,0.8751155920291642,0.834167898892857,0.9160632851654713,105,False,157,0,False,True
1,0.9450251228181877,0.8900502456363755,1.0,450,False,1,1,False,False
2,0.6951994277618925,0.6797850565176509,0.710613799006134,82,False,84,0,False,True
3,0.6234365569079328,0.4949436128419782,0.7519295009738874,79,False,48,0,False,True
4,0.725840398934803,0.8388750038677865,0.6128057940018194,47,False,26,0,False,True
5,0.8326386188959434,0.6652772377918867,1.0,450,False,0,193,True,False
6,0.9727835761249145,0.945567152249829,1.0,54,False,19,0,False,True
7,1.0,1.0,1.0,55,False,43,0,False,True
8,0.6718974647901175,0.5206744173511458,0.8231205122290891,144,False,122,0,False,True
9,0.6345954661736941,0.706861130992311,0.5623298013550773,77,False,52,0,False,True
10,0.8175903438383998,0.9597668846506722,0.6754138030261273,42,False,11,0,False,True
11,0.54255522315304,0.7184909749445769,0.366619471361503,56,False,4,0,False,True
12,0.7484277423069423,0.561185512398412,0.9356699722154725,40,False,10,0,False,True
13,0.49973828286345795,0.5022571154155905,0.4972194503113254,64,False,41,1,False,True
14,0.9219623914972398,0.9767616915079338,0.8671630914865458,73,False,79,0,False,True
15,0.6552769698680849,0.5172770007224906,0.7932769390136792,167,False,30,0,False,True
16,0.6710298785513686,0.5556866748168644,0.7863730822858728,78,False,61,0,False,True
17,0.6340281445723044,0.525113483743699,0.7429428054009097,141,False,100,0,False,True
18,0.8653899518846,0.7952102843273283,0.9355696194418717,37,False,18,0,False,True
19,0.7643497549056767,0.5286995098113534,1.0,67,False,18,0,False,True
20,0.7023445210649208,0.7225298156903088,0.682159226439533,47,False,16,0,False,True
21,0.6948318288757014,0.4589514411412827,0.9307122166101202,105,False,9,0,False,True
22,0.8060176998192894,0.9084309131281876,0.7036044865103911,80,False,10,0,False,True
23,0.7912729404649504,0.7843980376778867,0.7981478432520142,31,False,13,0,False,True
24,1.0,1.0,1.0,450,False,1,1,False,False
25,0.7030442455575131,0.6865814252211592,0.719507065893867,138,False,53,0,False,True
26,0.8150162559446776,0.6300325118893554,1.0,128,False,3,0,False,True
27,1.0,1.0,1.0,450,False,8,0,False,False
