alpha,n_runs,n_capture,median_exit_rate,median_top5_share,median_enforcer_share
0.0,10,0,0.2971428571428571,0.782315939217463,0.9675629370623058
0.2,10,0,0.2971428571428571,0.7721581624581261,0.9695756770806641
0.4,10,0,0.3057142857142857,0.7773724000585328,0.967662138050308
0.6,10,0,0.3028571428571428,0.7796338684415742,0.9673570241979415
0.8,10,0,0.29571428571428565,0.7699461148183602,0.9677342184816928
