seed,run_dir,final_exit_rate,final_prevalence_active,max_punish_rate,top5_punish_share,top10_punish_share,enforcer_punish_share,literalism_enrichment_d,regime,fallback_drop_t
1,/storage/social-science/religion-code-geometry-abm/results/v2.5_ablation_fixed_y0/seed_01,0.3628571428571429,0.1210762331838565,0.1485714285714285,0.8280371547298949,0.9739672451723295,0.8021266194084576,1.976406293230465,MIXED,76.0
2,/storage/social-science/religion-code-geometry-abm/results/v2.5_ablation_fixed_y0/seed_02,0.3542857142857142,0.1061946902654867,0.1485714285714285,0.8377269335986073,0.9695349415568266,0.8118627207162398,2.287507113692183,MIXED,42.0
3,/storage/social-science/religion-code-geometry-abm/results/v2.5_ablation_fixed_y0/seed_03,0.36,0.1294642857142857,0.1571428571428571,0.7837467139101612,0.9794262201394445,0.7726597325408618,2.3309745494904104,MIXED,27.0
4,/storage/social-science/religion-code-geometry-abm/results/v2.5_ablation_fixed_y0/seed_04,0.4142857142857143,0.1365853658536585,0.1514285714285714,0.8132419650612875,0.9805038123733231,0.736704951259531,2.488720190915675,MIXED,74.0
5,/storage/social-science/religion-code-geometry-abm/results/v2.5_ablation_fixed_y0/seed_05,0.3828571428571428,0.1481481481481481,0.1485714285714285,0.7982086975288659,0.9786338620912917,0.7163051688788173,2.3259994635102452,MIXED,19.0
6,/storage/social-science/religion-code-geometry-abm/results/v2.5_ablation_fixed_y0/seed_06,0.38,0.1198156682027649,0.1485714285714285,0.7958504382558527,0.9755908132697215,0.7170753356263175,2.023151164432856,MIXED,40.0
7,/storage/social-science/religion-code-geometry-abm/results/v2.5_ablation_fixed_y0/seed_07,0.3142857142857143,0.1333333333333333,0.14,0.8125394222278289,0.9752743787056894,0.7702787939952063,2.0133179024725374,MIXED,45.0
8,/storage/social-science/religion-code-geometry-abm/results/v2.5_ablation_fixed_y0/seed_08,0.3771428571428571,0.1330275229357798,0.1485714285714285,0.7716826423374523,0.9737845016745582,0.7243330638641875,2.2453585513109746,MIXED,51.0
9,/storage/social-science/religion-code-geometry-abm/results/v2.5_ablation_fixed_y0/seed_09,0.3771428571428571,0.1376146788990825,0.14,0.7781363453005244,0.9693424768051634,0.736318407960199,2.4261157880866113,MIXED,41.0
10,/storage/social-science/religion-code-geometry-abm/results/v2.5_ablation_fixed_y0/seed_10,0.3657142857142857,0.1261261261261261,0.1428571428571428,0.8194136199042168,0.9772222871159911,0.7805162948253709,2.354024681018055,MIXED,34.0
11,/storage/social-science/religion-code-geometry-abm/results/v2.5_ablation_fixed_y0/seed_11,0.3828571428571428,0.1342592592592592,0.16,0.8357031655422937,0.9784120394395434,0.7665801764400623,2.7754744475073183,MIXED,42.0
12,/storage/social-science/religion-code-geometry-abm/results/v2.5_ablation_fixed_y0/seed_12,0.4285714285714285,0.135,0.1457142857142857,0.8180186647523331,0.9747547260110074,0.7497008853792774,2.9102517997407746,MIXED,26.0
13,/storage/social-science/religion-code-geometry-abm/results/v2.5_ablation_fixed_y0/seed_13,0.3828571428571428,0.1435185185185185,0.1485714285714285,0.7919825527053692,0.9792294111538062,0.7507529338456745,2.043720271765204,MIXED,28.0
14,/storage/social-science/religion-code-geometry-abm/results/v2.5_ablation_fixed_y0/seed_14,0.4057142857142857,0.1346153846153846,0.1514285714285714,0.8196866686373042,0.9767464774854665,0.7808651098630407,2.127559103638025,MIXED,32.0
15,/storage/social-science/religion-code-geometry-abm/results/v2.5_ablation_fixed_y0/seed_15,0.3685714285714285,0.1538461538461538,0.1485714285714285,0.7862210604929052,0.9770351008215086,0.7715646004480956,1.961806841481376,MIXED,25.0
16,/storage/social-science/religion-code-geometry-abm/results/v2.5_ablation_fixed_y0/seed_16,0.4028571428571428,0.1578947368421052,0.1514285714285714,0.8053728070175439,0.9780701754385965,0.7608552631578948,1.9507486591511083,MIXED,26.0
17,/storage/social-science/religion-code-geometry-abm/results/v2.5_ablation_fixed_y0/seed_17,0.3457142857142857,0.148471615720524,0.1714285714285714,0.7921209627648632,0.9782966467804979,0.7827607488171158,2.2784447469435114,MIXED,29.0
18,/storage/social-science/religion-code-geometry-abm/results/v2.5_ablation_fixed_y0/seed_18,0.3714285714285714,0.1318181818181818,0.1428571428571428,0.7971071533995867,0.979730394568533,0.782938108826134,2.6707726436076027,MIXED,35.0
19,/storage/social-science/religion-code-geometry-abm/results/v2.5_ablation_fixed_y0/seed_19,0.4,0.1523809523809524,0.1485714285714285,0.7968985569674779,0.9755545983200516,0.7388541891018738,2.4201955495474525,MIXED,34.0
20,/storage/social-science/religion-code-geometry-abm/results/v2.5_ablation_fixed_y0/seed_20,0.4371428571428571,0.1472081218274111,0.1457142857142857,0.8093173338711304,0.9813451648684078,0.7338912977715035,2.193096644021144,MIXED,34.0
21,/storage/social-science/religion-code-geometry-abm/results/v2.5_ablation_fixed_y0/seed_21,0.3885714285714285,0.1401869158878504,0.1371428571428571,0.833005542642589,0.9780976220275344,0.7711424995530127,2.409633843037042,MIXED,31.0
22,/storage/social-science/religion-code-geometry-abm/results/v2.5_ablation_fixed_y0/seed_22,0.44,0.1785714285714285,0.1485714285714285,0.8196581196581196,0.978525641025641,0.7331196581196581,2.3260062408418505,MIXED,27.0
23,/storage/social-science/religion-code-geometry-abm/results/v2.5_ablation_fixed_y0/seed_23,0.3771428571428571,0.1330275229357798,0.1428571428571428,0.7728867623604466,0.9773524720893142,0.7242955874534822,2.210429351832252,MIXED,36.0
24,/storage/social-science/religion-code-geometry-abm/results/v2.5_ablation_fixed_y0/seed_24,0.3742857142857143,0.1324200913242009,0.1542857142857142,0.811064037803487,0.9818315137689425,0.7797783933518005,2.7721984030003624,MIXED,28.0
25,/storage/social-science/religion-code-geometry-abm/results/v2.5_ablation_fixed_y0/seed_25,0.3628571428571429,0.1210762331838565,0.16,0.7913951804736787,0.9740407487847761,0.6956251939187093,1.7895366955312018,MIXED,44.0
26,/storage/social-science/religion-code-geometry-abm/results/v2.5_ablation_fixed_y0/seed_26,0.3685714285714285,0.1040723981900452,0.14,0.8204684317718941,0.9815682281059063,0.7930753564154787,2.15431274386857,MIXED,27.0
27,/storage/social-science/religion-code-geometry-abm/results/v2.5_ablation_fixed_y0/seed_27,0.3971428571428571,0.1469194312796208,0.1571428571428571,0.7718339341783929,0.9755785556460054,0.7415978602163042,2.6719820476498826,MIXED,31.0
28,/storage/social-science/religion-code-geometry-abm/results/v2.5_ablation_fixed_y0/seed_28,0.3485714285714286,0.1228070175438596,0.1514285714285714,0.7920234604105572,0.9730205278592375,0.7146041055718475,2.3654012759607617,MIXED,38.0
29,/storage/social-science/religion-code-geometry-abm/results/v2.5_ablation_fixed_y0/seed_29,0.3914285714285714,0.1596244131455399,0.14,0.8036075832873183,0.9792932081722805,0.7679919013436407,2.325662530244506,MIXED,39.0
30,/storage/social-science/religion-code-geometry-abm/results/v2.5_ablation_fixed_y0/seed_30,0.3485714285714286,0.1228070175438596,0.1428571428571428,0.7882133829985366,0.9705999733936411,0.7316748702940002,2.3496907705187846,MIXED,39.0
