punish_floor,n_seeds,n_collapse,n_capture,n_mixed,n_quiet,median_final_delta,median_exit_rate,median_fund_prevalence
0.04,30,0,0,30,0,0.9999999999999996,0.01571428571428565,0.1086909032859747
0.06,30,0,0,30,0,0.9999999999999996,0.04,0.10778829604130805
0.08,30,0,0,30,0,0.9999999999999996,0.0742857142857142,0.11247554466541301
0.1,30,0,0,30,0,0.9999999999999996,0.13285714285714278,0.11182565201857805
0.12,30,0,0,29,1,0.5512276,0.40142857142857136,0.1222955360052134
0.15,30,0,0,29,1,0.2,0.44,0.13313836700933468
