punish_floor,seed,regime_hier,final_delta,median_exit_rate,final_fund_prevalence,max_punish
0.04,1,MIXED,0.9999999999999996,0.0171428571428571,0.0988372093023255,0.1971428571428571
0.04,2,MIXED,0.9999999999999996,0.0228571428571428,0.1052631578947368,0.1771428571428571
0.04,3,MIXED,0.9999999999999996,0.0114285714285714,0.1184971098265895,0.1885714285714285
0.04,4,MIXED,0.9999999999999996,0.0085714285714285,0.100864553314121,0.1828571428571428
0.04,5,MIXED,0.9999999999999996,0.0142857142857142,0.1159420289855072,0.1914285714285714
0.04,6,MIXED,0.9999999999999996,0.0171428571428571,0.1133720930232558,0.1914285714285714
0.04,7,MIXED,0.9999999999999996,0.0171428571428571,0.1191860465116279,0.1857142857142857
0.04,8,MIXED,0.9999999999999996,0.0314285714285714,0.0943952802359882,0.18
0.04,9,MIXED,0.9999999999999996,0.0085714285714285,0.1268011527377521,0.18
0.04,10,MIXED,0.9999999999999996,0.0085714285714285,0.1095100864553314,0.1885714285714285
0.04,11,MIXED,0.9999999999999996,0.02,0.119533527696793,0.1857142857142857
0.04,12,MIXED,0.9999999999999996,0.0142857142857142,0.1217391304347826,0.1942857142857142
0.04,13,MIXED,0.9999999999999996,0.02,0.1137026239067055,0.1771428571428571
0.04,14,MIXED,0.9999999999999996,0.02,0.1049562682215743,0.18
0.04,15,MIXED,0.9999999999999996,0.0114285714285714,0.1069364161849711,0.1828571428571428
0.04,16,MIXED,0.9999999999999996,0.0114285714285714,0.1011560693641618,0.1742857142857143
0.04,17,MIXED,0.9999999999999996,0.0142857142857142,0.1043478260869565,0.1857142857142857
0.04,18,MIXED,0.9999999999999996,0.0085714285714285,0.0951008645533141,0.1828571428571428
0.04,19,MIXED,0.9999999999999996,0.0057142857142857,0.1149425287356321,0.1914285714285714
0.04,20,MIXED,0.9999999999999996,0.02,0.1049562682215743,0.1742857142857143
0.04,21,MIXED,0.9999999999999996,0.0228571428571428,0.1111111111111111,0.1857142857142857
0.04,22,MIXED,0.9999999999999996,0.0171428571428571,0.1220930232558139,0.1942857142857142
0.04,23,MIXED,0.9999999999999996,0.0142857142857142,0.1043478260869565,0.1942857142857142
0.04,24,MIXED,0.9999999999999996,0.02,0.107871720116618,0.1857142857142857
0.04,25,MIXED,0.9999999999999996,0.0171428571428571,0.1133720930232558,0.1885714285714285
0.04,26,MIXED,0.9999999999999996,0.0028571428571428,0.0916905444126074,0.1914285714285714
0.04,27,MIXED,0.9999999999999996,0.0142857142857142,0.1159420289855072,0.1942857142857142
0.04,28,MIXED,0.9999999999999996,0.0228571428571428,0.1052631578947368,0.1885714285714285
0.04,29,MIXED,0.9999999999999996,0.0228571428571428,0.1140350877192982,0.18
