arm,top5_active,gini_active,gini_null,exit_rate,total_punish,gini_above_null
floor,0.08794379760799084,0.23345719599147624,0.02376309182835184,0.5971428571428572,83692.0,0.21
floor_eps0.25,0.12084954693775256,0.42126236400108574,0.06172333012773041,0.3857142857142857,19287.5,0.36
floor_eps0.50,0.09251711763801537,0.2797118687681699,0.035695688564853924,0.5514285714285714,41423.0,0.244
add_monopoly,0.08794379760799084,0.23345719599147624,0.02376309182835184,0.5971428571428572,83692.0,0.21
add_quota,0.08794379760799084,0.23345719599147624,0.02376309182835184,0.5971428571428572,83692.0,0.21
add_punish_mult,0.25028735632183907,0.6278435990106721,0.4963650378651038,0.0057142857142857,390.5,0.131
add_cap_gain,0.08794379760799084,0.23345719599147624,0.02376309182835184,0.5971428571428572,83692.0,0.21
add_cost_discount,0.08794379760799084,0.23345719599147624,0.02376309182835184,0.5971428571428572,83692.0,0.21
add_backlash_protect,0.08794379760799084,0.23345719599147624,0.02376309182835184,0.5971428571428572,83692.0,0.21
add_budget_patronage,0.08794379760799084,0.23345719599147624,0.02376309182835184,0.5971428571428572,83692.0,0.21
ceiling,0.5779323645902573,0.901124361153141,0.06219373134109542,0.32714285714285707,19199.0,0.839
