arm,sigma,pi,seed,top5_active,gini_active,gini_null,top5_all,gini_all,total_punish,n_active,exit_rate
floor,0.75,0.25,17,0.10862058140264959,0.34925294933998435,0.04123915941194346,0.22037128807227538,0.6512910129553289,15927.0,87,0.7514285714285714
floor,0.75,0.25,10,0.11822900763358779,0.3073827699018539,0.03975063613231557,0.2325841828853877,0.6637294231872545,16375.0,84,0.7571428571428571
floor,0.75,0.25,8,0.1021402375608955,0.2863568607133446,0.03821825509472772,0.20761435223226513,0.6448272488946276,18269.0,86,0.7542857142857143
floor,0.75,0.25,9,0.10108059432687978,0.26657369886771054,0.04083391698767652,0.20904045042526853,0.6276624776812454,13326.0,72,0.7942857142857143
floor,0.75,0.25,2,0.08923917879616093,0.29311240704252206,0.04008612470603187,0.20267976452742967,0.6331519995047027,15733.0,80,0.7714285714285715
floor,0.75,0.25,13,0.10346867835219288,0.32673412853329886,0.04217256045214242,0.21969272625430103,0.640326706981104,13521.0,79,0.7742857142857142
floor,0.75,0.25,6,0.11140011419146102,0.3149594545678451,0.040665594411335604,0.21328563735671974,0.6330614442869232,15763.0,85,0.7571428571428571
floor,0.75,0.25,18,0.10777912132204756,0.3164934514972015,0.044575737631314484,0.22819840941479336,0.6333969042036894,12405.0,79,0.7742857142857142
floor,0.75,0.25,11,0.10291786532026068,0.24846854376107283,0.039175165163816965,0.21041642941198802,0.6423237401098693,17033.0,85,0.7571428571428571
floor,0.75,0.25,16,0.10047281323877069,0.3629450006953136,0.04141722291753584,0.23423132763348928,0.6566218053603116,14382.0,80,0.7714285714285715
floor,0.75,0.25,15,0.11178877480120436,0.2908217946330853,0.04038582931049357,0.23007744191856108,0.6395874522679419,12953.0,68,0.8057142857142857
floor,0.75,0.25,21,0.09358697035246215,0.2853106515150032,0.03942319927178052,0.21312197269925143,0.6424826487177874,15718.0,78,0.7771428571428571
floor,0.75,0.25,5,0.09810642243074676,0.2513014053554594,0.039439231331123245,0.21163550014841198,0.6393787898062163,17797.0,90,0.7428571428571429
floor,0.75,0.25,27,0.08481392557022809,0.278094237695078,0.03848439375750301,0.21558678590983757,0.643688577164759,16660.0,80,0.7714285714285715
floor,0.75,0.25,1,0.09978473717102979,0.3143633543966854,0.0396046570839988,0.21614967996061055,0.6432860984411944,14401.0,75,0.7828571428571428
floor,0.75,0.25,26,0.104016885429721,0.28010465448629157,0.042127145648203544,0.21589168150387147,0.6381645243911817,15161.0,87,0.7514285714285714
floor,0.75,0.25,30,0.09882038726908525,0.24485836827256816,0.04049542531625765,0.2121438347642155,0.6232596858576702,13479.0,74,0.7885714285714286
floor,0.75,0.25,7,0.10972027078809554,0.30626016648020105,0.040039580983276556,0.21295092320838133,0.6302420668828516,15658.0,83,0.7628571428571429
floor,0.75,0.25,20,0.10673954829408938,0.32740669549895884,0.040603406850155,0.22745544178991278,0.6565764125900645,16648.0,87,0.7514285714285714
floor,0.75,0.25,14,0.101594631647305,0.3643384868033476,0.04210123476861448,0.22345982485788907,0.6452171718280184,13859.0,79,0.7742857142857142
floor,0.75,0.25,4,0.11060296064508364,0.32487097619165617,0.03975703170906107,0.20444111946135274,0.6337609607042055,16618.0,85,0.7571428571428571
floor,0.75,0.25,3,0.106219324591605,0.333603997437117,0.03991452929723984,0.22337751371115175,0.6428088273700705,13651.0,71,0.7971428571428572
floor,0.75,0.25,22,0.11873624239285252,0.3331363155128684,0.04202344410507956,0.22795681979355448,0.64778099215417,15446.0,85,0.7571428571428571
floor,0.75,0.25,25,0.10495626822157435,0.334570709034613,0.03849648419642977,0.20576278903378972,0.6371081057223696,18179.0,87,0.7485714285714286
floor,0.75,0.5,15,0.0927646906549314,0.2017059823427931,0.024090121630893094,0.18042258171013537,0.629250442996611,77260.0,143,0.5914285714285714
floor,0.75,0.25,12,0.11777596894371048,0.3340584220664661,0.04039748514771254,0.23276692482564637,0.6494032619405409,15971.0,85,0.7571428571428571
floor,0.75,0.25,23,0.09566266324015314,0.2836255121649677,0.037969006984831175,0.20246210867694753,0.6335086939666992,19067.0,89,0.7457142857142857
floor,0.75,0.5,14,0.0806050885303645,0.2227393692154519,0.022364275973106945,0.16618357487922705,0.6366195077064642,95391.0,154,0.5571428571428572
floor,0.75,0.5,2,0.08271776416861334,0.20542300581518738,0.022458972715784797,0.16802195061112496,0.6251752699283755,95034.0,153,0.5628571428571428
floor,0.75,0.5,4,0.09007741819327542,0.25305581039732256,0.02318218439051297,0.18250555013352496,0.6580287641702683,88868.0,149,0.5742857142857143
floor,0.75,0.25,24,0.10365766538076868,0.34925502177966816,0.04128245427002397,0.24784206478078796,0.6561624769555716,13998.0,78,0.7771428571428571
floor,0.75,0.5,12,0.08498201952166219,0.2078668330166704,0.022742654913440907,0.16970060889535007,0.6298896885092448,87595.0,147,0.58
floor,0.75,0.5,6,0.08282669108487101,0.19655942326562478,0.02245005634754692,0.16731490064890572,0.6228888108385106,93919.0,152,0.5628571428571428
floor,0.75,0.5,8,0.0895525416163686,0.2502660948727378,0.02282742113255449,0.16428882754612814,0.631296292452765,98579.0,161,0.54
floor,0.75,0.5,9,0.08089920875545367,0.15616280619537373,0.022111202006641406,0.1619123585423002,0.6191476572682018,94661.0,146,0.5828571428571429
floor,0.75,0.5,17,0.07793201675134458,0.17459352594660094,0.022065570172540714,0.15834503640401987,0.6190323943842335,94082.0,148,0.5771428571428572
floor,0.75,0.5,13,0.080582573199617,0.23358344013161544,0.022491813903701037,0.16429094436150285,0.6243174615249815,99215.0,158,0.5485714285714286
floor,0.75,0.5,1,0.07982867738593727,0.23333095185133707,0.02192389323876243,0.15036798021629955,0.6043397105278758,114871.0,174,0.5
floor,0.75,0.5,25,0.0829019452537882,0.21565074572699844,0.021802720360942444,0.15198515041452118,0.6052059984778155,106053.0,164,0.5314285714285715
floor,0.75,0.5,3,0.07951709644936737,0.18779042914290003,0.022992956490753426,0.16123659617341957,0.6196338796449832,91364.0,151,0.5685714285714286
floor,0.75,0.5,10,0.08255179049628453,0.19614452983006497,0.02286371100894348,0.16683158089314645,0.6331694443193133,86261.0,146,0.5828571428571429
floor,0.75,0.5,18,0.08648772654278504,0.1981983089175106,0.024261229467336654,0.18399279418387698,0.6467712245291863,69744.0,133,0.62
floor,0.75,0.25,29,0.1066913351834721,0.2769680565548589,0.03981909754342683,0.21049463983449312,0.6348564980252022,16215.0,81,0.7685714285714286
