t,mean_x,mean_y,mean_x_all,mean_y_all,mean_L,y0,mean_epc,mean_r,mean_b,fund_prevalence,mean_epc_all,mean_r_all,mean_b_all,fund_prevalence_all,punish_rate,active_punish_rate,mean_punished,exit_rate,mean_exit_intent,exit_attempt_rate,exit_success_rate,p_opp_mean,stay_value,mean_degree_active,threat,A,budget,enforcer_frac,n_cadre_fallback,cap_mean,cap_p90,service_mean,service_p90,monopoly_on,enforcer_punish_share_step,pi_reward,lam_punish
0,0.3579605308037155,0.5077727076179395,0.3579605308037155,0.5077727076179395,0.26107685272754566,0.5,0.0,0.33369796589576517,0.3279135358137105,0.005714285714285714,0.0,0.33369796589576517,0.3279135358137105,0.005714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,11.794285714285714,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.25
1,0.3663722005023792,0.5082385825338471,0.3663722005023792,0.5082385825338471,0.26107685272754566,0.5073806164839121,0.5742857142857143,0.33306939446719375,0.32744210724228195,0.002857142857142857,0.5742857142857143,0.33306939446719375,0.32744210724228195,0.002857142857142857,0.02,0.02,0.02,0.0,0.037142857142857144,0.0,0.0,0.28378385481796425,0.0493,11.794285714285714,0.0,0.0,0.15,0.08,28,0.0029999999999999996,0.0,0.02,0.0,0.0,0.7142857142857143,0.09,0.25
2,0.3767634883175998,0.5082467767945089,0.3767634883175998,0.5082467767945089,0.26107685272754566,0.5148856142625134,0.8428571428571429,0.3315836801814794,0.3263278215279962,0.0,0.8428571428571429,0.3315836801814794,0.3263278215279962,0.0,0.05142857142857143,0.054285714285714284,0.054285714285714284,0.0,0.04,0.0,0.0,0.28378385481796425,0.0493,11.794285714285714,0.0,0.0,0.15,0.08,26,0.011127857142857142,0.0,0.07388571428571429,0.0,0.0,0.8947368421052632,0.09,0.25
3,0.3856190524319378,0.5078764194924491,0.3856190524319378,0.5078764194924491,0.26107685272754566,0.5148856142625134,0.9228571428571428,0.33152653732433657,0.3262849643851391,0.002857142857142857,0.9228571428571428,0.33152653732433657,0.3262849643851391,0.002857142857142857,0.037142857142857144,0.037142857142857144,0.037142857142857144,0.0,0.08285714285714285,0.0,0.0,0.28378385481796425,0.0493,11.794285714285714,0.0,0.0,0.15,0.08,19,0.01664364642857143,0.0,0.10955085714285713,0.0,0.0,0.8461538461538461,0.09,0.25
4,0.3951238531362495,0.5084549629577029,0.3951238531362495,0.5084549629577029,0.26107685272754566,0.520266094124814,0.92,0.330555108752908,0.3255563929565677,0.002857142857142857,0.92,0.330555108752908,0.3255563929565677,0.002857142857142857,0.06857142857142857,0.07142857142857142,0.07142857142857142,0.0,0.10571428571428572,0.0,0.0,0.28378385481796425,0.0493,11.794285714285714,0.0,0.0,0.15,0.08,17,0.027274713910714284,0.0,0.17878841142857144,0.0,0.0,0.88,0.09,0.25
5,0.4040318760613834,0.5082895359523387,0.4040318760613834,0.5082895359523387,0.26107685272754566,0.5248791990171029,0.9057142857142857,0.3312979658957651,0.3261135358137105,0.005714285714285714,0.9057142857142857,0.3312979658957651,0.3261135358137105,0.005714285714285714,0.06857142857142857,0.07714285714285714,0.07714285714285714,0.0,0.11428571428571428,0.0,0.0,0.28378385481796425,0.0493,11.794285714285714,0.0,0.0,0.15,0.08,11,0.03870976891258928,0.0,0.25235550034285714,0.0,0.0,0.9259259259259259,0.09,0.25
6,0.41272141184274785,0.5085946051071496,0.41272141184274785,0.5085946051071496,0.26107685272754566,0.5295277822904286,0.88,0.33198368018147945,0.32662782152799624,0.005714285714285714,0.88,0.33198368018147945,0.32662782152799624,0.005714285714285714,0.022857142857142857,0.022857142857142857,0.022857142857142857,0.0,0.14,0.0,0.0,0.28378385481796425,0.0493,11.794285714285714,0.0,0.0,0.15,0.08,9,0.041944791496597765,0.0,0.27016553319314285,0.0,0.0,1.0,0.09,0.25
7,0.422731418752185,0.5081534542338939,0.422731418752185,0.5081534542338939,0.26107685272754566,0.5341579617127828,0.9257142857142857,0.33249796589576514,0.3270135358137105,0.008571428571428572,0.9257142857142857,0.33249796589576514,0.3270135358137105,0.008571428571428572,0.04,0.04,0.04,0.0,0.17714285714285713,0.0,0.0,0.28378385481796425,0.0493,11.794285714285714,0.0,0.0,0.15,0.08,8,0.04773506753911478,0.0,0.30476222252928,0.0,0.0,0.9285714285714286,0.09,0.25
8,0.432333290244852,0.5085564378404582,0.432333290244852,0.5085564378404582,0.26107685272754566,0.5383771737187719,0.88,0.3335735918212522,0.3279135358137106,0.008571428571428572,0.88,0.3335735918212522,0.3279135358137106,0.008571428571428572,0.04285714285714286,0.04285714285714286,0.04285714285714286,0.0,0.18285714285714286,0.0,0.0,0.28378385481796425,0.0493,11.794285714285714,0.0,0.0,0.15,0.08,7,0.0537431424193646,0.0,0.34152412093583717,0.0,0.0,0.9333333333333333,0.09,0.25
9,0.4409383830251897,0.5099457824530939,0.4409383830251897,0.5099457824530939,0.26107685272754566,0.5423435486667456,0.8914285714285715,0.3346021632498236,0.32860729129312266,0.008571428571428572,0.8914285714285715,0.3346021632498236,0.32860729129312266,0.008571428571428572,0.04285714285714286,0.04285714285714286,0.04285714285714286,0.0,0.3142857142857143,0.0,0.0,0.28378385481796425,0.0493,11.794285714285714,0.0,0.0,0.15,0.08,6,0.059319087159228345,0.0,0.37755078137426334,0.0,0.0,0.9333333333333333,0.09,0.25
10,0.44983705901940163,0.5109522659195707,0.44983705901940163,0.5109522659195707,0.26107685272754566,0.5457110870532236,0.8914285714285715,0.3351164489641093,0.3291215770074083,0.008571428571428572,0.8914285714285715,0.3351164489641093,0.3291215770074083,0.008571428571428572,0.03142857142857143,0.03142857142857143,0.03142857142857143,0.0,0.38,0.0,0.0,0.28378385481796425,0.0493,11.794285714285714,0.0,0.0,0.15,0.08,6,0.06290820600914648,0.0,0.40142833717534954,0.0,0.0,0.9090909090909091,0.09,0.25
11,0.4603946250304929,0.5121209511375463,0.4603946250304929,0.5121209511375463,0.26107685272754566,0.548903029145877,0.8971428571428571,0.33603073467839506,0.32968841796685266,0.011428571428571429,0.8971428571428571,0.33603073467839506,0.32968841796685266,0.011428571428571429,0.037142857142857144,0.037142857142857144,0.037142857142857144,0.0,0.43142857142857144,0.0,0.0,0.28378385481796425,0.0493,11.794285714285714,0.0,0.0,0.15,0.08,5,0.06551429227751265,0.014266651956989819,0.43054262757469963,0.08170728068877324,0.0,0.9230769230769231,0.09,0.25
12,0.4699874861370092,0.5123352965335504,0.4699874861370092,0.5123352965335504,0.26107685272754566,0.5517934073595898,0.8771428571428571,0.33682933106344015,0.33024556082399553,0.014285714285714285,0.8771428571428571,0.33682933106344015,0.33024556082399553,0.014285714285714285,0.037142857142857144,0.04,0.04,0.0,0.54,0.002857142857142857,0.0,0.28378385481796425,0.0493,11.794285714285714,0.0,0.0,0.15,0.08,5,0.06932339709670517,0.14202452023180137,0.4619317750232056,0.8023654963635712,0.0,0.9285714285714286,0.09,0.25
