arm,run_dir,seed,turnover_mode,exit_capacity_mode,mu_membership_reward,ec_tenure_crowdout,born_inside_frac,ec50,ec200,ec449,n_active,exit_capacity_mean,exit_capacity_sd,exit_capacity_ndistinct,cumulative_exit_rate,exit_rate_last100,frac_born_inside,mean_econ_independence,mean_outside_ties,enforcer_punish_share,code_sha256,aggregated_utc
live_econ,results/v3_3_endogenous_capacity_v2/generational_live_econ/mu_0.6/crowd_0.002/born_0/seed_02,2,on,endogenous,0.6,0.002,0.0,0.6175478752269606,0.6911245206601404,0.7387522532639116,137,0.7403834010991619,0.17697547476933123,131,0.5433333333333333,0.0616438356164383,0.0,0.7328313876046301,0.7446731189231932,0.7641929858554544,a3bb242669f1dcd92e60af82912b52126568cf3a1658657fd1a1828272478497,2026-07-25T10:21:24.856227+00:00
live_econ,results/v3_3_endogenous_capacity_v2/generational_live_econ/mu_0.6/crowd_0.002/born_0/seed_03,3,on,endogenous,0.6,0.002,0.0,0.625492890747638,0.7190510208910693,0.7556791251127318,153,0.7551722656724136,0.16936927563020268,150,0.49,0.04375,0.0,0.7472466835813074,0.7641115666441564,0.9085151301900071,a3bb242669f1dcd92e60af82912b52126568cf3a1658657fd1a1828272478497,2026-07-25T10:21:24.856227+00:00
live_econ,results/v3_3_endogenous_capacity_v2/generational_live_econ/mu_0.6/crowd_0.002/born_0/seed_04,4,on,endogenous,0.6,0.002,0.0,0.6147969214923212,0.7194682655397838,0.7150650909330198,108,0.7146657314083659,0.19414701825354735,108,0.64,0.2230215827338129,0.0,0.7132206141980592,0.7169095676679808,0.3809106830122592,a3bb242669f1dcd92e60af82912b52126568cf3a1658657fd1a1828272478497,2026-07-25T10:21:24.856227+00:00
live_econ,results/v3_3_endogenous_capacity_v2/generational_live_econ/mu_0.6/crowd_0.002/born_0/seed_05,5,on,endogenous,0.6,0.002,0.0,0.6059257578930817,0.6889495298305061,0.7079248884333473,145,0.7075358736941696,0.18962638902299261,142,0.5166666666666667,0.0993788819875776,0.0,0.7068936361356034,0.7089561407310911,0.8893129770992366,a3bb242669f1dcd92e60af82912b52126568cf3a1658657fd1a1828272478497,2026-07-25T10:21:24.856227+00:00
live_econ,results/v3_3_endogenous_capacity_v2/generational_live_econ/mu_0.6/crowd_0.002/born_0/seed_06,6,on,endogenous,0.6,0.002,0.0,0.6357617854280545,0.7401325491447239,0.7641634207019303,148,0.7622810670550719,0.17045985520404747,146,0.5066666666666667,0.0512820512820512,0.0,0.7546686471425647,0.773658194261296,0.9121715076071922,a3bb242669f1dcd92e60af82912b52126568cf3a1658657fd1a1828272478497,2026-07-25T10:21:24.856227+00:00
live_econ,results/v3_3_endogenous_capacity_v2/generational_live_econ/mu_0.6/crowd_0.002/born_0/seed_07,7,on,endogenous,0.6,0.002,0.0,0.6019921116916975,0.7075612319062027,0.7347675904885114,149,0.7343768858350199,0.17041284214246538,144,0.5033333333333333,0.0858895705521472,0.0,0.7299785425414547,0.7395566384355682,0.8337789661319073,a3bb242669f1dcd92e60af82912b52126568cf3a1658657fd1a1828272478497,2026-07-25T10:21:24.856227+00:00
live_econ,results/v3_3_endogenous_capacity_v2/generational_live_econ/mu_0.6/crowd_0.002/born_0/seed_08,8,on,endogenous,0.6,0.002,0.0,0.5997538751071552,0.7157330252335733,0.735662265182249,150,0.7352610215153065,0.18473807868669748,144,0.5,0.0566037735849056,0.0,0.7313432712104274,0.7399812591540705,0.7140794223826715,a3bb242669f1dcd92e60af82912b52126568cf3a1658657fd1a1828272478497,2026-07-25T10:21:24.856227+00:00
live_econ,results/v3_3_endogenous_capacity_v2/generational_live_econ/mu_0.6/crowd_0.002/born_0/seed_09,9,on,endogenous,0.6,0.002,0.0,0.6326691502680458,0.7211194211555322,0.7579506187582007,142,0.7575023845100565,0.17780304586416604,137,0.5266666666666666,0.1341463414634146,0.0,0.749927740253404,0.7659734972629975,0.7960339943342776,a3bb242669f1dcd92e60af82912b52126568cf3a1658657fd1a1828272478497,2026-07-25T10:21:24.856227+00:00
live_econ,results/v3_3_endogenous_capacity_v2/generational_live_econ/mu_0.6/crowd_0.002/born_0/seed_10,10,on,endogenous,0.6,0.002,0.0,0.6053608472905713,0.7265542014277386,0.7819669589540472,137,0.7815886406387774,0.1582708356583519,133,0.5433333333333333,0.0616438356164383,0.0,0.7690702000311043,0.7948637178769901,0.9046912114014252,a3bb242669f1dcd92e60af82912b52126568cf3a1658657fd1a1828272478497,2026-07-25T10:21:24.856227+00:00
live_econ,results/v3_3_endogenous_capacity_v2/generational_live_econ/mu_0.6/crowd_0.008/born_0.8/seed_01,1,on,endogenous,0.6,0.008,0.8,0.5397583786387238,0.3688206345705532,0.3532615045872084,212,0.3534356801553225,0.12329462636590767,212,0.2933333333333333,0.0535714285714285,0.5471698113207547,0.637860327996073,0.0686626811783439,0.9406214618190968,a3bb242669f1dcd92e60af82912b52126568cf3a1658657fd1a1828272478497,2026-07-25T10:21:24.856227+00:00
