arm,run_dir,seed,turnover_mode,exit_capacity_mode,mu_membership_reward,ec_tenure_crowdout,born_inside_frac,ec50,ec200,ec449,n_active,exit_capacity_mean,exit_capacity_sd,exit_capacity_ndistinct,cumulative_exit_rate,exit_rate_last100,frac_born_inside,mean_econ_independence,mean_outside_ties,enforcer_punish_share,code_sha256,aggregated_utc
generational,results/v3_3_endogenous_capacity_v2/generational/born_0.8/seed_01,1,on,endogenous,0.0,0.002,0.8,0.6402779368032451,0.7619216676709026,0.7615436103782255,127,0.7622425164369535,0.16785644961227766,116,0.5766666666666667,0.0863309352517985,0.4724409448818897,0.9520348236289908,0.5710523971274605,0.8384588193708024,a3bb242669f1dcd92e60af82912b52126568cf3a1658657fd1a1828272478497,2026-07-25T10:21:23.225988+00:00
generational,results/v3_3_endogenous_capacity_v2/generational/born_0.8/seed_02,2,on,endogenous,0.0,0.002,0.8,0.6214776261387909,0.7575526778433218,0.7790447344207768,128,0.7798401120607774,0.17706877785911895,112,0.5733333333333334,0.0857142857142857,0.5,0.952077858547736,0.6060116102938178,0.9530386740331491,a3bb242669f1dcd92e60af82912b52126568cf3a1658657fd1a1828272478497,2026-07-25T10:21:23.225988+00:00
generational,results/v3_3_endogenous_capacity_v2/generational/born_0.8/seed_03,3,on,endogenous,0.0,0.002,0.8,0.6246517785166543,0.7494054608978331,0.7812970649493753,135,0.7819212064302345,0.16100077979192376,120,0.55,0.0625,0.4444444444444444,0.9602217435551594,0.6023723863435911,0.9424778761061947,a3bb242669f1dcd92e60af82912b52126568cf3a1658657fd1a1828272478497,2026-07-25T10:21:23.225988+00:00
generational,results/v3_3_endogenous_capacity_v2/generational/born_0.8/seed_04,4,on,endogenous,0.0,0.002,0.8,0.6201752696142434,0.7555875962916737,0.7700694938205916,104,0.771646014044561,0.1815622659603156,97,0.6533333333333333,0.1333333333333333,0.4,0.9474306405475276,0.5927083470936556,0.5478991596638656,a3bb242669f1dcd92e60af82912b52126568cf3a1658657fd1a1828272478497,2026-07-25T10:21:23.225988+00:00
generational,results/v3_3_endogenous_capacity_v2/generational/born_0.8/seed_05,5,on,endogenous,0.0,0.002,0.8,0.6384780385863843,0.7530528956582878,0.7687674673712225,154,0.7695024122346149,0.1700539687326763,143,0.4866666666666667,0.0833333333333333,0.487012987012987,0.9525004357945228,0.5850344989479219,0.8289843436370935,a3bb242669f1dcd92e60af82912b52126568cf3a1658657fd1a1828272478497,2026-07-25T10:21:23.225988+00:00
generational,results/v3_3_endogenous_capacity_v2/generational/born_0/seed_01,1,on,endogenous,0.0,0.002,0.0,0.688254944043798,0.8683836816182998,0.892233631628321,120,0.8958232997916874,0.10080425547556741,96,0.6,0.1304347826086956,0.0,1.0,0.7844672632566422,0.7573435504469987,a3bb242669f1dcd92e60af82912b52126568cf3a1658657fd1a1828272478497,2026-07-25T10:21:23.225988+00:00
generational,results/v3_3_endogenous_capacity_v2/generational/born_0/seed_02,2,on,endogenous,0.0,0.002,0.0,0.681147259229831,0.879879722824452,0.8866528918234928,138,0.886489803332426,0.10106390584083179,112,0.54,0.1210191082802547,0.0,1.0,0.7733057836469858,0.8115124153498872,a3bb242669f1dcd92e60af82912b52126568cf3a1658657fd1a1828272478497,2026-07-25T10:21:23.225988+00:00
generational,results/v3_3_endogenous_capacity_v2/generational/born_0/seed_03,3,on,endogenous,0.0,0.002,0.0,0.6849265591316775,0.8676016236466223,0.8831546541138604,151,0.8829965581781497,0.09447977427686394,123,0.4966666666666666,0.062111801242236,0.0,1.0,0.7663093082277207,0.8043986897519888,a3bb242669f1dcd92e60af82912b52126568cf3a1658657fd1a1828272478497,2026-07-25T10:21:23.225988+00:00
generational,results/v3_3_endogenous_capacity_v2/generational/born_0/seed_04,4,on,endogenous,0.0,0.002,0.0,0.6743732688298963,0.8641512325721908,0.8817266818465175,97,0.8815446885745167,0.10012293208428599,82,0.6766666666666666,0.1018518518518518,0.0,1.0,0.763453363693035,0.6151260504201681,a3bb242669f1dcd92e60af82912b52126568cf3a1658657fd1a1828272478497,2026-07-25T10:21:23.225988+00:00
generational,results/v3_3_endogenous_capacity_v2/generational/born_0/seed_05,5,on,endogenous,0.0,0.002,0.0,0.6793473459591076,0.859880242181231,0.8830690816873754,132,0.8828200381151701,0.09907525242940922,114,0.56,0.0958904109589041,0.0,1.0,0.7661381633747505,0.792147806004619,a3bb242669f1dcd92e60af82912b52126568cf3a1658657fd1a1828272478497,2026-07-25T10:21:23.225988+00:00
