sigma,pi_reward,base_opp,condition,n_seeds,median_top5_share,median_top10_share,median_enforcer_share,median_max_punish,median_fund_prevalence,median_exit_rate,n_collapse,n_capture,n_mixed,n_quiet
0.25,0.5,0.3,off,30,0.8967272959579458,0.9747880926199113,0.2534135599751385,0.1257142857142857,0.2727272727272727,0.8257142857142857,0,0,29,1
0.25,0.5,0.3,on,30,0.8965946419590092,0.9745515175367225,0.25017182850330344,0.1257142857142857,0.27435167615433265,0.8257142857142857,0,0,29,1
0.75,0.25,0.3,off,30,0.8104590163180092,0.9449899644897328,0.5291532600360702,0.1257142857142857,0.1354838709677419,0.5214285714285715,0,0,30,0
0.75,0.25,0.3,on,30,0.8113352603756957,0.9475760950803815,0.5472662804434285,0.1257142857142857,0.13296574770258973,0.52,0,0,30,0
0.95,0.5,0.3,off,30,0.8615498997112166,0.9698174272533053,0.7864986555756904,0.1114285714285714,0.1458333333333333,0.44999999999999996,0,0,28,2
0.95,0.5,0.3,on,30,0.8658739775776054,0.9714937707339915,0.7881853012261215,0.1114285714285714,0.14005712133576045,0.4485714285714285,0,0,28,2
