sigma,pi_reward,base_opp,exit_threshold,n_seeds,regime_majority_legacy,regime_majority_hier,n_collapse_legacy,n_capture_legacy,n_mixed_legacy,n_quiet_legacy,n_collapse_hier,n_capture_hier,n_mixed_hier,n_quiet_hier,median_fund_prevalence,median_exit_rate,median_top5_share,median_max_punish,median_enforcer_punish_share
0.95,0.25,-1.5,-1.0,5,MIXED,MIXED,0,0,5,0,0,0,5,0,0.1313559322033898,0.2828571428571428,0.7746502612506321,0.1342857142857142,0.9728652420222748
0.95,0.25,-1.5,0.0,5,MIXED,MIXED,0,0,5,0,0,0,5,0,0.1319148936170212,0.2971428571428571,0.7956365935919055,0.1314285714285714,0.9714497251905193
0.95,0.25,-0.5,-1.0,5,MIXED,MIXED,0,0,5,0,0,0,5,0,0.1325301204819277,0.2885714285714286,0.7835268306060883,0.1285714285714285,0.9721408750987075
0.95,0.25,-0.5,0.0,5,MIXED,MIXED,0,0,5,0,0,0,5,0,0.1255230125523012,0.3171428571428571,0.803112239267189,0.1285714285714285,0.9688919171068391
0.95,0.25,0.0,-1.0,5,MIXED,MIXED,0,0,5,0,0,0,5,0,0.124,0.3,0.7786975717439294,0.1314285714285714,0.9699671275761641
0.95,0.25,0.0,0.0,5,MIXED,MIXED,0,0,5,0,0,0,5,0,0.1275720164609053,0.3057142857142857,0.8036163668561842,0.1257142857142857,0.9664016263885892
0.95,0.25,0.3,-1.0,5,MIXED,MIXED,0,0,5,0,0,0,5,0,0.1148936170212766,0.3171428571428571,0.7966000596480763,0.1285714285714285,0.9707293326466577
0.95,0.25,0.3,0.0,5,MIXED,MIXED,0,0,5,0,0,0,5,0,0.1271186440677966,0.32,0.8054433087710958,0.1257142857142857,0.9706567521700984
0.95,0.5,-1.5,-1.0,5,MIXED,MIXED,0,0,5,0,0,0,5,0,0.123076923076923,0.2885714285714286,0.7491242702251877,0.1314285714285714,0.9744510458977462
0.95,0.5,-1.5,0.0,5,MIXED,MIXED,0,0,5,0,0,0,5,0,0.1215686274509803,0.3028571428571429,0.8037383177570093,0.1371428571428571,0.9702230483289395
0.95,0.5,-0.5,-1.0,5,MIXED,MIXED,0,0,5,0,0,0,5,0,0.1244979919678714,0.2771428571428571,0.7483059051306873,0.1314285714285714,0.973694429695634
0.95,0.5,-0.5,0.0,5,MIXED,MIXED,0,0,5,0,0,0,5,0,0.124,0.2857142857142857,0.8034109664404915,0.1371428571428571,0.9713418487732152
0.95,0.5,0.0,-1.0,5,MIXED,MIXED,0,0,5,0,0,0,5,0,0.1297071129707113,0.2971428571428571,0.7669415561133023,0.1257142857142857,0.9699596301561965
0.95,0.5,0.0,0.0,5,MIXED,MIXED,0,0,5,0,0,0,5,0,0.1223628691983122,0.3057142857142857,0.7899131963520493,0.1342857142857142,0.9682813801544431
0.95,0.5,0.3,-1.0,5,MIXED,MIXED,0,0,5,0,0,0,5,0,0.1285140562248996,0.2971428571428571,0.782783326096396,0.1285714285714285,0.9673822601016208
0.95,0.5,0.3,0.0,5,MIXED,MIXED,0,0,5,0,0,0,5,0,0.1271186440677966,0.3171428571428571,0.8005727376861398,0.1314285714285714,0.9668969071322636
0.95,0.8,-1.5,-1.0,5,MIXED,MIXED,0,0,5,0,0,0,5,0,0.1304347826086956,0.2771428571428571,0.767240602181556,0.1342857142857142,0.9723230923290056
0.95,0.8,-1.5,0.0,5,MIXED,MIXED,0,0,5,0,0,0,5,0,0.1297071129707113,0.3171428571428571,0.7929158009300484,0.1371428571428571,0.9674529233327112
0.95,0.8,-0.5,-1.0,5,MIXED,MIXED,0,0,5,0,0,0,5,0,0.1274900398406374,0.2828571428571428,0.7647368421052632,0.1342857142857142,0.9739576536142149
0.95,0.8,-0.5,0.0,5,MIXED,MIXED,0,0,5,0,0,0,5,0,0.1234567901234567,0.3057142857142857,0.7954523832175816,0.1371428571428571,0.9711727428907195
0.95,0.8,0.0,-1.0,5,MIXED,MIXED,0,0,5,0,0,0,5,0,0.1208333333333333,0.2942857142857142,0.771971271971272,0.1314285714285714,0.9697363191759771
0.95,0.8,0.0,0.0,5,MIXED,MIXED,0,0,5,0,0,0,5,0,0.1330645161290322,0.3085714285714285,0.7836418654325382,0.1371428571428571,0.9641542236523146
0.95,0.8,0.3,-1.0,5,MIXED,MIXED,0,0,5,0,0,0,5,0,0.1308016877637131,0.3028571428571429,0.7774408732565191,0.1257142857142857,0.9696674333078645
0.95,0.8,0.3,0.0,5,MIXED,MIXED,0,0,5,0,0,0,5,0,0.1255230125523012,0.3171428571428571,0.8161646478722264,0.1314285714285714,0.967929714616019
