sigma,pi_reward,base_opp,exit_threshold,seed,final_fund_prevalence,final_exit_rate,max_punish,enforcer_punish_share,top5_punishment_share,top10_punishment_share,regime_legacy,regime_hier,run_dir
0.95,0.25,-0.5,-1.0,1,0.1338582677165354,0.2742857142857143,0.1542857142857142,0.9686817481475878,0.7835268306060883,0.9784258158881067,MIXED,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_sweep_capture_probe/sigma_0.95/pi_0.25/base_opp_-0.50/exit_threshold_-1.00/seed_01
0.95,0.25,-0.5,-1.0,2,0.1081081081081081,0.26,0.12,0.9702454775328121,0.7700925925925926,0.9790740740740741,MIXED,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_sweep_capture_probe/sigma_0.95/pi_0.25/base_opp_-0.50/exit_threshold_-1.00/seed_02
0.95,0.25,-0.5,-1.0,3,0.135593220338983,0.3257142857142857,0.14,0.9733976261260403,0.7774864682002707,0.9834235453315291,MIXED,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_sweep_capture_probe/sigma_0.95/pi_0.25/base_opp_-0.50/exit_threshold_-1.00/seed_03
0.95,0.25,-0.5,-1.0,4,0.1325301204819277,0.2885714285714286,0.1228571428571428,0.9747375847479804,0.7843595739153026,0.9827660864293756,MIXED,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_sweep_capture_probe/sigma_0.95/pi_0.25/base_opp_-0.50/exit_threshold_-1.00/seed_04
0.95,0.25,-0.5,-1.0,5,0.1255230125523012,0.3171428571428571,0.1285714285714285,0.9721408750987075,0.7982007575757576,0.9802083333333333,MIXED,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_sweep_capture_probe/sigma_0.95/pi_0.25/base_opp_-0.50/exit_threshold_-1.00/seed_05
0.95,0.25,-0.5,0.0,1,0.115079365079365,0.28,0.1285714285714285,0.9628364266634682,0.803112239267189,0.9746164882463304,MIXED,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_sweep_capture_probe/sigma_0.95/pi_0.25/base_opp_-0.50/exit_threshold_0.00/seed_01
0.95,0.25,-0.5,0.0,2,0.1115384615384615,0.2571428571428571,0.1285714285714285,0.9682742735329595,0.802137938123137,0.9792373316887656,MIXED,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_sweep_capture_probe/sigma_0.95/pi_0.25/base_opp_-0.50/exit_threshold_0.00/seed_02
0.95,0.25,-0.5,0.0,3,0.1324786324786324,0.3314285714285714,0.1457142857142857,0.9688919171068391,0.8026933917945506,0.9797473640254724,MIXED,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_sweep_capture_probe/sigma_0.95/pi_0.25/base_opp_-0.50/exit_threshold_0.00/seed_03
0.95,0.25,-0.5,0.0,4,0.1255230125523012,0.3171428571428571,0.1257142857142857,0.9753676737434811,0.8115160091986556,0.9824871749513533,MIXED,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_sweep_capture_probe/sigma_0.95/pi_0.25/base_opp_-0.50/exit_threshold_0.00/seed_04
0.95,0.25,-0.5,0.0,5,0.1319148936170212,0.3285714285714285,0.1314285714285714,0.9714497251905193,0.8139864386195729,0.9804675640117397,MIXED,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_sweep_capture_probe/sigma_0.95/pi_0.25/base_opp_-0.50/exit_threshold_0.00/seed_05
0.95,0.25,-1.5,-1.0,1,0.1314741035856573,0.2828571428571428,0.1542857142857142,0.9722582788001783,0.7654534950895436,0.9799730406316195,MIXED,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_sweep_capture_probe/sigma_0.95/pi_0.25/base_opp_-1.50/exit_threshold_-1.00/seed_01
0.95,0.25,-1.5,-1.0,2,0.1221374045801526,0.2514285714285714,0.12,0.9713814829963443,0.7611140397118257,0.9799683711122825,MIXED,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_sweep_capture_probe/sigma_0.95/pi_0.25/base_opp_-1.50/exit_threshold_-1.00/seed_02
0.95,0.25,-1.5,-1.0,3,0.1398305084745762,0.3257142857142857,0.14,0.9742484031939471,0.7746502612506321,0.9833979437047025,MIXED,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_sweep_capture_probe/sigma_0.95/pi_0.25/base_opp_-1.50/exit_threshold_-1.00/seed_03
0.95,0.25,-1.5,-1.0,4,0.1185770750988142,0.2771428571428571,0.1228571428571428,0.9767256004651892,0.790719696969697,0.9831267217630854,MIXED,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.5_corrected_sweep_capture_probe/sigma_0.95/pi_0.25/base_opp_-1.50/exit_threshold_-1.00/seed_04
