agent_id,punish_issued,punished_received,final_r,final_b,final_x,y,L,cap,service,is_enforcer,cadre_fallback,exited,exit_time,exit_intent,disengaged,exit_cost_eff_last,degree,degree_at_end,betweenness
0,0,65,0.2617813882972242,0.1558518737320285,0.546169809757906,0.5746170946837356,0.1000932054777442,0.0,0.0,False,False,True,88,56,False,2.95,6,6,
1,1,49,0.24014171370334636,0.37459646730009977,0.8527565932003549,0.3213144591915755,0.4348387443111786,0.017641956117454373,0.00017928102259645766,False,False,True,157,32,False,1.66,2,2,
2,0,110,0.753510884280428,0.0717641743243813,0.5940483434559731,0.5924302776131439,0.22870059406974128,0.0,0.0,False,False,True,61,44,False,2.71,4,4,
3,0,77,0.15484371983336628,0.39684477409150243,0.939194858208885,0.19050289873454007,0.20747985865976587,0.0,0.0,False,False,True,255,48,False,1.48,2,2,
4,0,18,0.2867290599547121,0.3349905246584819,0.9772831889571763,0.6871350342423853,0.08795460430671614,0.0,0.0,False,False,True,47,12,False,1.81,1,1,
5,0,132,0.2775499326616184,0.08984141694941687,0.7632063575095122,0.6064716732446632,0.2401546267933779,0.0,0.0,False,False,True,151,86,False,1.75,3,3,
6,0,25,0.47418639003461377,0.30611547198281325,0.6340883224606914,0.5771987433366513,0.21816042558632975,0.0,0.0,False,False,True,71,28,False,1.18,0,0,
7,0,89,0.48405081246812803,0.45873537513433726,0.7515726323689188,0.3935904968557858,0.16228851097042352,0.0,0.0,False,False,True,80,46,False,2.02,2,2,
8,0,54,0.18815911431293833,0.27993536334895414,0.9731136933613226,0.37869130369138215,0.4077806856119979,0.0,0.0,False,False,True,159,59,False,1.72,2,2,
9,0,21,0.28877704230046797,0.4096726157558873,0.5709357053005403,0.6321382962692342,0.17398214703742224,0.0,0.0,False,False,True,69,16,False,2.4699999999999998,4,4,
10,0,31,0.4099658367015943,0.5238493915652589,0.6366341204101861,0.4640295983019898,0.23822340852923618,0.0,0.0,False,False,True,62,32,False,2.2,2,2,
11,0,48,0.44432906850991977,0.20382572473469332,0.7668532535509823,0.3913456575360719,0.16065001045233593,0.0,0.0,False,False,True,54,24,False,2.56,2,2,
12,0,45,0.657642924006841,0.012025866501895776,0.42704106281138693,0.23715005400976472,0.14424419144097197,0.0,0.0,False,False,True,55,33,False,2.62,3,3,
13,0,5,0.481028267563294,0.32903418494704073,0.9922288416005673,0.5016854895478018,0.32339383501830804,0.0,0.0,False,False,False,-1,0,False,0.0,23,23,
14,0,87,0.6335460303740076,0.29958743141870214,0.7443782948390659,0.5142063091346782,0.3572814079814691,0.0,0.0,False,False,True,109,64,False,2.02,2,2,
15,0,44,0.25558085136075676,0.3482846195251437,0.5817800107589916,0.586472355512343,0.2744806330813485,0.0,0.0,False,False,True,59,33,False,2.32,4,4,
16,2,2,0.3660798970593654,0.04816871374234121,0.9912626718700988,0.49314685575343986,0.0016975536927494603,0.1321510573047488,0.18214325831679762,False,False,False,-1,0,False,0.0,7,7,
17,0,705,0.4097623171848401,0.4268476384075602,0.8155605534873935,0.8364490937119718,0.11592089558108576,0.0,0.0,False,False,True,258,240,False,1.8399999999999999,3,3,
18,0,59,0.20054194736466474,0.6543576983809166,0.897894765690383,0.2604856223193519,0.15612661561123783,0.0,0.0,False,False,True,112,51,False,1.6,1,1,
19,0,5,0.11596026970300015,0.6233338320427375,0.9800311542841216,0.5137636849991164,0.38941678055952555,0.0,0.0,False,False,False,-1,0,False,0.0,23,23,
20,0,19,0.29656861741430285,0.2142505249083945,0.5386176661843148,0.8370272606140924,0.12870989526146553,0.0,0.0,False,False,True,46,16,False,1.69,2,2,
